hd,jcd,rno,lane,regno,racer_id,racer_name,p1_win
20240301,3,2,1,4294,4294,古賀 繁輝,0.5552603017542436
20240301,3,2,2,4266,4266,長田 頼宗,0.1396340531316795
20240301,3,2,3,4808,4808,松尾 拓,0.08814238458651695
20240301,3,2,4,4296,4296,岡崎 恭裕,0.09046128697723858
20240301,3,2,5,4839,4839,四宮 与寛,0.018935519535726676
20240301,3,2,6,4500,4500,山田 康二,0.004508419143079168
20240301,3,3,1,4409,4409,坂元 浩仁,0.5778578318057609
20240301,3,3,2,4933,4933,板橋 侑我,0.2327954865501033
20240301,3,3,3,3996,3996,秋山 直之,0.03194910085394893
20240301,3,3,4,4418,4418,茅原 悠紀,0.06999363182332487
20240301,3,3,5,4575,4575,戸塚 邦好,0.0809079422302103
20240301,3,3,6,4486,4486,野村 誠,0.13346050970814455
20240301,3,4,1,4468,4468,大池 佑来,0.3058902135727089
20240301,3,4,2,3716,3716,石渡 鉄兵,0.2436955865418493
20240301,3,4,3,4826,4826,井上 一輝,0.12218443563484294
20240301,3,4,4,4148,4148,枝尾 賢,0.03050591977103982
20240301,3,4,5,4483,4483,北野 輝季,0.006969836221647454
20240301,3,4,6,4061,4061,萩原 秀人,0.02780722001527439
20240301,3,5,1,3499,3499,市川 哲也,0.3824974108289652
20240301,3,5,2,4441,4441,末永 由楽,0.07543359083093176
20240301,3,5,3,4610,4610,佐藤 大佑,0.16436877883100195
20240301,3,5,4,4095,4095,福来 剛,0.09890419475084244
20240301,3,5,5,4371,4371,西山 貴浩,0.021084550511127887
20240301,3,5,6,4292,4292,麻生 慎介,0.0053801250874434174
20240301,3,8,1,4337,4337,平本 真之,0.4427189054605416
20240301,3,8,2,3562,3562,山下 和彦,0.15573949781896082
20240301,3,8,3,4504,4504,前田 将太,0.09790066654192528
20240301,3,8,4,3940,3940,飯山 泰,0.0038003903094187834
20240301,3,8,5,4269,4269,杉山 裕也,0.0035497734373946656
20240301,3,8,6,4575,4575,戸塚 邦好,0.012003459129802786
20240301,3,9,1,4907,4907,小池 修平,0.6322877265565235
20240301,3,9,2,4486,4486,野村 誠,0.1649057230397722
20240301,3,9,3,4292,4292,麻生 慎介,0.1573558834001785
20240301,3,9,4,3716,3716,石渡 鉄兵,0.23243802061019192
20240301,3,9,5,4704,4704,河野 大,0.0685551658355787
20240301,3,9,6,4118,4118,宇佐見 淳,0.018411952042338316
20240301,4,10,1,4578,4578,藤山 雅弘,0.33211175427563716
20240301,4,10,2,4379,4379,桑島 和宏,0.08165959907108575
20240301,4,10,3,4139,4139,丹下 健,0.030672771367843545
20240301,4,10,4,5047,5047,國分 将太郎,0.03812377664559239
20240301,4,10,5,4478,4478,櫻本 あゆみ,0.0065977519702882705
20240301,4,10,6,4471,4471,新田 泰章,0.01236357992051895
20240301,4,11,1,4289,4289,落合 直子,0.41803435066020567
20240301,4,11,2,4446,4446,和田 兼輔,0.18125173120953195
20240301,4,11,3,4942,4942,柴田 朋哉,0.07808147856456686
20240301,4,11,4,4352,4352,下條 雄太郎,0.07596259073298531
20240301,4,11,5,4506,4506,稗田 聖也,0.08325274371065328
20240301,4,11,6,3681,3681,山谷 央,0.029939267241478357
20240301,4,12,1,4398,4398,船岡 洋一郎,0.4700144973449016
20240301,4,12,2,4102,4102,益田 啓司,0.08059620189000727
20240301,4,12,3,4804,4804,高田 ひかる,0.09807261597394608
20240301,4,12,4,4171,4171,榎 幸司,0.15157274127703155
20240301,4,12,5,4295,4295,小坂 尚哉,0.26608927533432464
20240301,4,12,6,4798,4798,浜先 真範,0.06740211457559925
20240301,4,2,1,3624,3624,大石 和彦,0.13334639652433403
20240301,4,2,2,5190,5190,大月 遊雅,0.0321595620712556
20240301,4,2,3,3736,3736,岡本 猛,0.024636652245475434
20240301,4,2,4,4102,4102,益田 啓司,0.15842445352721085
20240301,4,2,5,3533,3533,佐川 正道,0.02105163188871908
20240301,4,2,6,4446,4446,和田 兼輔,0.0033583528378299437
20240301,4,3,1,4229,4229,市川 美宏,0.2898082359170803
20240301,4,3,2,4295,4295,小坂 尚哉,0.21344740346820715
20240301,4,3,3,5207,5207,高山 敬悟,0.004327038577750972
20240301,4,3,4,4506,4506,稗田 聖也,0.12620456334301797
20240301,4,3,5,3748,3748,小黒 竜吾,0.0066100464592518645
20240301,4,3,6,4379,4379,桑島 和宏,0.009832136016731526
20240301,4,4,1,4478,4478,櫻本 あゆみ,0.1853100118736866
20240301,4,4,2,5204,5204,宇恵 有香,0.022715470112749155
20240301,4,4,3,4289,4289,落合 直子,0.04794021387398222
20240301,4,4,4,4998,4998,中村 かなえ,0.11344680110495124
20240301,4,4,5,5153,5153,佐藤 ほのか,0.0030527049585146763
20240301,4,4,6,3993,3993,永井 聖美,0.001056324892185551
20240301,4,5,1,4171,4171,榎 幸司,0.5750015093244283
20240301,4,5,2,4367,4367,山口 修路,0.02040708359084317
20240301,4,5,3,5047,5047,國分 将太郎,0.11691632341594792
20240301,4,5,4,4979,4979,中野 夢斗,0.06647427106562769
20240301,4,5,5,3591,3591,後藤 孝義,0.0032725602774458483
20240301,4,5,6,4091,4091,荒田 泰明,0.01335110575873213
20240301,4,6,1,3630,3630,黒田 誠司,0.03039977057510742
20240301,4,6,2,4578,4578,藤山 雅弘,0.03763713681392101
20240301,4,6,3,3533,3533,佐川 正道,0.04878122978303777
20240301,4,6,4,5071,5071,野見山 拓己,0.12698680936707843
20240301,4,6,5,4804,4804,高田 ひかる,0.09187870671880656
20240301,4,6,6,4942,4942,柴田 朋哉,0.014097775525702705
20240301,4,7,1,3736,3736,岡本 猛,0.11017408697024773
20240301,4,7,2,4352,4352,下條 雄太郎,0.03330415211820138
20240301,4,7,3,4798,4798,浜先 真範,0.03636486880170508
20240301,4,7,4,3825,3825,宮嵜 隆太郎,0.05543689473374969
20240301,4,7,5,4229,4229,市川 美宏,0.05479174310250211
20240301,4,7,6,4346,4346,前田 健太郎,0.008207661870536207
20240301,4,8,1,4644,4644,山田 亮太,0.06955075202154408
20240301,4,8,2,3993,3993,永井 聖美,0.06395561612513273
20240301,4,8,3,3624,3624,大石 和彦,0.03688574625421076
20240301,4,8,4,4398,4398,船岡 洋一郎,0.18359164433044323
20240301,4,8,5,5158,5158,宮脇 遼太,0.01792291315444853
20240301,4,8,6,3748,3748,小黒 竜吾,0.011124235369963835
20240301,4,9,1,4367,4367,山口 修路,0.2560262852446088
20240301,4,9,2,4514,4514,上條 嘉嗣,0.1582493281578667
20240301,4,9,3,5190,5190,大月 遊雅,0.003959207842959933
20240301,4,9,4,5207,5207,高山 敬悟,0.010442753811719645
20240301,4,9,5,3563,3563,堤 昇,0.09429697613246911
20240301,4,9,6,4998,4998,中村 かなえ,0.12206862124120639
20240301,9,10,1,3655,3655,本橋 克洋,0.3015093999575668
20240301,9,10,2,4723,4723,寺島 吉彦,0.0037483522599642046
20240301,9,10,3,3619,3619,長谷川 充,0.00432846155339373
20240301,9,10,4,4440,4440,萩原 知哉,0.007842585048293415
20240301,9,10,5,4796,4796,春園 功太,0.08208667370603699
20240301,9,10,6,4945,4945,上村 宏太,0.026917271267039123
20240301,9,11,1,4043,4043,桐本 康臣,0.6203880237456064
20240301,9,11,2,4086,4086,寺本 重宣,0.09441170922170423
20240301,9,11,3,3532,3532,柴田 光,0.12501760340802812
20240301,9,11,4,3712,3712,淺香 文武,0.026469578314718748
20240301,9,11,5,4420,4420,津久井 拓也,0.012883239106211657
20240301,9,11,6,4954,4954,内山 峻輔,0.0030388936445357403
20240301,9,12,1,4261,4261,岡 祐臣,0.17305395432217432
20240301,9,12,2,3740,3740,大澤 普司,0.0838569375556455
20240301,9,12,3,4759,4759,今泉 友吾,0.08644712621041008
20240301,9,12,4,4824,4824,松井 洪弥,0.07585430867056592
20240301,9,12,5,3641,3641,一瀬 明,0.09021796810381448
20240301,9,12,6,4645,4645,上村 純一,0.01519809592419164
20240301,9,1,1,3740,3740,大澤 普司,0.3218349728554752
20240301,9,1,2,4169,4169,多田 有佑,0.0035518670480544218
20240301,9,1,3,5070,5070,中島 航,0.05257385691916689
20240301,9,1,4,3973,3973,崎 利仁,0.017024523188059058
20240301,9,1,5,3392,3392,小森 信雄,0.01410436756373131
20240301,9,1,6,4813,4813,宮内 直哉,0.01578988540401917
20240301,9,2,1,4181,4181,花本 夏樹,0.17548487329049567
20240301,9,2,2,4945,4945,上村 宏太,0.06608374478775285
20240301,9,2,3,5256,5256,中山 翔太,0.10452017447037981
20240301,9,2,4,4077,4077,品田 直樹,0.017753272939883796
20240301,9,2,5,4461,4461,安田 吉宏,0.005153785702699115
20240301,9,2,6,4887,4887,富澤 祐作,0.005332493784733929
20240301,9,3,1,4440,4440,萩原 知哉,0.040726870514433904
20240301,9,3,2,4618,4618,乃村 康友,0.08300535626649118
20240301,9,3,3,3888,3888,山本 英志,0.08983908324368252
20240301,9,3,4,3532,3532,柴田 光,0.12922815707585086
20240301,9,3,5,5253,5253,藤井 太雅,0.0031863786498932305
20240301,9,3,6,5006,5006,久保原 秀人,0.014722173757486879
20240301,9,4,1,4766,4766,石井 孝之,0.24783839439619457
20240301,9,4,2,4358,4358,松本 庸平,0.04499645482114865
20240301,9,4,3,4297,4297,山田 哲也,0.148213555110464
20240301,9,4,4,4954,4954,内山 峻輔,0.0025989334376258105
20240301,9,4,5,4888,4888,金児 隆太,0.013875129138914121
20240301,9,4,6,4824,4824,松井 洪弥,0.008499261870074132
20240301,9,5,1,3641,3641,一瀬 明,0.2611725106222919
20240301,9,5,2,3712,3712,淺香 文武,0.10737448065649843
20240301,9,5,3,4956,4956,齊藤 大将,0.03522053373422469
20240301,9,5,4,3653,3653,品川 賢次,0.011186818521681796
20240301,9,5,5,3619,3619,長谷川 充,0.0024867257922899844
20240301,9,5,6,5275,5275,松田 淳平,0.0017351712752957042
20240301,9,6,1,4152,4152,深水 慎一郎,0.3199549087858212
