hd,jcd,rno,lane,racer_id,st,tenji_st,course_avg_st,st_rank,power_lane
20240331,02,10,1,4276,0.22,0.09,0.15,3,13.771999999999998
20240331,02,10,2,3933,0.17,0.05,0.17,1,15.286
20240331,02,10,3,4191,0.16,0.06,0.16,2,15.392999999999999
20240331,02,10,4,4159,0.22,0.26,0.18,6,429496743.72
20240331,02,10,5,3832,0.2,0.15,0.17,5,15.785999999999998
20240331,02,10,6,4081,0.3,0.14,0.2,4,14.397999999999998
20240331,02,11,1,4737,0.18,0.16,0.17,5,14.388
20240331,02,11,2,3569,0.16,0.11,0.19,2,11.775
20240331,02,11,3,4144,0.12,0.17,0.16,6,429496740.987
20240331,02,11,4,4486,0.21,0.14,0.15,3,13.651999999999997
20240331,02,11,5,5095,0.18,0.09,0.16,1,16.932999999999996
20240331,02,11,6,4201,0.19,0.15,0.15,4,15.094
20240331,02,12,1,4109,0.1,0.0008,0.13,2,12.555
20240331,02,12,2,4877,0.07,0.0006,0.12,1,14.263
20240331,02,12,3,4748,0.18,0.14,0.16,6,429496746.387
20240331,02,12,4,3929,0.09,0.13,0.16,5,14.277
20240331,02,12,5,4025,0.17,0.11,0.17,4,10.557999999999998
20240331,02,12,6,4407,0.19,0.09,0.23,3,13.837999999999997
20240331,02,1,1,3306,0.18,0.0006,0.17,2,12.780000000000001
20240331,02,1,2,5013,0.17,0.05,0.17,4,12.873999999999997
20240331,02,1,3,4871,0.14,0.08,0.2,6,429496744.938
20240331,02,1,4,3682,0.12,0.01,0.18,3,10.798999999999998
20240331,02,1,5,5324,0.15,0.06,0.0,5,10.341000000000001
20240331,02,1,6,5122,0.12,0.0002,0.19,1,10.342
20240331,02,2,1,3832,0.18,0.01,0.17,3,15.985999999999997
20240331,02,2,2,4407,0.15,0.03,0.17,5,13.637999999999998
20240331,02,2,3,4486,0.1,0.02,0.14,4,13.551999999999998
20240331,02,2,4,4104,0.11,0.0001,0.13,1,9.745
20240331,02,2,5,3905,0.11,0.06,0.15,6,429496741.44
20240331,02,2,6,5327,0.2,0.0007000000000000001,0.28,2,7.506
20240331,02,3,1,3929,0.06,,0.14,1,14.677
20240331,02,3,2,4077,0.09,,0.19,1,16.323999999999998
20240331,02,3,3,4276,0.15,,0.15,1,13.972
20240331,02,3,4,5095,0.1,,0.13,1,16.932999999999996
20240331,02,3,5,5005,0.04,,0.15,1,12.811000000000002
20240331,02,3,6,5213,0.1,,0.18,1,12.481
20240331,02,4,1,4423,0.05,0.12,0.11,6,429496741.569
20240331,02,4,2,4201,0.09,0.0001,0.16,1,15.394
20240331,02,4,3,4436,0.09,0.01,0.14,2,12.741
20240331,02,4,4,3933,0.35,0.08,0.17,4,14.985999999999999
20240331,02,4,5,3647,0.19,0.09,0.17,5,14.318999999999999
20240331,02,4,6,3293,0.2,0.07,0.23,3,11.831
20240331,02,5,1,4159,0.15,0.12,0.14,5,14.219999999999999
20240331,02,5,2,4623,0.14,0.06,0.18,2,16.101
20240331,02,5,3,4246,0.16,0.13,0.18,6,429496740.909
20240331,02,5,4,4109,0.17,0.08,0.12,4,12.354999999999999
20240331,02,5,5,4871,0.18,0.05,0.15,1,15.838
20240331,02,5,6,3406,0.2,0.07,0.2,3,10.28
20240331,02,6,1,5069,0.12,,0.16,1,15.25
20240331,02,6,2,4104,0.14,,0.16,1,9.745
20240331,02,6,3,4081,0.16,,0.18,1,14.697999999999999
20240331,02,6,4,5013,0.12,,0.17,1,13.173999999999998
20240331,02,6,5,4144,0.12,,0.18,1,11.886999999999999
20240331,02,6,6,4748,0.08,,0.16,1,17.287
20240331,02,7,1,4877,0.18,0.15,0.13,4,13.963
20240331,02,7,2,5213,0.21,0.03,0.24,2,12.381
20240331,02,7,3,3462,0.39,0.07,0.16,3,13.177999999999999
20240331,02,7,4,3569,0.24,0.26,0.18,5,11.475
20240331,02,7,5,5287,0.22,0.0004,0.17,1,12.202
20240331,02,7,6,5324,0.25,0.07,0.2,3,10.541
20240331,02,8,1,4906,0.25,0.05,0.18,5,15.978
20240331,02,8,2,4025,0.22,0.0003,0.17,1,10.857999999999999
20240331,02,8,3,4809,0.19,0.11,0.15,6,429496741.851
20240331,02,8,4,4423,0.32,0.04,0.16,4,12.168999999999999
20240331,02,8,5,5327,0.31,0.0007000000000000001,0.31,2,7.506
20240331,02,8,6,4545,0.2,0.0008,0.16,3,12.355999999999998
20240331,02,9,1,5005,0.2,0.04,0.16,2,12.711000000000002
20240331,02,9,2,4218,0.2,0.09,0.17,4,13.363
20240331,02,9,3,3306,0.2,0.05,0.16,3,12.68
20240331,02,9,4,3905,0.19,0.11,0.15,5,11.94
20240331,02,9,5,4436,0.2,0.0003,0.15,1,12.841
20240331,02,9,6,4623,0.2,0.09,0.21,4,15.901
20240331,06,10,1,4911,0.07,0.0003,0.14,2,14.373
20240331,06,10,2,4962,0.11,0.06,0.14,4,12.591999999999999
20240331,06,10,3,5044,0.16,0.02,0.15,3,13.523
20240331,06,10,4,2014,0.26,0.12,0.18,5,11.619
20240331,06,10,5,5177,0.23,0.0001,0.2,1,12.007
20240331,06,10,6,3784,0.21,0.0001,0.19,1,12.645999999999999
20240331,06,11,1,3538,0.25,0.11,0.15,4,16.612000000000002
20240331,06,11,2,4248,0.28,0.22,0.16,5,12.267
20240331,06,11,3,5032,0.34,0.11,0.16,4,14.889999999999999
20240331,06,11,4,5187,0.2,0.0008,0.19,2,12.243
