hd,jcd,rno,lane,racer_id,racer_name,grade,age,weather_sky,wind_dir,wind_speed_m,wave_height_cm,title,decision,national_win,national_2r,national_3r,local_win,local_2r,local_3r,motor_id,motor_rate2,motor_rate3,boat_id,boat_rate2,boat_rate3,weightKg,tiltDeg,tenji_sec,tenji_st,isF_tenji,course_first_rate,course_3rd_rate,course_avg_st,kimarite_makuri,kimarite_sashi,kimarite_makuri_sashi,kimarite_nuki,tenji_rank,st_rank,power_lane,power_inner,power_outer,outer_over_inner,st_diff_4_vs_3,st_diff_5_vs_4,st_diff_6_vs_5,dash_attack_flag,is_strong_wind,is_crosswind,label_3t
20240224,1,10,1,3161,古場 輝義,A2,63,晴,6,1.0,1.0,第30回桐生タイムス杯,逃げ,5.74,40.0,57.78,4.6,30.0,40.0,38.0,50.0,65.63,22.0,23.64,38.18,52.2,-0.5,6.72,0.01,0,45.9,88.5,0.15,0.0,0.0,0.0,1.0,3,1,18.843999999999998,15.049999999999997,143165590.24833336,143165575.19833335,0.030000000000000006,0.01999999999999999,-0.009999999999999995,0,0,1,1-2-4
20240224,1,10,2,3828,明石 正之,A2,50,晴,6,1.0,1.0,第30回桐生タイムス杯,逃げ,5.97,41.67,59.26,7.5,50.0,83.33,25.0,24.14,44.83,60.0,28.0,50.0,52.0,-0.5,6.78,0.03,0,15.1,75.7,0.18,2.0,3.0,0.0,0.0,5,2,11.124,15.049999999999997,143165590.24833336,143165575.19833335,0.030000000000000006,0.01999999999999999,-0.009999999999999995,0,0,1,1-2-4
20240224,1,10,3,4693,松下 誉士,B1,39,晴,6,1.0,1.0,第30回桐生タイムス杯,逃げ,4.38,23.58,39.62,0.0,0.0,0.0,67.0,41.18,52.94,41.0,35.85,52.83,52.1,0.0,6.7,0.04,0,0.0,43.4,0.17,0.0,0.0,0.0,0.0,2,3,15.181999999999999,15.049999999999997,143165590.24833336,143165575.19833335,0.030000000000000006,0.01999999999999999,-0.009999999999999995,0,0,1,1-2-4
20240224,1,10,4,4653,小野 達哉,A1,38,晴,6,1.0,1.0,第30回桐生タイムス杯,逃げ,6.66,47.37,62.28,6.91,51.79,76.79,20.0,33.33,54.55,72.0,39.34,52.46,52.0,0.0,6.62,0.07,0,36.3,70.4,0.12,12.0,1.0,2.0,1.0,1,4,14.094999999999999,15.049999999999997,143165590.24833336,143165575.19833335,0.030000000000000006,0.01999999999999999,-0.009999999999999995,0,0,1,1-2-4
20240224,1,10,5,4467,渡邉 俊介,B1,37,晴,6,1.0,1.0,第30回桐生タイムス杯,逃げ,4.75,25.22,40.87,6.28,50.0,65.63,23.0,45.45,66.67,35.0,18.37,34.69,50.5,-0.5,6.7,0.09,0,5.0,40.0,0.12,1.0,0.0,1.0,0.0,2,6,429496745.985,15.049999999999997,143165590.24833336,143165575.19833335,0.030000000000000006,0.01999999999999999,-0.009999999999999995,0,0,1,1-2-4
20240224,1,10,6,4664,東口 晃,B1,40,晴,6,1.0,1.0,第30回桐生タイムス杯,逃げ,3.98,19.23,32.69,3.53,11.76,23.53,65.0,27.59,41.38,39.0,26.92,34.62,52.1,-0.5,6.73,0.08,0,0.0,9.0,0.22,0.0,0.0,0.0,0.0,4,5,10.665,15.049999999999997,143165590.24833336,143165575.19833335,0.030000000000000006,0.01999999999999999,-0.009999999999999995,0,0,1,1-2-4
20240224,1,11,1,4677,片橋 幸貴,A2,35,晴,17,0.0,0.0,第30回桐生タイムス杯,逃げ,6.57,51.35,70.27,0.0,0.0,0.0,52.0,28.13,53.13,19.0,27.27,41.82,52.1,-0.5,6.72,0.15,0,71.4,85.7,0.14,0.0,0.0,0.0,2.0,2,5,12.381,17.552,143165590.64933333,143165573.09733334,0.059699999999999996,0.08000000000000002,0.04999999999999999,0,0,0,1-4-3
20240224,1,11,2,3966,作間 章,A1,44,晴,17,0.0,0.0,第30回桐生タイムス杯,逃げ,6.12,37.96,59.85,6.33,46.27,62.69,58.0,55.17,65.52,65.0,30.19,50.94,54.2,0.0,6.83,0.09,0,17.6,66.6,0.19,1.0,8.0,0.0,0.0,5,3,20.423,17.552,143165590.64933333,143165573.09733334,0.059699999999999996,0.08000000000000002,0.04999999999999999,0,0,0,1-4-3
20240224,1,11,3,4789,古賀 智之,B1,34,晴,17,0.0,0.0,第30回桐生タイムス杯,逃げ,4.64,28.36,40.3,4.88,25.0,37.5,62.0,55.56,70.37,18.0,30.19,43.4,52.2,-0.5,6.79,0.0003,1,6.9,37.9,0.15,0.0,0.0,2.0,0.0,4,1,19.851999999999997,17.552,143165590.64933333,143165573.09733334,0.059699999999999996,0.08000000000000002,0.04999999999999999,0,0,0,1-4-3
20240224,1,11,4,4436,渋谷 明憲,A2,37,晴,17,0.0,0.0,第30回桐生タイムス杯,逃げ,6.01,45.26,62.77,6.67,38.89,61.11,70.0,32.26,38.71,57.0,31.58,36.84,52.0,-0.5,6.79,0.06,0,7.3,53.6,0.15,2.0,0.0,1.0,0.0,4,2,13.584,17.552,143165590.64933333,143165573.09733334,0.059699999999999996,0.08000000000000002,0.04999999999999999,0,0,0,1-4-3
