hd,jcd,rno,lane,racer_id,st,tenji_st,course_avg_st,st_rank,power_lane
20240223,01,10,1,4700,0.12,0.08,0.17,5,13.581
20240223,01,10,2,3339,0.18,0.01,0.16,3,12.86
20240223,01,10,3,4436,0.15,0.0006,0.14,2,13.584
20240223,01,10,4,4487,0.16,0.0001,0.2,1,13.072
20240223,01,10,5,4639,0.2,0.0001,0.18,1,18.447999999999997
20240223,01,10,6,5004,0.17,0.05,0.17,4,11.461
20240223,01,11,1,3828,0.08,0.0008,0.14,2,11.124
20240223,01,11,2,4677,0.14,0.07,0.14,5,12.381
20240223,01,11,3,4872,0.16,0.02,0.15,4,16.642
20240223,01,11,4,4467,0.17,0.01,0.12,3,16.685
20240223,01,11,5,4058,0.16,0.01,0.19,3,12.082999999999998
20240223,01,11,6,5222,0.22,0.0005,0.17,1,7.963
20240223,01,12,1,4566,0.19,,0.14,1,16.785999999999998
20240223,01,12,2,4653,0.21,,0.14,1,14.395
20240223,01,12,3,4788,0.09,,0.15,1,14.731
20240223,01,12,4,3966,0.2,,0.17,1,20.622999999999998
20240223,01,12,5,4491,0.17,,0.19,1,15.969999999999999
20240223,01,12,6,4594,0.16,,0.25,1,15.931
20240223,01,1,1,3827,0.14,0.12,0.18,4,15.991
20240223,01,1,2,4988,0.1,0.06,0.16,2,12.189
20240223,01,1,3,4440,0.12,0.05,0.17,1,12.906999999999998
20240223,01,1,4,3881,0.07,0.14,0.16,5,17.922
20240223,01,1,5,3339,0.04,0.05,0.12,1,13.06
20240223,01,1,6,4872,0.13,0.09,0.2,3,16.741999999999997
20240223,01,2,1,4664,0.2,0.07,0.17,1,11.065
20240223,01,2,2,3414,0.17,0.14,0.15,4,4.050999999999999
20240223,01,2,3,5073,0.18,0.12,0.17,3,11.278999999999998
20240223,01,2,4,5222,0.14,0.17,0.14,6,429496737.063
20240223,01,2,5,3713,0.13,0.11,0.12,2,10.023
20240223,01,2,6,4436,0.18,0.15,0.18,5,13.283999999999999
20240223,01,3,1,3044,0.14,0.02,0.21,2,15.282
20240223,01,3,2,4491,0.12,0.05,0.17,4,15.669999999999998
20240223,01,3,3,4639,0.17,0.0001,0.16,1,18.447999999999997
20240223,01,3,4,3838,0.12,0.15,0.12,5,13.212
20240223,01,3,5,4693,0.21,0.04,0.17,3,15.181999999999999
20240223,01,3,6,4677,0.07,0.18,0.15,6,429496741.881
20240223,01,4,1,3441,0.16,0.03,0.19,2,6.822
20240223,01,4,2,4216,0.17,0.12,0.18,5,8.892
20240223,01,4,3,5004,0.17,0.05,0.16,3,11.561
20240223,01,4,4,4700,0.21,0.08,0.18,4,13.681
20240223,01,4,5,3828,0.2,0.02,0.18,1,11.224
20240223,01,4,6,4789,0.2,0.14,0.19,6,429496748.952
20240223,01,5,1,4467,0.22,0.07,0.13,3,16.685
20240223,01,5,2,3881,0.17,0.0001,0.15,1,18.322
20240223,01,5,3,4594,0.15,0.04,0.15,2,15.831
20240223,01,5,4,4788,0.16,0.29,0.15,6,429496743.831
20240223,01,5,5,2538,0.27,0.18,0.18,4,9.244
20240223,01,5,6,5029,0.14,0.25,0.15,5,17.868000000000002
20240223,01,6,1,4653,0.24,,0.15,1,14.395
20240223,01,6,2,5177,0.23,,0.18,1,6.151
20240223,01,6,3,3400,0.21,,0.21,1,9.886000000000001
20240223,01,6,4,4865,0.27,,0.17,1,16.881999999999998
20240223,01,6,5,3448,0.25,,0.16,1,15.154
20240223,01,6,6,5285,0.24,,0.22,1,9.388
20240223,01,7,1,4058,0.29,0.16,0.17,4,11.982999999999999
20240223,01,7,2,3945,0.26,0.08,0.21,2,17.208000000000002
20240223,01,7,3,3966,0.3,0.17,0.17,5,20.223
