hd,jcd,rno,lane,regno,st,tenji_st,tenji_rank,st_rank,course_avg_st,course_first_rate,course_3rd_rate
20240306,1,10,1,4012,,,3,3,0.16,67.6,85.2
20240306,1,10,2,4772,,0.0,4,1,0.12,26.3,71.0
20240306,1,10,3,4191,,,1,3,0.16,27.9,76.7
20240306,1,10,4,5023,,,6,3,0.14,12.9,41.9
20240306,1,10,5,5087,,0.19,2,2,0.18,16.6,53.3
20240306,1,10,6,3790,,,5,3,0.16,0.0,34.3
20240306,1,11,1,4218,,0.03,2,2,0.15,67.6,97.0
20240306,1,11,2,4238,,,1,4,0.15,39.0,80.4
20240306,1,11,3,3543,,0.03,5,2,0.15,11.7,58.8
20240306,1,11,4,3800,,0.04,5,3,0.15,9.6,29.0
20240306,1,11,5,3918,,,3,4,0.19,9.0,50.0
20240306,1,11,6,3614,,0.01,4,1,0.2,3.5,14.2
20240306,1,12,1,4121,,0.01,6,1,0.12,47.0,88.2
20240306,1,12,2,4452,,0.06,2,4,0.13,10.2,66.6
20240306,1,12,3,3445,,0.02,4,2,0.18,18.5,44.4
20240306,1,12,4,3686,,0.05,1,3,0.13,8.8,52.9
20240306,1,12,5,4376,,0.01,3,1,0.16,12.5,43.7
20240306,1,12,6,3905,,0.02,5,2,0.18,2.5,27.5
20240306,1,1,1,3652,,0.06,2,3,0.17,39.2,71.4
20240306,1,1,2,5087,,0.01,4,1,0.19,29.1,62.5
20240306,1,1,3,4495,,0.15,5,5,0.14,13.1,57.8
20240306,1,1,4,4740,,0.01,3,1,0.18,3.2,25.8
20240306,1,1,5,5234,,0.03,6,2,0.16,2.1,36.9
20240306,1,1,6,3918,,0.13,1,4,0.21,0.0,34.8
20240306,1,2,1,4203,,,1,1,0.13,34.2,65.7
20240306,1,2,2,3905,,,1,1,0.16,14.6,73.1
20240306,1,2,3,4995,,,1,1,0.17,3.4,37.9
20240306,1,2,4,3614,,,1,1,0.17,8.8,40.0
20240306,1,2,5,5023,,,1,1,0.18,5.8,35.2
20240306,1,2,6,5141,,,1,1,0.11,0.0,27.0
20240306,1,3,1,3567,,,2,4,0.16,28.5,57.1
20240306,1,3,2,4944,,,2,4,0.17,9.6,45.1
20240306,1,3,3,5074,,0.12,5,2,0.15,6.2,35.4
20240306,1,3,4,4218,,0.1,4,1,0.18,15.2,57.6
20240306,1,3,5,3659,,0.12,1,2,0.16,8.7,45.6
20240306,1,3,6,3445,,0.16,3,3,0.22,6.0,30.3
20240306,1,4,1,3297,,0.08,1,3,0.17,28.5,77.5
20240306,1,4,2,3885,,0.15,5,4,0.16,19.3,70.9
20240306,1,4,3,4637,,,2,5,0.15,17.3,56.5
20240306,1,4,4,4382,,0.05,3,2,0.15,2.3,30.9
20240306,1,4,5,3686,,0.0,4,1,0.16,5.8,41.1
20240306,1,4,6,4772,,,6,5,0.11,4.7,33.3
20240306,1,5,1,3967,,0.27,6,4,0.17,32.3,67.6
20240306,1,5,2,4012,,0.07,5,3,0.15,11.7,61.7
20240306,1,5,3,4376,,0.03,1,1,0.14,6.9,67.4
20240306,1,5,4,4779,,0.04,3,2,0.16,12.5,12.5
20240306,1,5,5,4495,,0.39,4,5,0.16,0.0,32.5
20240306,1,5,6,4238,,0.03,2,1,0.18,0.0,29.1
20240306,1,6,1,4191,,,3,6,0.13,72.0,92.0
20240306,1,6,2,4046,,0.0,1,1,0.18,5.8,23.5
20240306,1,6,3,3922,,0.15,2,4,0.19,7.8,31.5
20240306,1,6,4,4203,,0.09,4,2,0.15,6.5,32.6
20240306,1,6,5,4740,,0.13,2,3,0.21,2.7,13.8
20240306,1,6,6,5304,,0.33,5,5,,,
20240306,1,7,1,3543,,0.09,3,1,0.14,52.9,97.0
20240306,1,7,2,5212,,0.13,4,3,0.18,5.5,11.1
20240306,1,7,3,4121,,,1,5,0.13,11.6,51.1
20240306,1,7,4,3652,,,2,5,0.16,6.4,38.7
20240306,1,7,5,3567,,0.22,5,4,0.16,4.7,4.7
20240306,1,7,6,3538,,0.12,3,2,0.2,0.0,37.5
20240306,1,8,1,3659,,,1,1,0.15,62.5,93.7
20240306,1,8,2,4382,,,1,1,0.16,5.4,45.9
20240306,1,8,3,3970,,,1,1,0.18,3.2,35.4
20240306,1,8,4,4995,,,1,1,0.2,3.0,27.2
20240306,1,8,5,4452,,,1,1,0.18,7.3,31.7
