hd,jcd,rno,lane,racer_id,racer_name,grade,age,weather_sky,wind_dir,wind_speed_m,wave_height_cm,title,decision,national_win,national_2r,national_3r,local_win,local_2r,local_3r,motor_id,motor_rate2,motor_rate3,boat_id,boat_rate2,boat_rate3,weightKg,tiltDeg,tenji_sec,tenji_st,isF_tenji,course_first_rate,course_3rd_rate,course_avg_st,kimarite_makuri,kimarite_sashi,kimarite_makuri_sashi,kimarite_nuki,tenji_rank,st_rank,power_lane,power_inner,power_outer,outer_over_inner,st_diff_4_vs_3,st_diff_5_vs_4,st_diff_6_vs_5,dash_attack_flag,is_strong_wind,is_crosswind,label_3t
20240326,03,10,1,3473,石川 真二,A1,53,雨,14,5.0,20.0,第22回日本モーターボート選手会会長賞,抜き,6.67,48.92,71.94,6.9,48.33,76.67,66.0,26.46,46.56,16.0,33.94,54.13,,,,,,41.2,74.2,0.14,0.0,0.0,0.0,3.0,1,1,12.34,14.564,14.069999999999999,-0.49400000000000155,,,,0,0,0,1-2-4
20240326,03,10,2,4601,森野 正弘,A1,39,雨,14,5.0,20.0,第22回日本モーターボート選手会会長賞,抜き,6.73,50.81,65.32,5.87,34.78,43.48,52.0,40.39,53.69,68.0,36.22,52.55,,,,,,25.6,61.5,0.13,3.0,6.0,0.0,1.0,1,1,16.555,14.564,14.069999999999999,-0.49400000000000155,,,,0,0,0,1-2-4
20240326,03,10,3,4835,橋本 明,B1,35,雨,14,5.0,20.0,第22回日本モーターボート選手会会長賞,抜き,4.98,25.25,48.48,4.67,29.17,45.83,39.0,38.03,52.11,56.0,38.18,59.09,,,,,,0.0,38.2,0.17,0.0,0.0,0.0,0.0,1,1,14.797,14.564,14.069999999999999,-0.49400000000000155,,,,0,0,0,1-2-4
20240326,03,10,4,4976,金山 立樹,B1,30,雨,14,5.0,20.0,第22回日本モーターボート選手会会長賞,抜き,5.05,26.13,53.15,4.82,26.09,47.83,36.0,43.27,57.69,48.0,34.65,53.47,,,,,,7.8,39.4,0.18,2.0,0.0,1.0,0.0,1,1,16.410999999999998,14.564,14.069999999999999,-0.49400000000000155,,,,,0,0,1-2-4
20240326,03,10,5,4822,百武 翔,A2,31,雨,14,5.0,20.0,第22回日本モーターボート選手会会長賞,抜き,4.78,24.14,49.14,5.23,40.0,46.67,25.0,26.97,46.07,61.0,32.16,42.21,,,,,,2.8,40.0,0.21,0.0,0.0,1.0,0.0,1,1,11.359,14.564,14.069999999999999,-0.49400000000000155,,,,0,0,0,1-2-4
20240326,03,10,6,5234,塚越 海斗,B1,25,雨,14,5.0,20.0,第22回日本モーターボート選手会会長賞,抜き,5.22,29.0,53.0,3.33,7.41,25.93,59.0,36.36,55.98,17.0,36.71,57.49,,,,,,1.4,20.7,0.18,0.0,1.0,0.0,0.0,1,1,14.44,14.564,14.069999999999999,-0.49400000000000155,,,,0,0,0,1-2-4
20240326,03,11,1,4769,馬場 剛,A1,31,雨,12,5.0,20.0,第22回日本モーターボート選手会会長賞,抜き,7.11,57.28,73.79,6.63,50.54,61.29,57.0,32.26,47.85,53.0,35.18,53.77,51.0,0.0,7.11,0.03,0,70.8,97.9,0.12,0.0,0.0,0.0,3.0,6,1,14.344,15.089999999999998,143165590.93833333,143165575.84833333,0.18000000000000002,-0.1,-0.04000000000000001,0,0,0,2-6-3
20240326,03,11,2,4133,高橋 正男,A2,43,雨,12,5.0,20.0,第22回日本モーターボート選手会会長賞,抜き,5.82,43.43,60.61,0.0,0.0,0.0,13.0,38.03,57.28,36.0,28.81,46.33,52.5,1.0,7.04,0.06,0,10.0,62.5,0.15,2.0,2.0,0.0,0.0,4,2,15.201,15.089999999999998,143165590.93833333,143165575.84833333,0.18000000000000002,-0.1,-0.04000000000000001,0,0,0,2-6-3
20240326,03,11,3,4610,佐藤 大佑,A1,33,雨,12,5.0,20.0,第22回日本モーターボート選手会会長賞,抜き,6.43,44.09,61.29,6.71,49.23,65.38,27.0,38.89,55.56,49.0,30.73,48.62,52.9,2.0,6.95,0.09,0,39.4,68.4,0.17,12.0,1.0,1.0,0.0,2,3,15.724999999999998,15.089999999999998,143165590.93833333,143165575.84833333,0.18000000000000002,-0.1,-0.04000000000000001,0,0,0,2-6-3
20240326,03,11,4,4967,中村 魁生,A2,25,雨,12,5.0,20.0,第22回日本モーターボート選手会会長賞,抜き,5.32,33.33,50.0,6.65,55.0,80.0,47.0,32.82,49.23,26.0,38.19,54.27,52.0,0.5,6.93,0.27,0,10.3,31.0,0.13,2.0,1.0,0.0,0.0,1,6,429496742.538,15.089999999999998,143165590.93833333,143165575.84833333,0.18000000000000002,-0.1,-0.04000000000000001,0,0,0,2-6-3
