hd,jcd,rno,title,decision,weather_sky,wind_dir,wind_speed_m,wave_height_cm,label_3t
20240225,1,1,第30回桐生タイムス杯,差し,雨,8,1.0,1.0,2-1-3
20240225,1,2,第30回桐生タイムス杯,逃げ,雨,17,0.0,0.0,1-3-5
20240225,1,3,第30回桐生タイムス杯,逃げ,雨,4,1.0,1.0,1-3-4
20240225,1,4,第30回桐生タイムス杯,まくり差し,雨,4,1.0,1.0,3-1-4
20240225,1,5,第30回桐生タイムス杯,差し,雨,4,1.0,1.0,2-1-6
20240225,1,6,第30回桐生タイムス杯,逃げ,雨,4,1.0,1.0,1-3-2
20240225,1,7,第30回桐生タイムス杯,逃げ,雨,4,1.0,1.0,1-3-5
20240225,1,8,第30回桐生タイムス杯,逃げ,雨,4,1.0,1.0,1-3-5
20240225,1,9,第30回桐生タイムス杯,逃げ,雨,4,1.0,1.0,1-3-6
20240225,1,10,第30回桐生タイムス杯,逃げ,雨,4,1.0,1.0,1-2-4
20240225,1,11,第30回桐生タイムス杯,逃げ,雨,4,1.0,1.0,1-4-2
20240225,1,12,第30回桐生タイムス杯,逃げ,雨,4,1.0,1.0,1-6-4
20240225,4,1,創刊55周年記念夕刊フジ杯〜A1級vs東京支部〜,まくり,雨,13,4.0,3.0,4-6-1
20240225,4,2,創刊55周年記念夕刊フジ杯〜A1級vs東京支部〜,まくり,雨,11,2.0,3.0,4-3-6
20240225,4,3,創刊55周年記念夕刊フジ杯〜A1級vs東京支部〜,まくり差し,雨,13,3.0,3.0,5-1-6
20240225,4,4,創刊55周年記念夕刊フジ杯〜A1級vs東京支部〜,まくり差し,雨,11,3.0,3.0,3-2-6
20240225,4,5,創刊55周年記念夕刊フジ杯〜A1級vs東京支部〜,逃げ,雨,11,2.0,3.0,1-3-6
20240225,4,6,創刊55周年記念夕刊フジ杯〜A1級vs東京支部〜,まくり差し,雨,11,1.0,3.0,3-5-4
20240225,4,7,創刊55周年記念夕刊フジ杯〜A1級vs東京支部〜,まくり差し,雨,11,3.0,3.0,4-3-2
