hd,jcd,rno,lane,regno,st_sec,st_is_f,st_is_late,st_penalized,st_observed,tenji_st_sec,tenji_is_f,tenji_f_over_sec,tenji_rank,st_rank,course_avg_st,course_first_rate,course_3rd_rate
20240225,1,10,1,4988,,0,0,0,0,0.18,0,,2,4,0.14,47.0,76.4
20240225,1,10,2,4058,,0,0,0,0,0.11,0,,1,3,0.17,11.7,62.7
20240225,1,10,3,4440,,0,0,0,0,0.18,0,,2,4,0.17,2.9,38.2
20240225,1,10,4,4664,,0,0,0,0,0.19,0,,3,5,0.17,7.4,33.3
20240225,1,10,5,5285,,0,0,0,0,,1,0.03,4,1,0.23,0.0,0.0
20240225,1,10,6,3827,,0,0,0,0,,1,0.05,4,2,0.2,0.0,11.1
20240225,1,11,1,4566,,0,0,0,0,0.02,0,,1,3,0.14,76.7,90.4
20240225,1,11,2,4491,,0,0,0,0,,1,0.02,4,1,0.17,15.0,55.0
20240225,1,11,3,4436,,0,0,0,0,,1,0.03,4,2,0.14,9.3,67.4
20240225,1,11,4,4677,,0,0,0,0,0.11,0,,2,4,0.12,33.3,61.9
20240225,1,11,5,3838,,0,0,0,0,0.15,0,,3,5,0.12,3.5,21.4
20240225,1,11,6,4788,,0,0,0,0,0.11,0,,2,4,0.15,0.0,40.0
20240225,1,12,1,3966,,0,0,0,0,0.16,0,,3,3,0.16,51.5,79.6
20240225,1,12,2,4872,,0,0,0,0,0.04,0,,1,1,0.15,17.0,68.2
20240225,1,12,3,4594,,0,0,0,0,0.09,0,,2,2,0.15,11.3,56.6
20240225,1,12,4,3713,,0,0,0,0,0.25,0,,4,4,0.12,23.2,65.1
20240225,1,12,5,4700,,0,0,0,0,0.28,0,,6,6,0.2,14.2,51.4
20240225,1,12,6,4653,,0,0,0,0,0.26,0,,5,5,0.15,5.1,35.9
20240225,1,1,1,3414,,0,0,0,0,,,,1,1,0.12,43.3,80.0
20240225,1,1,2,4436,,0,0,0,0,,,,1,1,0.15,13.0,63.0
20240225,1,1,3,3339,,0,0,0,0,,,,1,1,0.13,17.8,67.8
20240225,1,1,4,3400,,0,0,0,0,,,,1,1,0.17,0.0,23.0
20240225,1,1,5,4988,,0,0,0,0,,,,1,1,0.13,5.2,28.9
20240225,1,1,6,3448,,0,0,0,0,,,,1,1,0.18,0.0,15.1
20240225,1,2,1,4440,,0,0,0,0,0.05,0,,1,1,0.15,23.3,70.0
20240225,1,2,2,4700,,0,0,0,0,0.11,0,,4,4,0.19,19.4,61.1
20240225,1,2,3,3161,,0,0,0,0,0.1,0,,3,3,0.17,5.0,57.6
20240225,1,2,4,5285,,0,0,0,0,0.11,0,,4,4,0.2,0.0,20.0
20240225,1,2,5,3881,,0,0,0,0,0.09,0,,2,2,0.17,4.1,22.9
20240225,1,2,6,4467,,0,0,0,0,0.11,0,,4,4,0.16,0.0,26.6
20240225,1,3,1,4789,,0,0,0,0,,1,0.04,6,1,0.15,42.1,73.6
20240225,1,3,2,4664,,0,0,0,0,0.03,0,,1,2,0.2,7.6,38.4
20240225,1,3,3,3838,,0,0,0,0,0.06,0,,2,3,0.13,9.5,54.7
20240225,1,3,4,5222,,0,0,0,0,0.22,0,,4,5,0.14,9.3,55.8
20240225,1,3,5,4653,,0,0,0,0,0.17,0,,3,4,0.14,6.3,42.5
20240225,1,3,6,5289,,0,0,0,0,0.24,0,,5,6,0.19,0.8,20.1
20240225,1,4,1,4693,,0,0,0,0,,1,0.01,5,1,0.16,27.2,54.5
20240225,1,4,2,3441,,0,0,0,0,0.13,0,,3,5,0.19,17.5,52.5
20240225,1,4,3,3713,,0,0,0,0,0.11,0,,2,4,0.14,13.1,50.0
20240225,1,4,4,3945,,0,0,0,0,0.23,0,,4,6,0.18,14.8,55.5
20240225,1,4,5,4788,,0,0,0,0,,1,0.02,5,2,0.14,13.3,57.7
20240225,1,4,6,5033,,0,0,0,0,0.08,0,,1,3,0.2,2.2,18.1
20240225,1,5,1,4872,,0,0,0,0,0.01,0,,1,3,0.14,45.6,80.4
20240225,1,5,2,4566,,0,0,0,0,0.05,0,,3,5,0.15,25.4,80.3
20240225,1,5,3,4865,,0,0,0,0,,1,0.0,5,1,0.17,9.6,38.7
20240225,1,5,4,3827,,0,0,0,0,0.08,0,,4,6,0.15,4.3,21.7
20240225,1,5,5,5073,,0,0,0,0,,1,0.01,5,2,0.15,2.4,39.0
20240225,1,5,6,5029,,0,0,0,0,0.02,0,,2,4,0.15,0.0,17.7
20240225,1,6,1,4491,,0,0,0,0,0.05,0,,2,3,0.16,51.1,88.3
20240225,1,6,2,4467,,0,0,0,0,0.01,0,,1,2,0.15,13.1,60.5
20240225,1,6,3,4216,,0,0,0,0,0.05,0,,2,3,0.14,9.5,61.9
20240225,1,6,4,5004,,0,0,0,0,0.14,0,,3,4,0.14,8.3,45.8
20240225,1,6,5,3414,,0,0,0,0,,1,0.02,4,1,0.16,0.0,28.0
20240225,1,6,6,4487,,0,0,0,0,0.05,0,,2,3,0.2,0.0,10.3
20240225,1,7,1,4594,,0,0,0,0,0.08,0,,2,2,0.12,72.7,90.9
20240225,1,7,2,3448,,0,0,0,0,0.08,0,,2,2,0.18,8.1,56.7
20240225,1,7,3,4677,,0,0,0,0,0.02,0,,1,1,0.15,21.4,59.5
20240225,1,7,4,2538,,0,0,0,0,0.15,0,,4,4,0.2,0.0,25.8
20240225,1,7,5,5289,,0,0,0,0,0.13,0,,3,3,0.2,7.6,15.3
20240225,1,7,6,5242,,0,0,0,0,0.02,0,,1,1,0.18,0.0,1.3
20240225,1,8,1,3339,,0,0,0,0,0.01,0,,1,2,0.16,37.0,55.5
20240225,1,8,2,4639,,0,0,0,0,0.05,0,,2,3,0.16,6.0,51.5
20240225,1,8,3,3945,,0,0,0,0,,1,0.02,6,1,0.2,6.6,46.6
20240225,1,8,4,4789,,0,0,0,0,0.08,0,,3,4,0.16,7.6,34.6
20240225,1,8,5,3966,,0,0,0,0,0.17,0,,5,6,0.17,13.4,57.6
20240225,1,8,6,3881,,0,0,0,0,0.11,0,,4,5,0.19,0.0,25.0
20240225,1,9,1,5073,,0,0,0,0,0.15,0,,5,5,0.19,29.1,62.5
20240225,1,9,2,3161,,0,0,0,0,0.11,0,,3,3,0.18,12.7,60.3
20240225,1,9,3,5222,,0,0,0,0,0.09,0,,2,2,0.14,11.1,70.3
20240225,1,9,4,3441,,0,0,0,0,0.11,0,,3,3,0.17,4.7,42.8
20240225,1,9,5,5177,,0,0,0,0,0.14,0,,4,4,0.2,0.0,7.8
20240225,1,9,6,3400,,0,0,0,0,0.08,0,,1,1,0.22,0.0,16.6
20240225,4,10,1,4059,,0,0,0,0,0.1,0,,3,5,0.18,61.3,81.8
20240225,4,10,2,3800,,0,0,0,0,0.05,0,,1,3,0.18,13.6,59.0
20240225,4,10,3,3313,,0,0,0,0,0.13,0,,4,6,0.16,6.0,48.4
20240225,4,10,4,4906,,0,0,0,0,,1,0.06,5,2,0.16,5.2,36.8
20240225,4,10,5,4074,,0,0,0,0,0.09,0,,2,4,0.13,12.0,54.0
20240225,4,10,6,3569,,0,0,0,0,,1,0.03,5,1,0.23,0.0,13.3
20240225,4,11,1,4793,,0,0,0,0,0.14,0,,4,5,0.14,72.7,89.0
20240225,4,11,2,4944,,0,0,0,0,0.04,0,,2,3,0.17,9.6,45.1
20240225,4,11,3,3908,,0,0,0,0,0.01,0,,1,2,0.13,20.0,71.1
20240225,4,11,4,4976,,0,0,0,0,0.07,0,,3,4,0.18,7.8,39.4
20240225,4,11,5,4274,,0,0,0,0,,1,0.09,5,1,0.18,9.3,31.2
20240225,4,11,6,4818,,0,0,0,0,0.01,0,,1,2,0.15,3.0,30.3
20240225,4,12,1,3679,,0,0,0,0,0.02,0,,2,6,0.13,71.1,97.7
20240225,4,12,2,4815,,0,0,0,0,0.01,0,,1,5,0.16,4.2,38.3
20240225,4,12,3,5044,,0,0,0,0,,1,0.04,3,3,0.15,13.1,44.7
20240225,4,12,4,4568,,0,0,0,0,,1,0.02,3,1,0.11,13.3,46.6
20240225,4,12,5,4776,,0,0,0,0,,1,0.03,3,2,0.16,9.7,56.1
20240225,4,12,6,3857,,0,0,0,0,,1,0.08,3,4,0.2,4.2,43.3
20240225,4,1,1,4560,,0,0,0,0,0.17,0,,6,6,0.14,74.1,90.3
20240225,4,1,2,4245,,0,0,0,0,0.06,0,,3,3,0.19,8.5,45.7
20240225,4,1,3,5007,,0,0,0,0,0.05,0,,2,2,0.17,2.9,58.8
20240225,4,1,4,4953,,0,0,0,0,0.04,0,,1,1,0.16,27.6,59.5
20240225,4,1,5,4976,,0,0,0,0,0.08,0,,4,4,0.19,2.3,28.5
20240225,4,1,6,4728,,0,0,0,0,0.09,0,,5,5,0.19,0.0,22.5
20240225,4,2,1,4345,,0,0,0,0,0.02,0,,1,3,0.16,46.8,71.8
20240225,4,2,2,3293,,0,0,0,0,,1,0.01,4,1,0.22,0.0,39.2
20240225,4,2,3,5023,,0,0,0,0,0.18,0,,3,5,0.17,12.5,46.8
20240225,4,2,4,5044,,0,0,0,0,,1,0.02,4,2,0.12,14.2,57.1
20240225,4,2,5,3569,,0,0,0,0,0.02,0,,1,3,0.21,0.0,10.2
20240225,4,2,6,4037,,0,0,0,0,0.17,0,,2,4,0.18,3.4,17.2
20240225,4,3,1,4568,,0,0,0,0,0.08,0,,2,2,0.13,42.4,84.8
20240225,4,3,2,3377,,0,0,0,0,0.14,0,,3,3,0.19,3.8,46.1
20240225,4,3,3,3141,,0,0,0,0,0.03,0,,1,1,0.2,8.3,44.4
20240225,4,3,4,4615,,0,0,0,0,0.03,0,,1,1,0.19,3.0,39.3
20240225,4,3,5,4793,,0,0,0,0,0.19,0,,4,4,0.13,8.5,46.8
20240225,4,3,6,3800,,0,0,0,0,0.03,0,,1,1,0.23,6.9,24.1
20240225,4,4,1,4995,,0,0,0,0,0.06,0,,2,2,0.18,20.8,50.0
20240225,4,4,2,4169,,0,0,0,0,0.04,0,,1,1,0.18,8.1,45.9
20240225,4,4,3,4074,,0,0,0,0,0.07,0,,3,3,0.13,21.4,64.2
20240225,4,4,4,5331,,0,0,0,0,0.11,0,,5,5,0.0,0.0,0.0
20240225,4,4,5,4944,,0,0,0,0,0.15,0,,6,6,0.16,10.0,30.0
20240225,4,4,6,4619,,0,0,0,0,0.1,0,,4,4,0.22,0.0,7.4
20240225,4,5,1,4953,,0,0,0,0,0.04,0,,3,5,0.14,64.9,91.2
20240225,4,5,2,3313,,0,0,0,0,0.01,0,,1,3,0.16,6.9,44.8
20240225,4,5,3,4274,,0,0,0,0,0.03,0,,2,4,0.17,5.2,44.7
20240225,4,5,4,5253,,0,0,0,0,0.13,0,,4,6,0.25,3.7,7.4
20240225,4,5,5,4815,,0,0,0,0,,1,0.07,5,2,0.18,2.1,32.6
20240225,4,5,6,3505,,0,0,0,0,,1,0.06,5,1,0.14,0.0,17.2
20240225,4,6,1,3340,,0,0,0,0,0.08,0,,3,4,0.19,16.2,70.2
20240225,4,6,2,4345,,0,0,0,0,0.04,0,,1,2,0.17,10.0,43.3
20240225,4,6,3,4906,,0,0,0,0,0.04,0,,1,2,0.15,9.5,52.3
20240225,4,6,4,4245,,0,0,0,0,,1,0.03,5,1,0.17,6.4,41.9
20240225,4,6,5,3857,,0,0,0,0,0.07,0,,2,3,0.12,0.0,66.6
20240225,4,6,6,3908,,0,0,0,0,0.11,0,,4,5,0.14,4.5,52.2
20240225,4,7,1,4676,,0,0,0,0,0.11,0,,2,2,0.16,58.0,77.4
20240225,4,7,2,4615,,0,0,0,0,0.12,0,,3,3,0.19,15.9,52.2
20240225,4,7,3,3679,,0,0,0,0,0.07,0,,1,1,0.14,7.5,72.5
20240225,4,7,4,4560,,0,0,0,0,0.28,0,,6,6,0.13,17.6,50.0
20240225,4,7,5,3812,,0,0,0,0,0.13,0,,4,4,0.16,2.7,32.4
20240225,4,7,6,3293,,0,0,0,0,0.2,0,,5,5,0.23,0.0,15.0
20240225,4,8,1,3277,,0,0,0,0,,,,1,1,0.18,27.5,72.4
20240225,4,8,2,3813,,0,0,0,0,,,,1,1,0.16,4.7,73.8
20240225,4,8,3,4995,,0,0,0,0,,,,1,1,0.17,3.4,37.9
20240225,4,8,4,5007,,0,0,0,0,,,,1,1,0.18,8.8,44.1
20240225,4,8,5,5023,,0,0,0,0,,,,1,1,0.18,5.8,35.2
20240225,4,8,6,3141,,0,0,0,0,,,,1,1,0.22,0.0,10.7
20240225,4,9,1,4211,,0,0,0,0,,1,0.03,3,1,0.18,25.0,58.3
20240225,4,9,2,4037,,0,0,0,0,0.04,0,,1,3,0.15,39.0,63.4
20240225,4,9,3,4880,,0,0,0,0,,1,0.04,3,2,0.16,16.1,48.3
20240225,4,9,4,3377,,0,0,0,0,,1,0.04,3,2,0.18,10.7,39.2
20240225,4,9,5,4728,,0,0,0,0,0.05,0,,2,4,0.19,2.7,16.2
20240225,4,9,6,4169,,0,0,0,0,0.05,0,,2,4,0.18,3.0,18.1
20240225,5,10,1,4680,,0,0,0,0,0.15,0,,3,3,0.21,33.3,81.2
20240225,5,10,2,3518,,0,0,0,0,0.14,0,,2,2,0.2,6.2,56.2
20240225,5,10,3,3579,,0,0,0,0,0.18,0,,4,4,0.16,17.5,65.0
20240225,5,10,4,4484,,0,0,0,0,0.15,0,,3,3,0.16,5.7,40.0
20240225,5,10,5,3289,,0,0,0,0,0.12,0,,1,1,0.19,6.2,31.2
20240225,5,10,6,3528,,0,0,0,0,0.12,0,,1,1,0.23,4.5,13.6
20240225,5,11,1,3960,,0,0,0,0,,1,0.01,5,1,0.11,79.3,92.0
20240225,5,11,2,3256,,0,0,0,0,,1,0.02,5,2,0.13,23.5,62.7
20240225,5,11,3,4081,,0,0,0,0,0.08,0,,2,4,0.18,9.3,46.5
20240225,5,11,4,4116,,0,0,0,0,0.01,0,,1,3,0.18,9.7,36.5
20240225,5,11,5,3656,,0,0,0,0,0.26,0,,4,6,0.17,8.3,36.1
20240225,5,11,6,4851,,0,0,0,0,0.16,0,,3,5,0.17,0.0,45.7
20240225,5,12,1,4961,,0,0,0,0,0.06,0,,3,3,0.13,70.0,88.0
20240225,5,12,2,3932,,0,0,0,0,0.17,0,,6,6,0.17,37.0,70.3
20240225,5,12,3,4117,,0,0,0,0,0.16,0,,5,5,0.16,14.7,64.7
20240225,5,12,4,4240,,0,0,0,0,0.01,0,,1,1,0.13,21.0,36.8
20240225,5,12,5,4286,,0,0,0,0,0.08,0,,4,4,0.16,2.6,26.3
20240225,5,12,6,4642,,0,0,0,0,0.03,0,,2,2,0.15,6.9,34.4
20240225,5,1,1,3497,,0,0,0,0,0.07,0,,4,6,0.16,60.9,87.8
20240225,5,1,2,4573,,0,0,0,0,,1,0.09,5,2,0.14,22.2,86.1
20240225,5,1,3,3256,,0,0,0,0,0.01,0,,1,3,0.13,21.7,67.3
20240225,5,1,4,4113,,0,0,0,0,,1,0.05,5,1,0.2,2.3,27.9
20240225,5,1,5,5332,,0,0,0,0,0.06,0,,3,5,0.0,0.0,0.0
20240225,5,1,6,5122,,0,0,0,0,0.03,0,,2,4,0.19,0.0,11.4
20240225,5,2,1,4484,,0,0,0,0,0.21,0,,6,6,0.2,12.9,58.0
20240225,5,2,2,4994,,0,0,0,0,0.1,0,,4,4,0.17,13.8,80.5
20240225,5,2,3,5079,,0,0,0,0,0.01,0,,1,1,0.18,8.5,31.4
20240225,5,2,4,4286,,0,0,0,0,0.06,0,,3,3,0.16,12.5,54.1
20240225,5,2,5,5277,,0,0,0,0,0.03,0,,2,2,0.21,0.0,14.2
20240225,5,2,6,4224,,0,0,0,0,0.17,0,,5,5,0.21,0.0,13.6
20240225,5,3,1,4596,,0,0,0,0,0.11,0,,4,4,0.15,49.0,90.5
20240225,5,3,2,4075,,0,0,0,0,0.11,0,,4,4,0.14,16.2,81.4
20240225,5,3,3,5127,,0,0,0,0,0.09,0,,3,3,0.17,5.2,31.5
