hd,jcd,rno,lane,regno,st,tenji_st,tenji_rank,st_rank,course_avg_st,course_first_rate,course_3rd_rate
20240131,01,10,1,4518,0.15,0.0004,6,39,0.14,67.5,95.0
20240131,01,10,2,4420,0.17,0.03,18,1,0.13,14.8,74.4
20240131,01,10,3,4512,0.1,0.11,18,9,0.15,35.4,80.6
20240131,01,10,4,4949,0.09,0.0001,9,39,0.17,20.5,56.4
20240131,01,10,5,3268,0.13,0.04,7,2,0.2,0.0,25.9
20240131,01,10,6,3912,0.11,0.13,15,11,0.15,0.0,28.5
20240131,01,11,1,3679,0.05,0.08,13,6,0.13,71.1,97.7
20240131,01,11,2,4331,0.05,0.04,10,2,0.13,10.4,58.3
20240131,01,11,3,4128,0.07,0.08,26,6,0.12,7.3,58.5
20240131,01,11,4,3686,0.08,0.05,16,3,0.13,8.8,52.9
20240131,01,11,5,4370,0.16,0.06,12,4,0.16,7.5,47.5
20240131,01,11,6,5220,0.17,0.14,25,12,0.19,0.0,11.1
20240131,01,12,1,4760,0.21,0.0004,9,39,0.13,68.6,88.0
20240131,01,12,2,4748,0.16,0.0005,1,39,0.14,20.9,69.7
20240131,01,12,3,4659,0.12,0.25,10,23,0.14,24.4,75.5
20240131,01,12,4,3532,0.22,0.37,10,34,0.15,7.6,53.8
20240131,01,12,5,4233,0.14,0.33,15,31,0.17,0.0,35.1
20240131,01,12,6,4866,0.11,0.21,14,19,0.15,4.6,18.6
20240131,01,1,1,5109,0.19,0.0002,8,39,0.16,26.3,63.1
20240131,01,1,2,3692,0.24,0.0001,15,39,0.14,7.1,64.2
20240131,01,1,3,3907,0.25,0.01,23,39,0.15,15.3,76.9
20240131,01,1,4,3578,0.24,0.0007000000000000001,18,39,0.21,2.7,41.6
20240131,01,1,5,5070,0.23,0.09,27,7,0.22,5.5,27.7
20240131,01,1,6,5315,0.33,0.001,17,39,0.21,0.0,5.0
20240131,01,2,1,5020,0.22,0.0004,17,39,0.14,53.8,61.5
20240131,01,2,2,4822,0.2,0.0002,14,39,0.18,13.3,63.3
20240131,01,2,3,4834,0.28,0.0013,18,39,0.16,14.6,46.3
20240131,01,2,4,4293,0.24,0.0006,22,39,0.15,2.5,41.0
20240131,01,2,5,3839,0.2,0.0001,25,39,0.17,2.2,25.0
20240131,01,2,6,3502,0.19,0.22,23,20,0.23,9.0,27.2
20240131,01,3,1,4902,0.16,0.0004,8,39,0.16,51.3,75.6
20240131,01,3,2,4506,0.19,0.18,14,16,0.16,17.9,64.1
20240131,01,3,3,5222,0.11,0.06,8,4,0.14,11.1,70.3
20240131,01,3,4,4518,0.11,0.12,3,10,0.15,22.2,66.6
20240131,01,3,5,3686,0.12,0.24,10,22,0.16,5.8,41.1
20240131,01,3,6,4318,0.13,0.13,17,11,0.15,0.0,31.2
20240131,01,4,1,3912,0.18,0.02,11,39,0.16,54.8,77.4
20240131,01,4,2,4429,0.18,0.0003,19,39,0.16,8.1,32.4
20240131,01,4,3,3268,0.19,0.06,9,4,0.17,9.5,45.2
20240131,01,4,4,4114,0.29,0.06,14,4,0.17,34.2,63.1
20240131,01,4,5,4821,0.17,0.0004,5,39,0.18,4.5,31.8
20240131,01,4,6,3679,0.21,0.03,15,1,0.15,2.8,57.1
20240131,01,5,1,4949,0.13,0.06,10,4,0.16,63.0,93.4
20240131,01,5,2,4128,0.08,0.0011,18,39,0.13,11.1,66.6
20240131,01,5,3,4626,0.07,0.03,13,1,0.16,20.8,45.8
20240131,01,5,4,3790,0.15,0.01,10,39,0.18,2.7,41.6
20240131,01,5,5,4512,0.06,0.08,17,6,0.14,15.0,57.5
20240131,01,5,6,5109,0.1,0.04,9,2,0.19,0.0,25.0
20240131,01,6,1,4420,0.07,0.05,21,3,0.14,60.0,94.0
20240131,01,6,2,3419,0.14,0.12,35,10,0.19,5.7,42.8
20240131,01,6,3,3808,0.12,0.0,29,39,0.16,9.3,31.2
20240131,01,6,4,4834,0.11,0.29,24,27,0.16,3.1,43.7
20240131,01,6,5,5315,0.12,0.32,45,30,0.0,0.0,0.0
20240131,01,6,6,3411,0.11,0.18,18,16,0.2,0.0,13.0
20240131,01,7,1,4331,0.12,0.02,18,39,0.12,47.0,85.2
