hd,jcd,rno,lane,regno,st,tenji_st,tenji_rank,st_rank,course_avg_st,course_first_rate,course_3rd_rate
20240319,1,10,1,4580,,,2,4,0.16,54.3,84.7
20240319,1,10,2,4578,,0.04,1,2,0.17,6.6,43.3
20240319,1,10,3,4089,,0.01,5,1,0.16,6.8,65.9
20240319,1,10,4,4188,,,4,4,0.12,23.8,78.5
20240319,1,10,5,4458,,0.11,2,3,0.15,6.1,30.6
20240319,1,10,6,5150,,,3,4,0.17,5.0,37.5
20240319,1,11,1,4090,,0.05,1,1,0.12,75.0,98.0
20240319,1,11,2,3475,,0.11,2,2,0.18,11.4,77.1
20240319,1,11,3,4608,,0.12,3,3,0.17,32.5,67.4
20240319,1,11,4,3226,,0.14,4,4,0.16,4.6,30.2
20240319,1,11,5,4105,,0.11,5,2,0.18,2.2,42.2
20240319,1,11,6,3793,,0.15,6,5,0.21,0.0,15.0
20240319,1,12,1,3909,,,2,4,0.12,66.6,87.5
20240319,1,12,2,4163,,,2,4,0.17,9.3,67.4
20240319,1,12,3,4120,,,4,4,0.14,9.3,67.4
20240319,1,12,4,4308,,0.09,3,1,0.15,21.4,57.1
20240319,1,12,5,4025,,0.13,1,2,0.17,1.8,56.3
20240319,1,12,6,4654,,0.23,1,3,0.16,0.0,24.1
20240319,1,1,1,3419,,0.16,3,4,0.17,22.2,62.9
20240319,1,1,2,3107,,,4,6,0.2,0.0,40.7
20240319,1,1,3,4274,,0.01,4,1,0.17,5.2,44.7
20240319,1,1,4,4114,,0.11,1,2,0.17,34.2,63.1
20240319,1,1,5,4580,,0.13,3,3,0.17,8.3,35.4
20240319,1,1,6,4229,,0.19,2,5,0.2,2.8,14.2
20240319,1,2,1,5061,,0.08,4,1,0.19,11.7,41.1
20240319,1,2,2,3268,,0.08,1,1,0.18,11.4,45.7
20240319,1,2,3,3475,,0.08,2,1,0.18,14.2,66.6
20240319,1,2,4,4340,,0.28,3,3,0.15,21.8,62.5
20240319,1,2,5,3482,,0.11,5,2,0.15,5.4,27.0
20240319,1,2,6,4120,,,6,4,0.17,0.0,20.5
20240319,1,3,1,3619,,0.15,2,3,0.17,37.1,80.0
20240319,1,3,2,4090,,0.17,1,5,0.13,24.3,73.1
20240319,1,3,3,4025,,0.16,2,4,0.18,17.5,73.6
20240319,1,3,4,4319,,0.05,3,1,0.19,4.7,54.7
20240319,1,3,5,5252,,0.23,4,6,0.16,8.3,33.3
20240319,1,3,6,4345,,0.07,5,2,0.19,0.0,21.2
20240319,1,4,1,4031,,0.21,3,2,0.16,21.7,65.2
20240319,1,4,2,4654,,0.25,5,4,0.14,14.7,76.4
20240319,1,4,3,3911,,0.08,5,1,0.15,3.0,60.6
