hd,jcd,rno,lane,regno,st_sec,st_is_f,st_is_late,st_penalized,st_observed,tenji_st_sec,tenji_is_f,tenji_f_over_sec,tenji_rank,st_rank,course_avg_st,course_first_rate,course_3rd_rate
20240308,1,10,1,3659,,,,,,0.04,0,,3,,0.15,62.5,93.7
20240308,1,10,2,4121,,,,,,0.02,0,,1,,0.14,6.9,55.1
20240308,1,10,3,5141,,,,,,0.09,0,,5,,0.13,15.7,65.7
20240308,1,10,4,3538,,,,,,0.03,0,,2,,0.17,0.0,53.3
20240308,1,10,5,3905,,,,,,0.12,0,,6,,0.15,7.8,44.7
20240308,1,10,6,3614,,,,,,0.08,0,,4,,0.2,3.5,14.2
20240308,1,11,1,4238,,,,,,,1,0.02,,,0.1,84.4,93.1
20240308,1,11,2,3790,,,,,,0.03,0,,2,,0.17,18.9,59.4
20240308,1,11,3,3686,,,,,,0.02,0,,1,,0.16,2.5,65.0
20240308,1,11,4,4218,,,,,,0.2,0,,4,,0.18,15.2,57.6
20240308,1,11,5,3970,,,,,,0.18,0,,3,,0.16,4.0,40.0
20240308,1,11,6,3869,,,,,,0.22,0,,5,,0.18,0.0,25.0
20240308,1,12,1,3445,,,,,,0.01,0,,1,,0.17,52.6,84.2
20240308,1,12,2,3567,,,,,,0.12,0,,5,,0.16,0.0,30.4
20240308,1,12,3,4046,,,,,,0.19,0,,6,,0.19,0.0,22.2
20240308,1,12,4,4012,,,,,,0.05,0,,3,,0.14,14.0,49.1
20240308,1,12,5,5074,,,,,,0.11,0,,4,,0.15,0.0,13.3
20240308,1,12,6,4382,,,,,,0.03,0,,2,,0.19,4.1,29.1
20240308,1,1,1,5234,,,,,,0.09,0,,2,,0.13,75.0,75.0
20240308,1,1,2,3538,,,,,,,1,0.03,,,0.17,13.3,53.3
20240308,1,1,3,5212,,,,,,0.13,0,,3,,0.17,0.0,25.8
20240308,1,1,4,4779,,,,,,0.05,0,,1,,0.16,12.5,12.5
20240308,1,1,5,4944,,,,,,,1,0.02,,,0.16,10.0,30.0
20240308,1,1,6,5304,,,,,,0.05,0,,1,,,,
20240308,1,2,1,4046,,,,,,0.03,0,,2,,0.16,24.0,52.0
20240308,1,2,2,3800,,,,,,0.01,0,,1,,0.18,13.6,59.0
20240308,1,2,3,3967,,,,,,0.08,0,,4,,0.2,2.9,35.2
20240308,1,2,4,4995,,,,,,0.18,0,,5,,0.2,3.0,27.2
