hd,jcd,rno,lane,racer_id,racer_name,decision4,course_first_rate,course_3rd_rate,course_avg_st,tenji_st,tenji_sec,tenji_rank,st_rank,motor_rate2,motor_rate3,boat_rate2,boat_rate3,wind_speed_m,wave_height_cm,kimarite_makuri,kimarite_sashi,kimarite_makuri_sashi,kimarite_nuki,power_lane,power_inner,power_outer,outer_over_inner,dash_attack_flag,is_strong_wind,is_crosswind
20240308,1,10,1,3659,藤生 雄人,NIGE,62.5,93.7,0.15,0.04,6.91,3,3,48.72,64.1,29.82,42.11,1.0,1.0,0.0,0.0,0.0,3.0,18.686,16.959999999999997,143165592.31333336,143165575.35333335,0,0,0
20240308,1,10,2,4121,富永 修一,NIGE,6.9,55.1,0.14,0.02,6.94,5,1,40.0,45.0,34.62,55.77,1.0,1.0,1.0,1.0,0.0,0.0,16.137999999999998,16.959999999999997,143165592.31333336,143165575.35333335,0,0,0
20240308,1,10,3,5141,大澤 風葵,NIGE,15.7,65.7,0.13,0.09,6.83,1,5,41.86,51.16,43.14,52.94,1.0,1.0,1.0,0.0,5.0,0.0,16.056,16.959999999999997,143165592.31333336,143165575.35333335,0,0,0
20240308,1,10,4,3538,菊池 峰晴,NIGE,0.0,53.3,0.17,0.03,6.89,2,2,44.12,64.71,25.0,36.67,1.0,1.0,0.0,0.0,0.0,0.0,16.8,16.959999999999997,143165592.31333336,143165575.35333335,1,0,0
20240308,1,10,5,3905,天野 友和,NIGE,7.8,44.7,0.15,0.12,6.92,4,6,45.0,62.5,30.51,42.37,1.0,1.0,2.0,0.0,1.0,0.0,429496746.48,16.959999999999997,143165592.31333336,143165575.35333335,0,0,0
20240308,1,10,6,3614,谷 勝幸,NIGE,3.5,14.2,0.2,0.08,6.95,6,4,35.9,53.85,33.33,51.85,1.0,1.0,0.0,0.0,1.0,0.0,13.659999999999998,16.959999999999997,143165592.31333336,143165575.35333335,0,0,0
20240308,1,11,1,4238,毒島 誠,NIGE,84.4,93.1,0.1,0.0002,6.76,1,1,28.57,40.0,35.0,48.33,1.0,1.0,0.0,0.0,0.0,1.0,13.327,12.701,143165588.45233333,143165575.75133333,0,0,0
20240308,1,11,2,3790,佐口 達也,NIGE,18.9,59.4,0.17,0.03,6.92,5,3,31.25,56.25,32.76,46.55,1.0,1.0,3.0,2.0,0.0,1.0,12.599,12.701,143165588.45233333,143165575.75133333,0,0,0
20240308,1,11,3,3686,鳥居塚 孝博,NIGE,2.5,65.0,0.16,0.02,6.81,2,2,28.13,43.75,32.79,54.1,1.0,1.0,1.0,0.0,0.0,0.0,12.177000000000001,12.701,143165588.45233333,143165575.75133333,0,0,0
20240308,1,11,4,4218,吉川 喜継,NIGE,15.2,57.6,0.18,0.2,6.89,4,5,23.81,47.62,25.0,42.86,1.0,1.0,1.0,4.0,3.0,1.0,11.133,12.701,143165588.45233333,143165575.75133333,0,0,0
20240308,1,11,5,3970,亀山 高雅,NIGE,4.0,40.0,0.16,0.18,6.84,3,4,32.43,54.05,36.84,56.14,1.0,1.0,0.0,0.0,0.0,1.0,12.043,12.701,143165588.45233333,143165575.75133333,0,0,0
