hd,jcd,rno,lane,regno,st_sec,st_is_f,st_is_late,st_penalized,st_observed,tenji_st_sec,tenji_is_f,tenji_f_over_sec,tenji_rank,st_rank,course_avg_st,course_first_rate,course_3rd_rate
20240213,2,10,1,4414,,,,,,0.07,0,,2,,0.19,9.5,47.6
20240213,2,10,2,4240,,,,,,0.05,0,,1,,0.15,29.0,67.7
20240213,2,10,3,3845,,,,,,0.05,0,,1,,0.17,22.7,79.5
20240213,2,10,4,5195,,,,,,0.15,0,,5,,0.15,7.6,23.0
20240213,2,10,5,4690,,,,,,0.13,0,,4,,0.16,15.6,28.1
20240213,2,10,6,4419,,,,,,0.12,0,,3,,0.16,0.0,4.0
20240213,2,11,1,5045,,,,,,0.03,0,,2,,0.17,45.7,82.8
20240213,2,11,2,4399,,,,,,0.07,0,,4,,0.18,11.5,61.5
20240213,2,11,3,4891,,,,,,0.05,0,,3,,0.15,6.4,64.5
20240213,2,11,4,4878,,,,,,0.02,0,,1,,0.19,6.4,38.7
20240213,2,11,5,4447,,,,,,0.05,0,,3,,0.19,6.2,31.2
20240213,2,11,6,3604,,,,,,0.11,0,,5,,0.2,0.0,7.6
20240213,2,12,1,4243,,,,,,0.11,0,,3,,0.16,52.7,75.0
20240213,2,12,2,3932,,,,,,0.21,0,,5,,0.17,37.0,70.3
20240213,2,12,3,4183,,,,,,0.04,0,,2,,0.13,11.3,52.2
20240213,2,12,4,3999,,,,,,0.02,0,,1,,0.17,5.7,61.5
20240213,2,12,5,5193,,,,,,,1,0.02,,,0.17,0.0,31.9
20240213,2,12,6,4900,,,,,,0.12,0,,4,,0.24,0.0,5.0
20240213,2,1,1,5213,,,,,,0.17,0,,5,,0.27,21.4,28.5
20240213,2,1,2,5030,,,,,,0.05,0,,2,,,,
20240213,2,1,3,5003,,,,,,0.12,0,,4,,0.19,6.0,42.4
20240213,2,1,4,5241,,,,,,0.01,0,,1,,0.22,0.0,0.0
20240213,2,1,5,5140,,,,,,0.11,0,,3,,0.19,0.0,30.0
