hd,jcd,rno,lane,regno,st,tenji_st,tenji_rank,st_rank,course_avg_st,course_first_rate,course_3rd_rate
20240327,3,10,1,4792,,0.09,5,1,0.14,42.8,66.6
20240327,3,10,2,4967,,0.11,1,2,0.17,14.2,71.4
20240327,3,10,3,4652,,0.16,4,3,0.15,15.9,68.1
20240327,3,10,4,3473,,0.26,5,5,0.19,0.0,71.4
20240327,3,10,5,4161,,0.17,2,4,0.14,11.5,42.3
20240327,3,10,6,4976,,0.31,3,6,0.19,0.0,33.3
20240327,3,11,1,5221,,0.15,1,3,0.15,55.8,79.4
20240327,3,11,2,4543,,0.07,5,1,0.15,13.9,74.4
20240327,3,11,3,4769,,0.16,6,4,0.14,29.2,78.0
20240327,3,11,4,4644,,0.32,3,5,0.16,18.9,56.7
20240327,3,11,5,4601,,0.12,2,2,0.14,9.0,50.0
20240327,3,11,6,4581,,0.12,4,2,0.12,0.0,35.7
20240327,3,12,1,4509,,0.04,5,2,0.15,51.7,84.4
20240327,3,12,2,4133,,0.35,3,5,0.15,10.0,62.5
20240327,3,12,3,4068,,0.11,1,3,0.16,25.8,70.9
20240327,3,12,4,4679,,0.02,4,1,0.18,11.5,34.6
20240327,3,12,5,5018,,,2,6,0.17,2.4,48.7
20240327,3,12,6,4610,,0.15,1,4,0.18,2.5,37.5
20240327,3,1,1,4023,,,3,3,0.16,23.5,64.7
20240327,3,1,2,4632,,0.09,6,2,0.21,7.1,57.1
20240327,3,1,3,5070,,0.07,4,1,0.21,15.0,40.0
20240327,3,1,4,5300,,,2,3,0.23,0.0,0.0
20240327,3,1,5,4728,,,5,3,0.19,2.7,16.2
20240327,3,1,6,4005,,,1,3,0.21,0.0,3.2
20240327,3,2,1,5234,,0.13,5,3,0.13,75.0,75.0
20240327,3,2,2,3436,,0.13,1,3,0.13,13.5,64.8
20240327,3,2,3,4113,,0.31,6,5,0.19,8.7,50.0
20240327,3,2,4,3303,,0.16,4,4,0.19,10.0,46.0
20240327,3,2,5,5137,,0.12,3,2,0.14,6.4,35.4
20240327,3,2,6,5238,,0.11,2,1,0.19,0.8,6.9
20240327,3,3,1,4995,,0.16,3,5,0.18,20.8,50.0
20240327,3,3,2,5210,,0.06,3,1,0.15,33.3,66.6
20240327,3,3,3,3473,,0.07,4,2,0.19,9.0,36.3
20240327,3,3,4,4563,,0.14,1,4,0.18,7.8,42.1
20240327,3,3,5,4967,,0.06,1,1,0.16,8.7,52.1
20240327,3,3,6,5290,,0.11,2,3,0.19,0.0,1.1
20240327,3,4,1,3516,,0.24,4,2,0.22,0.0,53.3
20240327,3,4,2,4601,,,1,4,0.13,25.6,61.5
20240327,3,4,3,5201,,,2,4,0.17,22.8,54.2
20240327,3,4,4,4652,,,5,4,0.13,34.6,61.2
20240327,3,4,5,4379,,0.29,5,3,0.15,4.4,35.5
20240327,3,4,6,3812,,0.09,3,1,0.18,0.0,32.3
20240327,3,5,1,4632,,0.16,6,3,0.18,27.5,62.0
20240327,3,5,2,3869,,0.28,5,5,0.19,6.6,43.3
20240327,3,5,3,4644,,0.26,4,4,0.16,11.6,55.8
20240327,3,5,4,4769,,0.13,1,2,0.14,22.2,60.0
20240327,3,5,5,4792,,,3,6,0.18,3.8,30.7
20240327,3,5,6,4822,,0.12,2,1,0.25,0.0,36.0
20240327,3,6,1,4976,,0.04,3,1,0.18,28.5,50.0
20240327,3,6,2,4161,,0.09,2,3,0.17,16.6,69.4
20240327,3,6,3,4005,,0.38,1,6,0.16,0.0,51.5
20240327,3,6,4,5238,,0.05,4,2,0.14,0.0,26.6
20240327,3,6,5,4543,,0.13,1,4,0.23,2.7,43.2
20240327,3,6,6,4113,,0.36,5,5,0.18,0.0,8.0
20240327,3,7,1,4581,,,2,5,0.11,62.0,88.0
20240327,3,7,2,4835,,0.06,5,3,0.15,10.8,67.5
20240327,3,7,3,5234,,0.08,4,4,0.2,0.0,50.0
20240327,3,7,4,4728,,0.05,6,2,0.18,8.3,47.2
20240327,3,7,5,5221,,,1,5,0.13,9.0,48.4
20240327,3,7,6,5300,,0.0,3,1,0.2,0.0,3.6
20240327,3,8,1,5210,,0.24,3,5,0.0,0.0,0.0
20240327,3,8,2,5070,,0.09,5,2,0.18,9.0,40.9
20240327,3,8,3,4995,,0.07,4,1,0.17,3.4,37.9
20240327,3,8,4,3516,,0.13,1,4,0.19,9.0,27.2
20240327,3,8,5,3436,,0.11,2,3,0.13,0.0,38.4
20240327,3,8,6,4379,,0.26,5,6,0.18,0.0,29.2
20240327,3,9,1,4563,,0.21,4,3,0.17,21.4,64.2
20240327,3,9,2,5201,,0.09,2,1,0.15,2.1,39.1
20240327,3,9,3,3303,,0.12,5,2,0.18,16.0,78.5
20240327,3,9,4,5290,,0.12,4,2,0.22,0.0,0.0
20240327,3,9,5,4822,,0.46,3,4,0.21,2.8,40.0
20240327,3,9,6,5137,,0.47,1,5,0.17,0.0,3.4
20240327,4,10,1,5016,,,2,2,0.13,73.5,88.6
20240327,4,10,2,5166,,,2,2,0.17,11.7,58.8
20240327,4,10,3,5028,,,1,2,0.19,28.1,71.8
20240327,4,10,4,5089,,0.03,4,1,0.17,2.3,65.1
20240327,4,10,5,5278,,0.03,3,1,0.18,5.8,32.3
20240327,4,10,6,5139,,,5,2,0.18,0.0,23.0
20240327,4,11,1,4847,,0.04,1,1,0.15,70.0,88.0
20240327,4,11,2,5037,,,3,2,0.14,16.2,56.7
20240327,4,11,3,5228,,,3,2,0.13,16.0,64.0
20240327,4,11,4,5075,,,3,2,0.15,13.9,60.4
20240327,4,11,5,5226,,,2,2,0.14,3.5,28.5
20240327,4,11,6,5112,,,4,2,0.19,0.0,21.0
20240327,4,12,1,4985,,,2,4,0.15,72.8,95.7
20240327,4,12,2,5023,,0.1,3,2,0.16,5.8,52.9
20240327,4,12,3,5217,,0.13,1,3,0.19,0.0,42.8
20240327,4,12,4,5267,,,5,4,0.16,17.8,60.7
20240327,4,12,5,5136,,0.03,4,1,0.12,19.5,51.2
20240327,4,12,6,5249,,,2,4,0.17,0.0,5.7
20240327,4,1,1,5179,,,2,3,0.14,52.1,69.5
20240327,4,1,2,5106,,,1,3,0.16,13.7,75.8
20240327,4,1,3,5267,,,3,3,0.11,31.5,78.9
20240327,4,1,4,5225,,0.02,5,1,0.2,0.0,0.0
20240327,4,1,5,5211,,0.02,6,1,0.14,2.9,17.6
20240327,4,1,6,5133,,0.12,4,2,0.19,0.0,40.0
20240327,4,2,1,5127,,,1,1,0.18,26.0,60.8
20240327,4,2,2,5232,,,1,1,0.16,0.0,40.0
20240327,4,2,3,5135,,,1,1,0.15,6.2,43.7
20240327,4,2,4,5217,,,1,1,0.15,17.2,58.6
20240327,4,2,5,5289,,,1,1,0.2,7.6,15.3
