hd,jcd,rno,lane,regno,wind_speed_m,kimarite_sashi,is_crosswind,boat_rate3,is_strong_wind,racer_id,dash_attack_flag,kimarite_makuri,power_lane,power_outer,course_avg_st,outer_over_inner,wave_height_cm,power_inner,decision4,motor_rate2,racer_name,kimarite_nuki,tenji_st,boat_rate2,motor_rate3,course_first_rate,kimarite_makuri_sashi,st_rank,tenji_sec,course_3rd_rate,tenji_rank
20240329,02,10,1,4025,0.0,0.0,0,37.68,0,4025,0,0.0,10.857999999999999,15.472,0.16,1.7919999999999998,0.0,13.68,MAKURI_SASHI,22.22,山本 隆幸,2.0,,21.74,37.25,70.9,0.0,1,,81.8,1
20240329,02,10,2,4737,0.0,4.0,0,48.28,0,4737,0,2.0,14.788,15.472,0.2,1.7919999999999998,0.0,13.68,MAKURI_SASHI,34.64,竹井 貴史,0.0,,30.17,54.25,20.0,0.0,1,,66.6,1
20240329,02,10,3,4201,0.0,0.0,0,53.69,0,4201,0,1.0,15.394,15.472,0.13,1.7919999999999998,0.0,13.68,MAKURI_SASHI,40.38,佐竹 友樹,1.0,,34.9,58.97,7.8,0.0,1,,65.7,1
20240329,02,10,4,4809,0.0,0.0,0,55.03,0,4809,,3.0,12.751,15.472,0.14,1.7919999999999998,0.0,13.68,MAKURI_SASHI,28.87,外崎 悟,0.0,,38.26,45.07,9.5,1.0,1,,71.4,1
20240329,02,10,5,4748,0.0,0.0,0,56.55,0,4748,0,0.0,17.287,15.472,0.16,1.7919999999999998,0.0,13.68,MAKURI_SASHI,43.11,渡邉 雄朗,0.0,,35.86,61.08,4.0,2.0,1,,59.1,1
20240329,02,10,6,4906,0.0,0.0,0,42.76,0,4906,0,0.0,16.378,15.472,0.24,1.7919999999999998,0.0,13.68,MAKURI_SASHI,41.38,鈴木 雅希,0.0,,27.59,60.92,0.0,0.0,1,,20.6,1
20240329,02,11,1,3933,1.0,0.0,0,39.83,0,3933,0,0.0,15.186,14.465666666666664,0.18,0.8586666666666645,1.0,13.607,SASHI,38.82,山地 正樹,1.0,0.0005,26.27,53.95,42.8,0.0,2,6.9,79.3,2
20240329,02,11,2,4486,1.0,4.0,0,51.35,0,4486,0,2.0,13.651999999999997,14.465666666666664,0.16,0.8586666666666645,1.0,13.607,SASHI,33.12,野村 誠,0.0,0.02,35.14,53.25,17.1,0.0,3,6.85,71.4,1
20240329,02,11,3,3805,1.0,0.0,0,55.63,0,3805,0,1.0,11.982999999999999,14.465666666666664,0.13,0.8586666666666645,1.0,13.607,SASHI,26.43,高橋 英之,2.0,0.0001,39.44,40.71,20.0,5.0,1,7.03,62.5,4
20240329,02,11,4,4144,1.0,2.0,0,36.17,0,4144,0,4.0,11.586999999999998,14.465666666666664,0.15,0.8586666666666645,1.0,13.607,SASHI,25.33,石塚 久也,0.0,0.07,20.57,43.33,24.2,2.0,4,6.94,81.8,3
