hd,jcd,rno,lane,racer_id,racer_name,grade,age,weather_sky,wind_dir,wind_speed_m,wave_height_cm,title,decision,national_win,national_2r,national_3r,local_win,local_2r,local_3r,motor_id,motor_rate2,motor_rate3,boat_id,boat_rate2,boat_rate3,weightKg,tiltDeg,tenji_sec,tenji_st,isF_tenji,course_first_rate,course_3rd_rate,course_avg_st,kimarite_makuri,kimarite_sashi,kimarite_makuri_sashi,kimarite_nuki,tenji_rank,st_rank,power_lane,power_inner,power_outer,outer_over_inner,st_diff_4_vs_3,st_diff_5_vs_4,st_diff_6_vs_5,dash_attack_flag,is_strong_wind,is_crosswind,label_3t
20240108,2,10,1,3664,鈴木 賢一,B1,53,晴,6,6.0,5.0,第54回埼玉選手権・スポーツニッポン杯争奪戦,まくり,4.55,35.29,40.0,5.35,42.39,51.09,46.0,39.39,53.54,47.0,35.42,51.04,54.6,-0.5,6.79,0.04,0,59.4,81.0,0.14,0.0,0.0,0.0,1.0,3,4,14.647,16.526333333333334,13.006666666666666,-3.5196666666666676,-0.0007,0.0013000000000000002,0.0,0,1,1,3-1-5
20240108,2,10,2,5112,砂長 知輝,A2,24,晴,6,6.0,5.0,第54回埼玉選手権・スポーツニッポン杯争奪戦,まくり,6.08,47.06,63.03,6.01,45.11,57.14,8.0,49.02,64.71,50.0,42.53,70.11,52.0,-0.5,6.76,0.0008,1,27.2,68.1,0.16,4.0,6.0,0.0,0.0,1,2,18.654,16.526333333333334,13.006666666666666,-3.5196666666666676,-0.0007,0.0013000000000000002,0.0,0,1,1,3-1-5
20240108,2,10,3,3412,鈴木 博,A1,54,晴,6,6.0,5.0,第54回埼玉選手権・スポーツニッポン杯争奪戦,まくり,5.99,39.22,59.8,6.79,49.53,69.16,54.0,41.28,57.8,19.0,29.17,47.92,53.2,-0.5,6.85,0.0008,1,15.5,55.5,0.18,2.0,1.0,3.0,1.0,5,2,16.278,16.526333333333334,13.006666666666666,-3.5196666666666676,-0.0007,0.0013000000000000002,0.0,0,1,1,3-1-5
20240108,2,10,4,4700,金子 和之,A2,36,晴,6,6.0,5.0,第54回埼玉選手権・スポーツニッポン杯争奪戦,まくり,5.51,39.08,55.17,5.73,44.59,56.76,36.0,34.38,58.33,61.0,43.88,60.2,52.1,-0.5,6.86,0.0001,1,8.1,45.9,0.18,1.0,1.0,0.0,1.0,6,1,14.02,16.526333333333334,13.006666666666666,-3.5196666666666676,-0.0007,0.0013000000000000002,0.0,0,1,1,3-1-5
20240108,2,10,5,4230,濱崎 直矢,A2,40,晴,6,6.0,5.0,第54回埼玉選手権・スポーツニッポン杯争奪戦,まくり,5.62,38.46,49.04,6.0,40.22,61.96,17.0,27.08,44.79,68.0,38.64,50.0,52.2,-0.5,6.78,0.0014000000000000002,1,5.4,59.4,0.15,0.0,0.0,2.0,0.0,2,3,11.695999999999998,16.526333333333334,13.006666666666666,-3.5196666666666676,-0.0007,0.0013000000000000002,0.0,0,1,1,3-1-5
20240108,2,10,6,3075,中村 裕将,B1,61,晴,6,6.0,5.0,第54回埼玉選手権・スポーツニッポン杯争奪戦,まくり,4.6,23.61,44.44,5.43,36.76,54.41,38.0,34.48,44.83,51.0,46.99,62.65,53.0,-0.5,6.82,0.0014000000000000002,1,0.0,19.2,0.17,0.0,0.0,0.0,0.0,4,3,13.303999999999998,16.526333333333334,13.006666666666666,-3.5196666666666676,-0.0007,0.0013000000000000002,0.0,0,1,1,3-1-5
20240108,2,11,1,4547,中田 竜太,A1,35,晴,6,4.0,3.0,第54回埼玉選手権・スポーツニッポン杯争奪戦,逃げ,6.66,38.24,63.73,6.89,53.47,71.29,20.0,48.65,63.06,37.0,48.42,69.47,,,,,,70.8,85.4,0.13,0.0,0.0,0.0,0.0,1,1,18.990999999999996,14.818999999999997,15.557,0.7380000000000031,,,,0,0,1,1-2-3
20240108,2,11,2,5191,飛田 江己,B1,22,晴,6,4.0,3.0,第54回埼玉選手権・スポーツニッポン杯争奪戦,逃げ,5.83,46.32,57.89,4.45,24.1,38.55,7.0,31.18,43.01,25.0,36.84,43.16,,,,,,8.8,53.3,0.15,1.0,2.0,0.0,1.0,1,1,13.251999999999999,14.818999999999997,15.557,0.7380000000000031,,,,0,0,1,1-2-3
20240108,2,11,3,3251,平石 和男,A2,57,晴,6,4.0,3.0,第54回埼玉選手権・スポーツニッポン杯争奪戦,逃げ,5.71,36.36,59.5,5.7,38.46,58.12,60.0,27.96,46.24,63.0,41.3,54.35,,,,,,12.9,59.2,0.18,2.0,1.0,4.0,0.0,1,1,12.214,14.818999999999997,15.557,0.7380000000000031,,,,0,0,1,1-2-3
20240108,2,11,4,5042,畑田 汰一,A1,25,晴,6,4.0,3.0,第54回埼玉選手権・スポーツニッポン杯争奪戦,逃げ,6.91,56.59,69.77,6.53,52.63,65.26,9.0,28.09,41.57,39.0,38.3,54.26,,,,,,12.2,56.1,0.13,2.0,0.0,3.0,0.0,1,1,12.973,14.818999999999997,15.557,0.7380000000000031,,,,,0,1,1-2-3
