hd,jcd,rno,lane,racer_id,st,tenji_st,course_avg_st,st_rank,power_lane
20240129,01,10,1,4748,0.04,0.18,0.16,5,17.427
20240129,01,10,2,3790,0.03,0.09,0.17,2,9.162
20240129,01,10,3,4429,0.17,0.49,0.16,6,429496742.277
20240129,01,10,4,5220,0.02,0.06,0.18,1,12.061
20240129,01,10,5,3907,0.06,0.11,0.17,4,11.008
20240129,01,10,6,4370,0.05,0.1,0.17,3,14.188999999999998
20240129,01,11,1,3679,0.25,0.07,0.13,3,15.674
20240129,01,11,2,3532,0.29,0.05,0.17,1,17.610999999999997
20240129,01,11,3,4949,0.24,0.11,0.16,5,19.997999999999998
20240129,01,11,4,4518,0.13,0.06,0.15,2,9.984
20240129,01,11,5,4233,0.2,0.31,0.17,6,429496741.383
20240129,01,11,6,4331,0.16,0.08,0.18,4,9.889
20240129,01,12,1,4760,0.19,0.01,0.13,1,6.349
20240129,01,12,2,4659,0.15,0.06,0.15,3,10.027999999999999
20240129,01,12,3,3686,0.14,0.03,0.16,2,11.775
20240129,01,12,4,4512,0.12,0.16,0.15,5,17.103
20240129,01,12,5,4420,0.15,0.01,0.16,1,11.512
20240129,01,12,6,4318,0.14,0.11,0.15,4,12.481
20240129,01,1,1,3839,0.15,0.18,0.15,5,17.268
20240129,01,1,2,4822,0.2,0.12,0.18,3,5.159
20240129,01,1,3,3692,0.16,0.07,0.15,1,19.291
20240129,01,1,4,4233,0.17,0.09,0.15,2,12.183
20240129,01,1,5,4821,0.21,0.16,0.18,4,12.109
20240129,01,1,6,3912,0.21,0.18,0.15,5,8.187
20240129,01,2,1,5070,0.21,0.21,0.18,5,15.137999999999998
20240129,01,2,2,4902,0.17,0.11,0.2,4,9.208
20240129,01,2,3,4331,0.12,0.06,0.13,2,10.089
20240129,01,2,4,4318,0.12,0.03,0.15,1,12.781
20240129,01,2,5,3419,0.23,0.08,0.25,3,13.735999999999999
20240129,01,2,6,3808,0.17,0.08,0.18,3,18.767
20240129,01,3,1,5220,0.25,0.04,0.18,2,11.961
20240129,01,3,2,3268,0.23,0.14,0.18,5,9.006
20240129,01,3,3,4866,0.25,0.11,0.16,4,15.063999999999998
20240129,01,3,4,3679,0.21,0.09,0.15,3,15.674
20240129,01,3,5,3411,0.22,0.0001,0.18,1,15.331
20240129,01,3,6,3686,0.2,0.17,0.18,6,429496740.975
20240129,01,4,1,4429,0.23,0.21,0.15,6,429496742.277
20240129,01,4,2,3563,0.18,0.01,0.18,4,9.094
20240129,01,4,3,3532,0.15,0.0001,0.15,1,17.610999999999997
20240129,01,4,4,4128,0.24,0.0013,0.15,3,6.476
20240129,01,4,5,4626,0.23,0.18,0.2,5,19.287
20240129,01,4,6,4420,0.22,0.0008,0.17,2,11.412
