hd,jcd,rno,label_3t,win_lane
20240304,2,1,2-1-4,2
20240304,2,2,1-2-3,1
20240304,2,3,2-4-5,2
20240304,2,4,2-1-4,2
20240304,2,5,1-4-6,1
20240304,2,6,4-2-3,4
20240304,2,7,5-1-2,5
20240304,2,8,1-3-5,1
20240304,2,9,6-2-4,6
20240304,2,10,2-1-3,2
20240304,2,11,1-2-6,1
20240304,2,12,1-3-6,1
20240304,3,1,5-2-1,5
20240304,3,2,1-3-6,1
20240304,3,3,1-6-2,1
20240304,3,4,1-4-3,1
20240304,3,5,1-5-3,1
20240304,3,6,3-1-2,3
20240304,3,7,2-4-6,2
20240304,3,8,1-4-5,1
20240304,3,9,3-1-2,3
20240304,3,10,1-3-6,1
20240304,3,11,1-2-5,1
20240304,3,12,4-6-1,4
20240304,4,1,2-3-6,2
20240304,4,2,1-2-5,1
20240304,4,3,1-5-2,1
20240304,4,4,2-1-3,2
20240304,4,5,1-2-3,1
20240304,4,6,4-3-2,4
20240304,4,7,1-5-4,1
20240304,4,8,3-4-2,3
20240304,4,9,1-4-2,1
20240304,4,10,4-2-5,4
20240304,4,11,2-1-5,2
20240304,4,12,1-4-2,1
20240304,6,1,2-1-5,2
20240304,6,2,1-3-2,1
20240304,6,3,1-2-3,1
20240304,6,4,1-3-4,1
20240304,6,5,1-3-4,1
20240304,6,6,1-3-4,1
20240304,6,7,1-2-3,1
20240304,6,8,1-3-6,1
20240304,6,9,1-3-6,1
20240304,6,10,1-2-5,1
20240304,6,11,1-2-4,1
20240304,6,12,1-2-3,1
20240304,7,1,6-2-5,6
20240304,7,2,1-3-5,1
20240304,7,3,3-5-2,3
20240304,7,4,1-3-2,1
20240304,7,5,4-3-6,4
20240304,7,6,4-3-2,4
20240304,7,7,4-5-3,4
20240304,7,8,1-3-4,1
20240304,7,9,4-1-3,4
20240304,7,10,1-4-3,1
20240304,7,11,3-6-5,3
20240304,7,12,1-4-3,1
20240304,9,1,1-5-4,1
20240304,9,2,4-3-2,4
20240304,9,3,4-5-3,4
20240304,9,4,5-1-3,5
20240304,9,5,1-3-2,1
20240304,9,6,1-2-6,1
20240304,9,7,5-3-1,5
20240304,9,8,2-4-6,2
20240304,9,9,1-2-4,1
20240304,9,10,1-2-3,1
20240304,9,11,1-2-5,1
20240304,9,12,2-1-3,2
20240304,11,1,4-2-6,4
20240304,11,2,1-4-2,1
20240304,11,3,2-6-4,2
20240304,11,4,4-2-5,4
20240304,11,5,1-2-4,1
20240304,11,6,1-5-2,1
20240304,11,7,1-2-3,1
20240304,11,8,4-6-3,4
20240304,11,9,6-2-1,6
20240304,11,10,1-4-3,1
20240304,11,11,1-4-2,1
20240304,11,12,1-4-6,1
20240304,13,1,3-4-5,3
20240304,13,2,4-3-6,4
20240304,13,3,1-3-2,1
20240304,13,4,3-5-2,3
20240304,13,5,3-1-6,3
20240304,13,6,1-2-3,1
20240304,13,7,1-5-4,1
20240304,13,8,6-1-2,6
20240304,13,9,1-4-5,1
20240304,13,10,1-2-4,1
20240304,13,11,4-1-3,4
20240304,13,12,1-4-6,1
20240304,16,1,1-2-5,1
20240304,16,2,1-2-5,1
20240304,16,3,6-2-3,6
20240304,16,4,3-5-2,3
20240304,16,5,1-4-5,1
20240304,16,6,6-1-3,6
20240304,16,7,2-1-6,2
20240304,16,8,2-3-4,2
20240304,16,9,4-5-1,4
20240304,16,10,6-2-1,6
20240304,16,11,1-2-5,1
20240304,16,12,5-1-4,5
20240304,20,1,3-2-4,3
20240304,20,2,3-6-2,3
20240304,20,3,1-3-4,1
20240304,20,4,1-6-3,1
20240304,20,5,3-4-2,3
20240304,20,6,1-5-2,1
20240304,20,7,1-2-6,1
20240304,20,8,2-1-3,2
20240304,20,9,1-3-5,1
20240304,20,10,3-1-4,3
20240304,20,11,1-3-2,1
20240304,20,12,2-4-6,2
20240304,21,1,1-2-3,1
20240304,21,2,1-3-5,1
20240304,21,3,3-2-5,3
20240304,21,4,1-3-4,1
20240304,21,5,1-6-3,1
20240304,21,6,1-5-3,1
20240304,21,7,1-2-4,1
20240304,21,8,1-6-5,1
20240304,21,9,1-4-2,1
20240304,21,10,3-2-5,3
20240304,21,11,1-3-5,1
20240304,21,12,2-5-3,2
20240304,22,1,4-1-6,4
20240304,22,2,4-6-2,4
20240304,22,3,1-3-2,1
20240304,22,4,3-5-2,3
20240304,22,5,2-4-3,2
20240304,22,6,1-2-3,1
20240304,22,7,4-1-5,4
20240304,22,8,1-2-4,1
20240304,22,9,1-3-2,1
20240304,22,10,1-2-3,1
20240304,22,11,1-2-3,1
20240304,22,12,1-2-4,1
20240304,23,1,1-4-2,1
20240304,23,2,1-2-5,1
20240304,23,3,1-3-5,1
20240304,23,4,1-3-4,1
20240304,23,5,5-1-2,5
20240304,23,6,1-3-2,1
20240304,23,7,1-4-6,1
20240304,23,8,1-6-3,1
20240304,23,9,1-6-3,1
20240304,23,10,1-2-5,1
20240304,23,11,4-1-5,4
20240304,23,12,1-2-3,1
20240304,24,1,5-4-1,5
20240304,24,2,2-1-5,2
20240304,24,3,5-6-2,5
20240304,24,4,1-3-4,1
20240304,24,5,6-1-2,6
20240304,24,6,1-5-6,1
20240304,24,7,4-1-5,4
20240304,24,8,2-5-3,2
20240304,24,9,2-3-5,2
20240304,24,10,1-3-2,1
20240304,24,11,1-2-5,1
20240304,24,12,1-5-3,1
