hd,jcd,rno,win_lane,win_racer_id,decision
20240323,01,10,4,4090,まくり差し
20240323,01,11,2,3909,抜き
20240323,01,12,1,4025,逃げ
20240323,01,1,1,5150,逃げ
20240323,01,2,1,3482,逃げ
20240323,01,3,1,3619,逃げ
20240323,01,4,1,3475,逃げ
20240323,01,5,1,4308,逃げ
20240323,01,6,1,4608,逃げ
20240323,01,7,4,3793,まくり
20240323,01,8,1,4491,逃げ
20240323,01,9,4,4458,まくり
20240323,03,10,1,4601,逃げ
20240323,03,11,2,4679,まくり
20240323,03,12,1,3473,逃げ
20240323,03,1,4,5238,まくり差し
20240323,03,2,1,5234,逃げ
20240323,03,3,1,3516,逃げ
20240323,03,4,4,4068,まくり
20240323,03,5,6,4610,まくり
20240323,03,6,2,5137,まくり
20240323,03,7,1,4644,逃げ
20240323,03,8,2,4068,まくり
20240323,03,9,3,4509,まくり
20240323,04,10,4,4985,まくり差し
20240323,04,11,1,5267,抜き
20240323,04,12,1,4847,逃げ
20240323,04,1,3,5256,まくり
20240323,04,2,5,5166,まくり差し
20240323,04,3,4,5037,まくり
20240323,04,4,4,5136,恵まれ
20240323,04,5,1,5051,逃げ
20240323,04,6,2,4985,差し
20240323,04,7,4,5249,抜き
20240323,04,8,1,5075,逃げ
20240323,04,9,1,5028,逃げ
20240323,05,10,1,4398,逃げ
20240323,05,11,1,4737,逃げ
20240323,05,12,1,4759,逃げ
20240323,05,1,2,4039,差し
20240323,05,2,1,3656,逃げ
20240323,05,3,1,4047,逃げ
20240323,05,4,1,3988,逃げ
20240323,05,5,1,3888,逃げ
20240323,05,6,2,4850,差し
20240323,05,7,4,4413,まくり
20240323,05,8,5,4565,まくり差し
20240323,05,9,1,4318,逃げ
20240323,06,10,1,3743,逃げ
20240323,06,11,1,3811,逃げ
20240323,06,12,3,4532,まくり差し
20240323,06,1,3,4958,まくり
20240323,06,2,5,4252,まくり
20240323,06,3,2,3876,差し
20240323,06,4,1,4532,逃げ
20240323,06,5,1,4488,逃げ
20240323,06,6,1,3907,逃げ
20240323,06,7,1,3300,逃げ
20240323,06,8,1,4958,逃げ
20240323,06,9,1,3876,逃げ
20240323,09,10,1,4483,逃げ
20240323,09,11,1,4512,逃げ
20240323,09,12,2,4055,差し
20240323,09,1,2,5013,まくり
20240323,09,2,1,3605,逃げ
20240323,09,3,1,3445,逃げ
20240323,09,4,1,3319,逃げ
20240323,09,5,1,3931,逃げ
20240323,09,6,1,3975,逃げ
20240323,09,7,1,4463,逃げ
20240323,09,8,4,4947,まくり
20240323,09,9,1,4713,逃げ
20240323,10,10,1,4589,逃げ
20240323,10,11,1,4286,逃げ
20240323,10,12,1,4571,逃げ
20240323,10,1,3,3775,まくり差し
20240323,10,2,4,4589,差し
20240323,10,3,3,3842,まくり差し
20240323,10,4,3,4175,差し
20240323,10,5,1,3833,逃げ
20240323,10,6,2,4415,差し
20240323,10,7,5,4296,まくり差し
20240323,10,8,2,4302,差し
20240323,10,9,1,4520,逃げ
20240323,11,10,1,3385,抜き
20240323,11,11,1,3654,逃げ
20240323,11,12,6,4514,まくり差し
20240323,11,1,2,5068,差し
20240323,11,2,3,3251,まくり差し
20240323,11,3,1,4232,逃げ
20240323,11,4,1,4754,逃げ
20240323,11,5,3,3065,まくり
20240323,11,6,1,3873,逃げ
20240323,11,7,2,3582,差し
20240323,11,8,2,4514,差し
20240323,11,9,1,4424,逃げ
20240323,13,10,3,4623,まくり差し
20240323,13,11,1,4366,逃げ
20240323,13,12,1,4019,逃げ
20240323,13,1,2,3246,差し
20240323,13,2,5,4902,抜き
20240323,13,3,1,3631,逃げ
20240323,13,4,1,3581,逃げ
20240323,13,5,1,4332,抜き
20240323,13,6,1,4650,逃げ
20240323,13,7,1,5188,逃げ
20240323,13,8,2,3307,まくり
20240323,13,9,1,4014,逃げ
20240323,15,10,2,4482,差し
20240323,15,11,1,4208,逃げ
20240323,15,12,1,4240,逃げ
20240323,15,1,3,3357,まくり差し
20240323,15,2,1,3509,逃げ
20240323,15,3,1,4224,抜き
20240323,15,4,5,4961,まくり差し
20240323,15,5,1,3579,逃げ
20240323,15,6,1,5056,逃げ
20240323,15,7,1,3994,逃げ
20240323,15,8,1,4450,抜き
20240323,15,9,1,4117,逃げ
20240323,17,10,2,4808,まくり
20240323,17,11,1,4739,逃げ
20240323,17,12,1,4364,逃げ
20240323,17,1,1,3788,逃げ
20240323,17,2,1,4406,逃げ
20240323,17,3,1,4442,逃げ
20240323,17,4,1,4531,抜き
20240323,17,5,1,4951,逃げ
20240323,17,6,3,3912,まくり差し
20240323,17,7,1,4808,逃げ
20240323,17,8,1,3966,逃げ
20240323,17,9,1,4788,逃げ
20240323,19,10,1,4171,逃げ
20240323,19,11,1,4261,逃げ
20240323,19,12,5,4155,まくり差し
20240323,19,1,4,3998,差し
20240323,19,2,1,3878,逃げ
20240323,19,3,3,4529,差し
20240323,19,4,2,4393,差し
20240323,19,5,2,4155,差し
20240323,19,6,1,4948,逃げ
20240323,19,7,4,4261,まくり差し
20240323,19,8,1,4067,逃げ
20240323,19,9,1,4950,逃げ
20240323,20,10,,,
20240323,20,11,,,
20240323,20,12,,,
20240323,20,1,,,
20240323,20,2,,,
20240323,20,3,,,
20240323,20,4,,,
20240323,20,5,,,
20240323,20,6,,,
20240323,20,7,,,
20240323,20,8,,,
20240323,20,9,,,
20240323,21,10,1,4572,逃げ
20240323,21,11,1,4471,逃げ
20240323,21,12,1,4102,逃げ
20240323,21,1,1,4017,恵まれ
20240323,21,2,4,3024,まくり
20240323,21,3,5,3532,まくり
20240323,21,4,1,3920,逃げ
20240323,21,5,1,4640,逃げ
20240323,21,6,2,4516,差し
20240323,21,7,1,3804,逃げ
20240323,21,8,1,4314,逃げ
20240323,21,9,1,3532,逃げ
20240323,24,10,1,4553,逃げ
20240323,24,11,1,4410,逃げ
20240323,24,12,4,4335,まくり
20240323,24,1,1,3922,逃げ
20240323,24,2,2,4241,差し
20240323,24,3,1,3505,抜き
20240323,24,4,5,5065,まくり差し
20240323,24,5,1,4624,逃げ
