hd,jcd,rno,lane,regno,st_sec,st_is_f,st_is_late,st_penalized,st_observed,tenji_st_sec,tenji_is_f,tenji_f_over_sec,tenji_rank,st_rank,course_avg_st,course_first_rate,course_3rd_rate
20240106,01,10,1,3159,0.17,0,0,0,1,0.09,0,,3,2,0.14,61.5,85.9
20240106,01,10,2,4787,0.17,0,0,0,1,0.04,0,,1,2,0.13,32.5,70.0
20240106,01,10,3,4177,0.23,0,0,0,1,0.11,0,,4,5,0.16,6.9,51.7
20240106,01,10,4,4645,0.2,0,0,0,1,0.04,0,,1,3,0.13,15.2,54.3
20240106,01,10,5,4888,0.14,0,0,0,1,0.06,0,,2,1,0.17,0.0,39.1
20240106,01,10,6,3659,0.22,0,0,0,1,,1,0.01,5,4,0.18,0.0,20.0
20240106,01,11,1,4238,0.16,0,0,0,1,0.12,0,,3,4,0.1,84.4,93.1
20240106,01,11,2,3406,0.16,0,0,0,1,0.02,0,,1,4,0.18,18.6,60.4
20240106,01,11,3,4539,0.09,0,0,0,1,,1,0.03,6,1,0.14,11.4,62.8
20240106,01,11,4,5216,0.13,0,0,0,1,0.14,0,,4,3,0.16,18.6,51.1
20240106,01,11,5,3740,0.23,0,0,0,1,0.08,0,,2,5,0.15,19.0,52.3
20240106,01,11,6,4305,0.12,0,0,0,1,0.18,0,,5,2,0.19,0.0,44.0
20240106,01,12,1,5141,,0,0,0,0,,0,,6,5,0.13,71.9,87.7
20240106,01,12,2,3619,0.21,0,0,0,1,0.19,0,,3,4,0.17,11.3,59.0
20240106,01,12,3,3790,0.21,0,0,0,1,0.15,0,,1,4,0.15,12.2,60.9
20240106,01,12,4,3441,0.18,0,0,0,1,0.21,0,,4,2,0.17,4.7,42.8
20240106,01,12,5,4113,0.17,0,0,0,1,0.18,0,,2,1,0.17,0.0,25.0
20240106,01,12,6,4407,0.2,0,0,0,1,0.22,0,,5,3,0.23,0.0,28.5
20240106,01,1,1,4078,0.16,0,0,0,1,0.23,0,,3,3,0.18,25.8,64.5
20240106,01,1,2,3538,0.2,0,0,0,1,0.19,0,,2,5,0.17,13.3,53.3
20240106,01,1,3,3414,0.26,0,0,0,1,,1,0.02,4,6,0.16,0.0,41.1
20240106,01,1,4,4420,0.12,0,0,0,1,0.02,0,,1,1,0.13,14.8,51.0
20240106,01,1,5,3850,0.13,0,0,0,1,,1,0.13,4,2,0.12,6.5,30.4
20240106,01,1,6,3652,0.18,0,0,0,1,0.19,0,,2,4,0.23,0.0,7.4
20240106,01,2,1,3419,0.12,0,0,0,1,,0,,1,1,0.17,22.2,62.9
20240106,01,2,2,5150,0.22,0,0,0,1,,0,,1,6,0.2,4.0,44.0
20240106,01,2,3,5090,0.15,0,0,0,1,,0,,1,2,0.17,13.8,58.3
20240106,01,2,4,3889,0.17,0,0,0,1,,0,,1,4,0.15,0.0,30.5
20240106,01,2,5,3973,0.16,0,0,0,1,,0,,1,3,0.22,0.0,21.9
20240106,01,2,6,3475,0.21,0,0,0,1,,0,,1,5,0.19,2.7,33.3
20240106,01,3,1,3827,0.1,0,0,0,1,0.15,0,,3,1,0.18,24.0,44.0
20240106,01,3,2,4113,0.13,0,0,0,1,0.08,0,,1,3,0.18,17.9,53.8
20240106,01,3,3,3619,0.1,0,0,0,1,0.17,0,,4,1,0.17,7.5,45.0
20240106,01,3,4,3482,0.11,0,0,0,1,0.12,0,,2,2,0.14,11.4,45.7
20240106,01,3,5,5301,0.23,0,0,0,1,0.21,0,,5,5,0.21,0.0,25.0
20240106,01,3,6,3532,0.16,0,0,0,1,0.08,0,,1,4,0.19,0.0,15.7
20240106,01,4,1,3441,0.06,0,0,0,1,0.03,0,,1,1,0.19,26.6,73.3
20240106,01,4,2,3970,0.12,0,0,0,1,0.05,0,,2,4,0.17,8.0,40.0
20240106,01,4,3,5006,0.1,0,0,0,1,,1,0.04,5,3,0.18,3.8,30.7
20240106,01,4,4,3653,0.08,0,0,0,1,0.05,0,,2,2,0.19,4.5,31.8
20240106,01,4,5,3790,0.16,0,0,0,1,0.26,0,,4,5,0.18,8.8,35.2
20240106,01,4,6,5313,0.29,0,0,0,1,0.15,0,,3,6,0.12,0.0,15.3
20240106,01,5,1,4407,0.12,0,0,0,1,0.05,0,,3,2,0.16,40.3,73.0
20240106,01,5,2,3850,0.2,0,0,0,1,0.11,0,,4,3,0.15,16.2,62.1
20240106,01,5,3,3652,0.23,0,0,0,1,0.01,0,,1,5,0.18,0.0,25.0
20240106,01,5,4,5090,0.23,0,0,0,1,0.13,0,,5,5,0.18,4.7,23.8
20240106,01,5,5,5150,0.21,0,0,0,1,0.05,0,,3,4,0.13,10.8,35.1
20240106,01,5,6,5065,0.11,0,0,0,1,0.04,0,,2,1,0.11,8.8,29.4
20240106,01,6,1,4491,0.13,0,0,0,1,,1,0.02,3,1,0.16,51.1,88.3
20240106,01,6,2,3973,0.16,0,0,0,1,,1,0.05,3,3,0.2,7.1,42.8
20240106,01,6,3,3538,0.15,0,0,0,1,,1,0.04,3,2,0.19,2.6,52.6
20240106,01,6,4,4078,0.17,0,0,0,1,0.2,0,,2,4,0.18,3.0,33.3
20240106,01,6,5,3419,0.24,0,0,0,1,,1,0.01,3,6,0.25,3.8,19.2
20240106,01,6,6,5301,0.22,0,0,0,1,0.01,0,,1,5,0.19,0.0,6.7
20240106,01,7,1,3532,0.16,0,0,0,1,,0,,1,2,0.16,60.0,82.2
20240106,01,7,2,5006,0.12,0,0,0,1,,0,,1,1,0.19,2.7,22.2
20240106,01,7,3,4420,0.12,0,0,0,1,,0,,1,1,0.14,14.2,67.3
20240106,01,7,4,3827,0.17,0,0,0,1,,0,,1,3,0.15,4.3,21.7
20240106,01,7,5,5313,0.19,0,0,0,1,,0,,1,4,0.0,0.0,0.0
20240106,01,7,6,3889,0.25,0,0,0,1,,0,,1,5,0.15,5.0,25.0
20240106,01,8,1,3475,0.29,0,0,0,1,0.02,0,,1,4,0.19,44.6,74.4
20240106,01,8,2,3482,0.25,0,0,0,1,0.12,0,,4,3,0.16,5.0,60.0
20240106,01,8,3,3653,0.25,0,0,0,1,,1,0.01,5,3,0.19,8.5,45.7
20240106,01,8,4,3970,0.24,0,0,0,1,0.06,0,,3,2,0.17,3.8,50.0
20240106,01,8,5,5141,,0,0,0,0,,0,,5,5,0.11,2.2,43.1
20240106,01,8,6,3414,0.11,0,0,0,1,0.04,0,,2,1,0.16,3.8,19.2
20240106,01,9,1,4486,0.12,0,0,0,1,,0,,3,2,0.13,61.2,91.8
20240106,01,9,2,4362,0.11,0,0,0,1,,1,0.02,3,1,0.13,16.9,69.4
20240106,01,9,3,3655,0.13,0,0,0,1,0.13,0,,2,3,0.16,11.3,54.5
20240106,01,9,4,3686,0.14,0,0,0,1,0.05,0,,1,4,0.13,8.8,52.9
20240106,01,9,5,4188,0.15,0,0,0,1,,1,0.07,3,5,0.13,13.1,57.8
20240106,01,9,6,4887,0.24,0,0,0,1,,1,0.06,3,6,0.16,0.0,11.1
20240106,02,10,1,4528,0.09,0,0,0,1,,1,0.07,6,1,0.12,69.5,84.7
20240106,02,10,2,3445,0.12,0,0,0,1,0.13,0,,4,2,0.16,9.6,51.6
20240106,02,10,3,3353,0.15,0,0,0,1,0.09,0,,3,3,0.18,7.1,35.7
