hd,jcd,rno,lane,racer_id,st,tenji_st,course_avg_st,st_rank,power_lane
20240302,02,10,1,3873,0.14,0.0001,0.16,1,14.119
20240302,02,10,2,4357,0.13,0.11,0.19,4,15.363999999999999
20240302,02,10,3,4173,0.16,0.0003,0.17,2,17.307
20240302,02,10,4,3642,0.11,0.19,0.17,5,12.636
20240302,02,10,5,5049,0.16,0.0003,0.18,2,17.175
20240302,02,10,6,4790,0.14,0.02,0.19,3,16.214
20240302,02,11,1,4709,0.22,0.13,0.15,4,8.932
20240302,02,11,2,4099,0.25,0.01,0.18,3,16.289
20240302,02,11,3,3813,0.27,0.22,0.16,5,13.215
20240302,02,11,4,4837,0.23,0.0001,0.19,1,9.778
20240302,02,11,5,3505,0.17,0.0001,0.14,1,16.104999999999997
20240302,02,11,6,5012,0.31,0.0014000000000000002,0.18,2,12.297
20240302,02,12,1,4532,0.12,0.05,0.13,4,11.926
20240302,02,12,2,3939,0.14,0.13,0.17,5,15.183
20240302,02,12,3,3576,0.11,0.0002,0.17,1,15.448
20240302,02,12,4,4552,0.09,0.0002,0.14,1,16.221999999999998
20240302,02,12,5,4230,0.1,0.0006,0.15,2,10.002
20240302,02,12,6,3761,0.13,0.0007000000000000001,0.18,3,12.163999999999998
20240302,02,1,1,3642,0.21,,0.14,1,13.036
20240302,02,1,2,3508,0.17,,0.2,1,15.436
20240302,02,1,3,3313,0.13,,0.16,1,12.604000000000001
20240302,02,1,4,4952,0.19,,0.16,1,11.542
20240302,02,1,5,5008,0.23,,0.14,1,14.043999999999999
20240302,02,1,6,3202,0.25,,0.2,1,9.667
20240302,02,2,1,4619,0.27,0.0011,0.18,4,10.578999999999999
20240302,02,2,2,3663,0.14,0.11,0.15,6,429496742.625
20240302,02,2,3,5012,0.1,0.0002,0.14,1,12.397
20240302,02,2,4,4439,0.26,0.0015,0.19,5,14.991
20240302,02,2,5,4552,0.23,0.0007000000000000001,0.15,3,16.022
20240302,02,2,6,4760,0.17,0.0006,0.13,2,16.076999999999998
20240302,02,3,1,3769,0.16,0.0013,0.15,3,14.294
20240302,02,3,2,3576,0.26,0.0002,0.19,1,15.448
20240302,02,3,3,4298,0.28,0.06,0.16,4,12.151
20240302,02,3,4,3293,0.28,0.15,0.23,6,429496738.566
