hd,jcd,rno,lane,regno,st_sec,st_is_f,st_is_late,st_penalized,st_observed,tenji_st_sec,tenji_is_f,tenji_f_over_sec,tenji_rank,st_rank,course_avg_st,course_first_rate,course_3rd_rate
20240220,2,10,1,4769,,0,0,0,0,0.11,0,,2,2,0.12,70.8,97.9
20240220,2,10,2,5051,,0,0,0,0,0.15,0,,3,3,0.16,10.2,67.3
20240220,2,10,3,4213,,0,0,0,0,0.31,0,,6,6,0.19,12.9,61.2
20240220,2,10,4,4575,,0,0,0,0,0.05,0,,1,1,0.11,31.2,78.1
20240220,2,10,5,4470,,0,0,0,0,0.29,0,,5,5,0.17,6.2,56.2
20240220,2,10,6,3875,,0,0,0,0,0.17,0,,4,4,0.28,0.0,11.4
20240220,2,11,1,4351,,0,0,0,0,0.15,0,,4,4,0.12,71.1,93.3
20240220,2,11,2,4031,,0,0,0,0,0.15,0,,4,4,0.16,10.0,56.6
20240220,2,11,3,5191,,0,0,0,0,0.11,0,,2,2,0.15,13.6,47.7
20240220,2,11,4,4926,,0,0,0,0,0.05,0,,1,1,0.15,18.7,62.5
20240220,2,11,5,4233,,0,0,0,0,0.12,0,,3,3,0.17,0.0,35.1
20240220,2,11,6,4118,,0,0,0,0,0.22,0,,5,5,0.14,0.0,41.6
20240220,2,12,1,4335,,0,0,0,0,0.05,0,,2,3,0.12,71.7,95.6
20240220,2,12,2,4893,,0,0,0,0,0.04,0,,1,2,0.19,0.0,34.4
20240220,2,12,3,3412,,0,0,0,0,,1,0.02,5,1,0.18,15.5,55.5
20240220,2,12,4,3661,,0,0,0,0,0.13,0,,4,5,0.18,0.0,50.0
20240220,2,12,5,3381,,0,0,0,0,0.06,0,,3,4,0.16,6.8,36.3
20240220,2,12,6,4409,,0,0,0,0,0.06,0,,3,4,0.18,6.6,43.3
20240220,2,1,1,4213,,0,0,0,0,0.15,0,,2,2,0.18,50.0,85.0
20240220,2,1,2,4900,,0,0,0,0,0.12,0,,1,1,0.17,12.5,66.6
20240220,2,1,3,4060,,0,0,0,0,0.18,0,,3,3,0.16,8.5,45.7
20240220,2,1,4,5188,,0,0,0,0,0.27,0,,5,5,0.19,0.0,41.3
20240220,2,1,5,5060,,0,0,0,0,0.31,0,,6,6,0.18,4.8,41.4
20240220,2,1,6,3964,,0,0,0,0,0.19,0,,4,4,0.21,0.0,14.2
20240220,2,2,1,3353,,0,0,0,0,,1,0.01,4,1,0.17,24.0,68.0
20240220,2,2,2,4318,,0,0,0,0,0.09,0,,3,6,0.15,15.5,73.3
20240220,2,2,3,5107,,0,0,0,0,,1,0.02,4,2,0.15,0.0,32.4
20240220,2,2,4,4118,,0,0,0,0,,1,0.09,4,3,0.15,12.6,60.5
20240220,2,2,5,4569,,0,0,0,0,0.0013,0,,2,5,0.18,2.1,23.4
20240220,2,2,6,3661,,0,0,0,0,0.001,0,,1,4,0.19,0.0,28.0
20240220,2,3,1,4186,,0,0,0,0,0.01,0,,3,3,0.11,28.5,57.1
20240220,2,3,2,4233,,0,0,0,0,0.06,0,,4,4,0.14,22.8,71.4
20240220,2,3,3,5051,,0,0,0,0,0.09,0,,5,5,0.16,21.7,71.7
20240220,2,3,4,5272,,0,0,0,0,0.0012,0,,2,2,0.0,0.0,0.0
20240220,2,3,5,5189,,0,0,0,0,0.001,0,,1,1,0.17,5.0,22.5
20240220,2,3,6,3681,,0,0,0,0,0.15,0,,6,6,0.17,0.0,36.8
20240220,2,4,1,4853,,0,0,0,0,,,,1,1,0.17,50.0,100.0
20240220,2,4,2,4470,,0,0,0,0,,,,1,1,0.17,11.5,65.3
20240220,2,4,3,3532,,0,0,0,0,,,,1,1,0.15,14.5,64.5
20240220,2,4,4,5191,,0,0,0,0,,,,1,1,0.16,8.8,51.1
20240220,2,4,5,3662,,0,0,0,0,,,,1,1,0.15,15.9,43.1
20240220,2,4,6,3412,,0,0,0,0,,,,1,1,0.15,2.2,18.1
20240220,2,5,1,3612,,0,0,0,0,0.03,0,,1,1,0.14,54.6,87.5
20240220,2,5,2,3875,,0,0,0,0,0.06,0,,2,2,0.18,7.6,46.1
20240220,2,5,3,3964,,0,0,0,0,0.16,0,,5,5,0.2,2.5,45.0
20240220,2,5,4,4335,,0,0,0,0,0.09,0,,3,3,0.11,30.7,51.2
20240220,2,5,5,4031,,0,0,0,0,0.26,0,,6,6,0.18,6.6,13.3
20240220,2,5,6,5322,,0,0,0,0,0.11,0,,4,4,0.14,0.0,0.0
20240220,2,6,1,5169,,0,0,0,0,0.18,0,,3,4,0.2,16.6,44.4
20240220,2,6,2,5188,,0,0,0,0,0.28,0,,4,5,0.19,17.1,54.2
20240220,2,6,3,3381,,0,0,0,0,0.02,0,,1,2,0.14,7.5,45.0
20240220,2,6,4,4425,,0,0,0,0,0.15,0,,2,3,0.15,12.2,34.1
20240220,2,6,5,4351,,0,0,0,0,,1,0.02,5,1,0.12,19.5,60.9
20240220,2,6,6,4575,,0,0,0,0,0.18,0,,3,4,0.14,5.5,33.3
20240220,2,7,1,4926,,0,0,0,0,0.01,0,,1,4,0.13,81.5,97.3
20240220,2,7,2,3906,,0,0,0,0,,1,0.05,4,3,0.16,6.1,51.0
20240220,2,7,3,5165,,0,0,0,0,,1,0.03,4,2,0.19,0.0,24.1
20240220,2,7,4,4060,,0,0,0,0,0.02,0,,2,5,0.17,7.1,40.4
20240220,2,7,5,4893,,0,0,0,0,,1,0.01,4,1,0.17,3.0,27.2
20240220,2,7,6,5107,,0,0,0,0,0.36,0,,3,6,0.17,0.0,26.4
20240220,2,8,1,4332,,0,0,0,0,,,,1,1,0.22,33.3,53.3
20240220,2,8,2,4409,,0,0,0,0,,,,1,1,0.15,28.2,71.7
20240220,2,8,3,3681,,0,0,0,0,,,,1,1,0.17,7.3,56.1
20240220,2,8,4,5060,,0,0,0,0,,,,1,1,0.16,9.0,48.4
20240220,2,8,5,3532,,0,0,0,0,,,,1,1,0.16,10.7,39.2
20240220,2,8,6,4504,,0,0,0,0,,,,1,1,0.13,2.5,35.0
20240220,2,9,1,4318,,0,0,0,0,0.08,0,,3,3,0.14,46.6,75.0
20240220,2,9,2,4483,,0,0,0,0,0.12,0,,4,4,0.14,20.5,70.5
20240220,2,9,3,3662,,0,0,0,0,0.21,0,,6,6,0.14,16.6,60.4
20240220,2,9,4,3612,,0,0,0,0,0.02,0,,1,1,0.13,9.8,64.7
20240220,2,9,5,4186,,0,0,0,0,0.04,0,,2,2,0.16,0.0,8.7
20240220,2,9,6,4225,,0,0,0,0,0.13,0,,5,5,0.14,0.0,47.6
20240220,3,10,1,3771,,0,0,0,0,0.13,0,,4,4,0.14,52.2,77.2
20240220,3,10,2,3790,,0,0,0,0,0.03,0,,1,1,0.17,18.9,59.4
20240220,3,10,3,4159,,0,0,0,0,0.12,0,,3,3,0.17,23.8,76.1
20240220,3,10,4,4564,,0,0,0,0,0.24,0,,5,5,0.16,9.6,51.9
20240220,3,10,5,4325,,0,0,0,0,0.06,0,,2,2,0.14,10.5,31.5
20240220,3,10,6,4034,,0,0,0,0,0.12,0,,3,3,0.22,7.4,22.2
20240220,3,11,1,4583,,0,0,0,0,0.13,0,,4,4,0.15,38.4,90.3
20240220,3,11,2,4661,,0,0,0,0,0.09,0,,3,3,0.17,11.9,73.8
20240220,3,11,3,3715,,0,0,0,0,0.07,0,,1,1,0.14,3.0,48.4
20240220,3,11,4,3105,,0,0,0,0,0.08,0,,2,2,0.16,11.1,44.4
20240220,3,11,5,4637,,0,0,0,0,0.13,0,,4,4,0.16,11.7,38.2
20240220,3,11,6,3957,,0,0,0,0,0.14,0,,5,5,0.22,0.0,16.2
20240220,3,12,1,3874,,0,0,0,0,0.001,0,,1,2,0.13,69.8,90.5
20240220,3,12,2,5136,,0,0,0,0,0.001,0,,1,2,0.14,21.5,62.7
20240220,3,12,3,4703,,0,0,0,0,,1,0.06,4,1,0.12,11.6,79.0
20240220,3,12,4,3436,,0,0,0,0,,1,0.06,4,1,0.14,0.0,51.2
20240220,3,12,5,4980,,0,0,0,0,0.08,0,,2,3,0.15,14.2,51.4
20240220,3,12,6,4598,,0,0,0,0,0.09,0,,3,4,0.17,2.7,27.7
20240220,3,1,1,5070,,0,0,0,0,0.06,0,,1,1,0.18,42.1,63.1
20240220,3,1,2,3973,,0,0,0,0,0.09,0,,2,2,0.2,7.1,42.8
20240220,3,1,3,3839,,0,0,0,0,0.34,0,,5,5,0.13,4.8,29.2
20240220,3,1,4,4034,,0,0,0,0,0.25,0,,4,4,0.19,0.0,33.3
20240220,3,1,5,5294,,0,0,0,0,0.18,0,,3,3,0.2,0.0,9.0
20240220,3,1,6,3537,,0,0,0,0,0.38,0,,6,6,0.2,0.0,0.0
20240220,3,2,1,3315,,0,0,0,0,0.15,0,,3,3,0.14,39.2,75.0
20240220,3,2,2,4691,,0,0,0,0,0.28,0,,6,6,0.17,11.7,41.1
20240220,3,2,3,3624,,0,0,0,0,0.19,0,,4,4,0.17,8.8,29.4
