hd,jcd,rno,lane,racer_id,st,tenji_st,course_avg_st,st_rank,power_lane
20240102,01,10,1,3475,0.22,0.29,0.19,6,429496733.07
20240102,01,10,2,5141,0.14,0.04,0.13,1,19.18
20240102,01,10,3,3659,0.19,0.06,0.16,2,25.497000000000003
20240102,01,10,4,4305,0.19,0.18,0.19,5,3.552
20240102,01,10,5,3441,0.43,0.17,0.2,4,7.741
20240102,01,10,6,4887,0.11,0.08,0.16,3,3.4579999999999997
20240102,01,11,1,3740,0.13,0.07,0.14,6,429496738.539
20240102,01,11,2,4645,0.2,0.0004,0.15,2,4.068
20240102,01,11,3,3686,0.19,0.0001,0.16,1,18.88
20240102,01,11,4,4491,0.25,0.001,0.18,3,3.446
20240102,01,11,5,4407,0.23,0.01,0.2,5,11.703
20240102,01,11,6,5150,0.18,0.0012,0.17,4,3.0460000000000003
20240102,01,12,1,4238,0.14,0.0002,0.1,1,14.940999999999999
20240102,01,12,2,4188,0.12,0.04,0.13,2,4.194
20240102,01,12,3,4851,0.19,0.15,0.14,5,4.08
20240102,01,12,4,3159,0.17,0.07,0.0,3,25.583000000000002
20240102,01,12,5,4362,0.15,0.0002,0.14,1,25.909
20240102,01,12,6,4787,0.16,0.08,0.12,4,14.166999999999998
20240102,01,1,1,3970,0.14,,0.18,1,3.106
20240102,01,1,2,5090,0.13,,0.15,1,8.047
20240102,01,1,3,4887,0.08,,0.14,1,3.6579999999999995
20240102,01,1,4,3790,0.3,,0.18,1,3.238
20240102,01,1,5,3532,0.16,,0.16,1,13.795
20240102,01,1,6,3686,0.15,,0.18,1,18.88
20240102,01,2,1,4407,0.21,0.08,0.16,2,12.003
20240102,01,2,2,5006,0.24,0.06,0.19,1,7.819000000000001
20240102,01,2,3,3619,0.25,0.13,0.17,4,3.124
20240102,01,2,4,3475,0.15,0.09,0.18,3,3.77
20240102,01,2,5,3414,0.25,0.15,0.16,5,2.82
20240102,01,2,6,4486,0.21,0.13,0.17,4,20.98
20240102,01,3,1,3889,0.12,0.0008,0.15,3,2.588
20240102,01,3,2,3538,0.26,0.0003,0.17,2,3.474
20240102,01,3,3,3482,0.18,0.0002,0.15,1,28.740999999999996
