hd,jcd,rno,label_3t,win_lane
20240302,2,1,2-4-1,2
20240302,2,2,2-3-5,2
20240302,2,3,1-2-6,1
20240302,2,4,2-3-5,2
20240302,2,5,3-2-4,3
20240302,2,6,2-3-6,2
20240302,2,7,1-2-4,1
20240302,2,8,1-5-3,1
20240302,2,9,1-4-3,1
20240302,2,10,1-2-3,1
20240302,2,11,4-6-1,4
20240302,2,12,5-3-2,5
20240302,3,1,6-1-3,6
20240302,3,2,1-6-3,1
20240302,3,3,4-1-2,4
20240302,3,4,1-2-3,1
20240302,3,5,1-3-5,1
20240302,3,6,1-4-3,1
20240302,3,7,1-6-5,1
20240302,3,8,1-4-3,1
20240302,3,9,1-3-6,1
20240302,3,10,2-1-4,2
20240302,3,11,5-1-4,5
20240302,3,12,1-4-6,1
20240302,4,1,1-2-3,1
20240302,4,2,4-6-5,4
20240302,4,3,2-3-5,2
20240302,4,4,3-6-2,3
20240302,4,5,1-2-4,1
20240302,4,6,2-1-6,2
20240302,4,7,6-3-4,6
20240302,4,8,1-5-4,1
20240302,4,9,1-2-6,1
20240302,4,10,2-5-1,2
20240302,4,11,1-2-5,1
20240302,4,12,3-1-4,3
20240302,6,1,3-4-2,3
20240302,6,2,2-6-3,2
20240302,6,3,2-1-4,2
20240302,6,4,4-3-1,4
20240302,6,5,3-1-5,3
20240302,6,6,1-2-5,1
20240302,6,7,1-2-4,1
20240302,6,8,2-1-5,2
20240302,6,9,3-1-6,3
20240302,6,10,1-3-5,1
20240302,6,11,1-3-6,1
20240302,6,12,4-5-6,4
20240302,7,1,4-5-3,4
20240302,7,2,4-1-2,4
20240302,7,3,3-5-2,3
20240302,7,4,2-1-3,2
20240302,7,5,5-4-3,5
20240302,7,6,1-4-6,1
20240302,7,7,4-5-3,4
20240302,7,8,2-1-4,2
20240302,7,9,1-5-6,1
20240302,7,10,1-2-5,1
20240302,7,11,1-6-5,1
20240302,7,12,1-4-5,1
20240302,9,1,1-2-5,1
20240302,9,2,2-4-3,2
20240302,9,3,1-4-6,1
20240302,9,4,2-1-3,2
20240302,9,5,1-3-6,1
20240302,9,6,2-1-6,2
20240302,9,7,3-1-2,3
20240302,9,8,1-3-4,1
20240302,9,9,2-1-4,2
20240302,9,10,3-4-5,3
20240302,9,11,4-5-1,4
20240302,9,12,1-2-6,1
20240302,10,1,1-3-6,1
20240302,10,2,1-2-4,1
20240302,10,3,3-1-4,3
20240302,10,4,1-2-4,1
20240302,10,5,4-5-3,4
20240302,10,6,2-1-5,2
20240302,10,7,1-2-3,1
20240302,10,8,2-3-6,2
20240302,10,9,2-4-3,2
20240302,10,10,1-3-4,1
20240302,10,11,4-1-5,4
20240302,10,12,1-5-2,1
20240302,11,1,4-1-2,4
20240302,11,2,4-2-6,4
20240302,11,3,3-5-2,3
20240302,11,4,2-1-3,2
20240302,11,5,1-4-2,1
20240302,11,6,1-3-2,1
20240302,11,7,2-1-4,2
20240302,11,8,3-5-6,3
20240302,11,9,1-3-6,1
20240302,11,10,3-6-1,3
20240302,11,11,4-2-5,4
20240302,11,12,1-4-2,1
20240302,15,1,2-1-3,2
20240302,15,2,2-1-6,2
20240302,15,3,1-2-6,1
20240302,15,4,4-2-6,4
20240302,15,5,1-6-2,1
20240302,15,6,1-3-4,1
20240302,15,7,6-3-1,6
20240302,15,8,1-3-2,1
20240302,15,9,3-5-6,3
20240302,15,10,1-3-4,1
20240302,15,11,1-3-4,1
20240302,15,12,1-3-4,1
20240302,16,1,1-3-2,1
20240302,16,2,4-1-5,4
20240302,16,3,1-3-2,1
20240302,16,4,4-3-6,4
20240302,16,5,1-4-5,1
20240302,16,6,1-4-3,1
20240302,16,7,2-1-5,2
20240302,16,8,1-5-3,1
20240302,16,9,1-2-4,1
20240302,16,10,2-1-3,2
20240302,16,11,1-4-5,1
20240302,16,12,1-4-2,1
20240302,17,1,1-5-4,1
20240302,17,2,3-1-5,3
20240302,17,3,1-2-4,1
20240302,17,4,5-3-4,5
20240302,17,5,3-1-4,3
20240302,17,6,1-2-6,1
20240302,17,7,2-1-5,2
20240302,17,8,1-2-4,1
20240302,17,9,2-3-5,2
20240302,17,10,1-3-2,1
20240302,17,11,1-2-5,1
20240302,17,12,2-6-1,2
20240302,20,1,1-5-3,1
20240302,20,2,4-1-6,4
20240302,20,3,3-6-1,3
20240302,20,4,3-6-2,3
20240302,20,5,4-2-1,4
20240302,20,6,1-5-3,1
20240302,20,7,3-1-2,3
20240302,20,8,1-3-5,1
20240302,20,9,6-5-1,6
20240302,20,10,2-5-6,2
20240302,20,11,6-2-3,6
20240302,20,12,5-3-6,5
20240302,21,1,1-4-6,1
20240302,21,2,1-4-3,1
20240302,21,3,1-3-5,1
20240302,21,4,1-4-5,1
20240302,21,5,1-4-5,1
20240302,21,6,2-1-3,2
20240302,21,7,1-3-5,1
20240302,21,8,2-1-6,2
20240302,21,9,1-3-5,1
20240302,21,10,3-5-2,3
20240302,21,11,3-4-5,3
20240302,21,12,1-4-2,1
20240302,22,1,1-3-6,1
20240302,22,2,1-5-2,1
20240302,22,3,3-1-4,3
20240302,22,4,1-4-2,1
20240302,22,5,4-5-2,4
20240302,22,6,3-4-5,3
20240302,22,7,2-1-6,2
20240302,22,8,2-6-1,2
20240302,22,9,1-3-2,1
20240302,22,10,4-1-2,4
20240302,22,11,1-3-4,1
20240302,22,12,1-2-4,1
20240302,23,1,1-5-6,1
20240302,23,2,2-1-6,2
20240302,23,3,4-2-1,4
20240302,23,4,5-2-3,5
20240302,23,5,4-1-3,4
20240302,23,6,5-3-1,5
20240302,23,7,5-4-1,5
20240302,23,8,4-5-1,4
20240302,23,9,1-5-2,1
20240302,23,10,1-2-6,1
20240302,23,11,2-1-5,2
20240302,23,12,1-3-5,1
20240302,24,1,1-2-5,1
20240302,24,2,3-4-1,3
20240302,24,3,1-2-5,1
20240302,24,4,1-4-3,1
20240302,24,5,3-1-4,3
20240302,24,6,3-1-4,3
20240302,24,7,1-3-4,1
20240302,24,8,1-6-3,1
20240302,24,9,4-2-1,4
20240302,24,10,1-2-3,1
20240302,24,11,1-2-3,1
20240302,24,12,1-2-4,1
