hd,jcd,rno,lane,regno,st,tenji_st,tenji_rank,st_rank,course_avg_st,course_first_rate,course_3rd_rate
20240107,1,10,1,4177,,0.18,1,5,0.16,50.0,78.1
20240107,1,10,2,3740,,0.07,3,3,0.18,16.2,64.8
20240107,1,10,3,3406,,0.07,4,3,0.14,4.7,50.0
20240107,1,10,4,4888,,0.06,2,2,0.16,14.2,69.0
20240107,1,10,5,4407,,0.13,1,4,0.2,0.0,34.0
20240107,1,10,6,4420,,0.02,2,1,0.17,2.3,30.2
20240107,1,11,1,4645,,0.06,1,1,0.13,75.0,92.3
20240107,1,11,2,5216,,0.16,2,2,0.2,14.8,48.1
20240107,1,11,3,4188,,,5,5,0.12,36.5,82.9
20240107,1,11,4,3659,,0.17,4,3,0.16,20.0,75.5
20240107,1,11,5,4305,,0.18,6,4,0.16,9.0,50.0
20240107,1,11,6,4887,,,3,5,0.16,0.0,11.1
20240107,1,12,1,4486,,,1,1,0.13,61.2,91.8
20240107,1,12,2,3159,,,1,1,0.15,23.8,64.5
20240107,1,12,3,4539,,,1,1,0.14,11.4,62.8
20240107,1,12,4,4238,,,1,1,0.12,20.4,54.5
20240107,1,12,5,4787,,,1,1,0.12,13.5,59.4
20240107,1,12,6,3655,,,1,1,0.16,0.0,38.4
20240107,1,1,1,3482,,0.07,1,2,0.15,22.2,72.2
20240107,1,1,2,3652,,0.05,5,1,0.15,0.0,35.2
20240107,1,1,3,3973,,0.13,6,3,0.19,7.5,30.0
20240107,1,1,4,5006,,,2,4,0.16,6.6,33.3
20240107,1,1,5,3532,,,3,4,0.16,10.7,39.2
20240107,1,1,6,4491,,,4,4,0.24,2.5,22.5
20240107,1,2,1,3414,,0.12,1,3,0.12,43.3,80.0
20240107,1,2,2,3475,,0.07,2,2,0.18,11.4,77.1
20240107,1,2,3,3889,,0.14,6,4,0.16,2.6,21.0
20240107,1,2,4,3619,,0.03,3,1,0.18,5.1,58.9
20240107,1,2,5,5313,,0.29,4,5,0.0,0.0,0.0
20240107,1,2,6,3538,,0.03,5,1,0.2,0.0,37.5
20240107,1,3,1,4887,,0.07,5,3,0.13,58.9,79.4
20240107,1,3,2,3406,,0.05,4,1,0.18,18.6,60.4
20240107,1,3,3,4078,,0.06,2,2,0.18,8.3,41.6
20240107,1,3,4,4113,,,2,5,0.2,2.3,27.9
20240107,1,3,5,3686,,0.08,3,4,0.16,5.8,41.1
20240107,1,3,6,4177,,,1,5,0.21,0.0,5.8
20240107,1,4,1,4420,,0.03,6,3,0.14,60.0,94.0
20240107,1,4,2,3419,,0.18,5,6,0.19,5.7,42.8
