hd,jcd,rno,lane,regno,st,tenji_st,tenji_rank,st_rank,course_avg_st,course_first_rate,course_3rd_rate
20240323,1,10,1,4340,,0.26,3,5,0.16,38.2,73.5
20240323,1,10,2,3475,,0.15,4,4,0.18,11.4,77.1
20240323,1,10,3,4308,,0.05,2,2,0.15,25.5,80.8
20240323,1,10,4,4090,,0.01,1,1,0.13,15.2,56.5
20240323,1,10,5,4114,,,5,6,0.17,9.0,27.2
20240323,1,10,6,4137,,0.12,4,3,0.13,2.7,47.2
20240323,1,11,1,4654,,,1,1,0.14,61.1,91.6
20240323,1,11,2,3909,,,1,1,0.13,17.7,60.0
20240323,1,11,3,4608,,,1,1,0.17,32.5,67.4
20240323,1,11,4,3156,,,1,1,0.15,6.9,39.5
20240323,1,11,5,3619,,,1,1,0.2,2.0,28.5
20240323,1,11,6,4491,,,1,1,0.24,2.5,22.5
20240323,1,12,1,4025,,,3,3,0.16,70.9,81.8
20240323,1,12,2,4782,,0.09,4,1,0.15,25.8,58.0
20240323,1,12,3,5090,,,2,3,0.17,13.8,58.3
20240323,1,12,4,4428,,0.15,5,2,0.1,23.0,69.2
20240323,1,12,5,4188,,,6,3,0.13,13.1,57.8
20240323,1,12,6,4578,,,1,3,0.2,0.0,18.9
20240323,1,1,1,5150,,,1,5,0.17,47.6,76.1
20240323,1,1,2,4031,,0.04,3,2,0.16,10.0,56.6
20240323,1,1,3,3419,,0.07,5,4,0.2,3.1,43.7
20240323,1,1,4,4229,,0.01,4,1,0.18,0.0,32.2
20240323,1,1,5,4163,,0.01,2,1,0.18,0.0,34.2
20240323,1,1,6,5010,,0.05,6,3,0.19,0.0,24.1
20240323,1,2,1,3482,,0.07,4,2,0.15,22.2,72.2
20240323,1,2,2,4360,,0.07,1,2,0.19,11.7,44.1
20240323,1,2,3,4274,,0.02,6,1,0.17,5.2,44.7
20240323,1,2,4,3268,,0.11,3,3,0.19,5.2,34.2
20240323,1,2,5,5252,,0.07,2,2,0.16,8.3,33.3
20240323,1,2,6,4105,,,5,4,0.2,2.3,38.1
20240323,1,3,1,3619,,0.11,3,4,0.17,37.1,80.0
20240323,1,3,2,4458,,0.05,2,3,0.15,7.6,51.2
20240323,1,3,3,4090,,0.01,2,1,0.11,27.6,65.9
20240323,1,3,4,4466,,0.05,1,3,0.18,5.0,52.5
20240323,1,3,5,3226,,0.04,4,2,0.16,2.8,20.0
20240323,1,3,6,3909,,,2,5,0.12,0.0,9.0
20240323,1,4,1,3475,,,1,1,0.19,44.6,74.4
20240323,1,4,2,4114,,,1,1,0.2,16.2,60.4
20240323,1,4,3,4345,,,1,1,0.15,10.3,48.2
20240323,1,4,4,4319,,,1,1,0.19,4.7,54.7
20240323,1,4,5,5318,,,1,1,0.0,0.0,0.0
20240323,1,4,6,4654,,,1,1,0.16,0.0,24.1
20240323,1,5,1,4308,,0.03,2,2,0.13,65.6,95.5
20240323,1,5,2,4163,,,1,6,0.17,9.3,67.4
20240323,1,5,3,3156,,0.01,6,1,0.16,9.8,41.1
20240323,1,5,4,4089,,0.09,5,4,0.15,9.3,69.7
20240323,1,5,5,3911,,0.15,3,5,0.16,4.7,21.4
20240323,1,5,6,4340,,0.06,4,3,0.22,2.6,26.3
20240323,1,6,1,4608,,,1,1,0.15,54.3,85.9
20240323,1,6,2,3848,,,1,1,0.14,16.2,54.0
20240323,1,6,3,3268,,,1,1,0.17,9.5,45.2
20240323,1,6,4,4181,,,1,1,0.19,6.3,31.9
20240323,1,6,5,4031,,,1,1,0.18,6.6,13.3
20240323,1,6,6,3419,,,1,1,0.24,0.0,8.3
20240323,1,7,1,4137,,0.17,3,5,0.15,68.4,94.7
20240323,1,7,2,4229,,0.09,2,3,0.2,5.5,55.5
20240323,1,7,3,4360,,0.11,1,4,0.17,7.5,50.0
20240323,1,7,4,3793,,0.09,4,3,0.16,7.4,59.2
20240323,1,7,5,4466,,0.04,2,1,0.17,2.5,33.3
20240323,1,7,6,3482,,0.05,5,2,0.17,2.7,11.1
20240323,1,8,1,4491,,0.11,5,3,0.16,51.1,88.3
20240323,1,8,2,3226,,0.24,4,4,0.16,11.9,59.5
20240323,1,8,3,4319,,0.05,2,2,0.16,5.1,41.0
20240323,1,8,4,5252,,,3,5,0.16,2.9,32.3
20240323,1,8,5,4580,,,1,5,0.17,8.3,35.4
20240323,1,8,6,5318,,0.02,4,1,0.2,0.0,0.0
20240323,1,9,1,4105,,0.15,4,2,0.18,30.6,77.5
20240323,1,9,2,4274,,0.18,5,3,0.18,11.4,45.7
20240323,1,9,3,3911,,0.24,1,4,0.15,3.0,60.6
20240323,1,9,4,4458,,0.15,2,2,0.15,5.5,36.1
20240323,1,9,5,4345,,0.18,3,3,0.16,8.5,42.8
20240323,1,9,6,5150,,0.14,3,1,0.17,5.0,37.5
20240323,3,10,1,4601,,0.44,2,5,0.15,70.5,86.2
20240323,3,10,2,5018,,0.34,1,4,0.17,5.0,50.0
20240323,3,10,3,3516,,0.49,3,6,0.18,5.5,44.4
20240323,3,10,4,4379,,0.16,5,1,0.15,8.1,51.0
20240323,3,10,5,4411,,0.22,6,2,0.16,4.3,45.6
20240323,3,10,6,3869,,0.33,4,3,0.18,0.0,25.0
20240323,3,11,1,4769,,0.25,5,2,0.12,70.8,97.9
20240323,3,11,2,4679,,0.37,2,5,0.2,16.1,45.1
20240323,3,11,3,4645,,0.28,3,3,0.14,11.3,63.6
20240323,3,11,4,5012,,0.15,4,1,0.15,10.5,47.3
20240323,3,11,5,4792,,,6,6,0.18,3.8,30.7
20240323,3,11,6,5221,,0.32,1,4,0.12,0.0,27.9
20240323,3,12,1,3473,,,4,6,0.14,41.2,74.2
20240323,3,12,2,4133,,0.18,3,4,0.15,10.0,62.5
20240323,3,12,3,3303,,0.13,6,2,0.18,16.0,78.5
20240323,3,12,4,4835,,0.22,5,5,0.15,7.3,46.3
20240323,3,12,5,5137,,0.07,2,1,0.14,6.4,35.4
20240323,3,12,6,4581,,0.17,1,3,0.12,0.0,35.7
20240323,3,1,1,4728,,0.08,5,2,0.18,33.3,66.6
20240323,3,1,2,4563,,0.15,2,4,0.19,2.9,29.4
20240323,3,1,3,4023,,0.09,3,3,0.16,5.7,42.8
20240323,3,1,4,5238,,,4,5,0.14,0.0,26.6
20240323,3,1,5,3875,,,6,5,0.19,0.0,16.6
20240323,3,1,6,5300,,0.04,1,1,0.2,0.0,3.6
20240323,3,2,1,5234,,0.17,2,5,0.13,75.0,75.0
20240323,3,2,2,4113,,0.05,3,2,0.18,17.9,53.8
20240323,3,2,3,4872,,0.06,4,3,0.15,9.0,54.5
20240323,3,2,4,4792,,,5,6,0.17,6.2,40.6
