hd,jcd,rno,win_lane,win_racer_id,decision
20240320,01,10,1,4114,逃げ
20240320,01,11,1,4654,逃げ
20240320,01,12,1,4137,逃げ
20240320,01,1,3,4782,まくり
20240320,01,2,1,4229,逃げ
20240320,01,3,6,4188,まくり差し
20240320,01,4,2,4340,差し
20240320,01,5,1,3268,逃げ
20240320,01,6,4,4345,まくり
20240320,01,7,1,4491,逃げ
20240320,01,8,1,3475,逃げ
20240320,01,9,5,3619,まくり差し
20240320,02,10,1,3908,逃げ
20240320,02,11,3,4502,まくり
20240320,02,12,2,4238,差し
20240320,02,1,1,4013,抜き
20240320,02,2,1,3415,逃げ
20240320,02,3,3,4024,まくり
20240320,02,4,1,4361,逃げ
20240320,02,5,1,5084,逃げ
20240320,02,6,3,3415,まくり
20240320,02,7,2,4719,差し
20240320,02,8,1,5121,逃げ
20240320,02,9,2,4762,差し
20240320,05,10,2,4215,まくり
20240320,05,11,1,4737,逃げ
20240320,05,12,3,3826,まくり差し
20240320,05,1,1,5110,逃げ
20240320,05,2,5,4906,まくり差し
20240320,05,3,2,4953,差し
20240320,05,4,1,4467,逃げ
20240320,05,5,2,4737,差し
20240320,05,6,4,4759,まくり差し
20240320,05,7,1,3826,逃げ
20240320,05,8,3,3602,差し
20240320,05,9,1,4953,逃げ
20240320,06,10,,,
20240320,06,11,,,
20240320,06,12,,,
20240320,06,1,1,4197,逃げ
20240320,06,2,2,4496,まくり
20240320,06,3,1,3441,逃げ
20240320,06,4,1,3811,逃げ
20240320,06,5,4,4958,差し
20240320,06,6,2,4140,まくり
20240320,06,7,1,3659,逃げ
20240320,06,8,1,4523,逃げ
20240320,06,9,2,3641,差し
20240320,08,10,,,
20240320,08,11,,,
20240320,08,12,,,
20240320,08,1,,,
20240320,08,2,,,
20240320,08,3,,,
20240320,08,4,,,
20240320,08,5,,,
20240320,08,6,,,
20240320,08,7,,,
20240320,08,8,,,
20240320,08,9,,,
20240320,09,10,,,
20240320,09,11,,,
20240320,09,12,,,
20240320,09,1,,,
20240320,09,2,,,
20240320,09,3,,,
20240320,09,4,,,
20240320,09,5,,,
20240320,09,6,,,
20240320,09,7,,,
20240320,09,8,,,
20240320,09,9,,,
20240320,10,10,,,
20240320,10,11,,,
20240320,10,12,,,
20240320,10,1,1,3833,逃げ
20240320,10,2,3,4589,まくり差し
20240320,10,3,1,4302,逃げ
20240320,10,4,3,3562,差し
20240320,10,5,1,4886,逃げ
20240320,10,6,4,4571,まくり
20240320,10,7,4,4296,抜き
20240320,10,8,,,
20240320,10,9,,,
20240320,12,10,1,2878,逃げ
20240320,12,11,1,4084,逃げ
20240320,12,12,1,4503,逃げ
20240320,12,1,6,3548,まくり差し
20240320,12,2,1,4382,逃げ
20240320,12,3,1,5036,抜き
20240320,12,4,1,4904,逃げ
20240320,12,5,1,3999,逃げ
20240320,12,6,1,5057,逃げ
20240320,12,7,1,4189,逃げ
20240320,12,8,2,3709,抜き
20240320,12,9,3,4966,まくり
20240320,13,10,2,4407,差し
20240320,13,11,1,4086,逃げ
20240320,13,12,1,4019,逃げ
20240320,13,1,2,3518,差し
20240320,13,2,3,4533,まくり差し
20240320,13,3,3,4623,まくり
20240320,13,4,6,4051,抜き
20240320,13,5,1,3939,逃げ
20240320,13,6,1,4256,逃げ
20240320,13,7,1,4704,逃げ
20240320,13,8,2,4836,差し
20240320,13,9,3,4909,差し
20240320,15,10,,,
20240320,15,11,,,
20240320,15,12,,,
20240320,15,1,,,
20240320,15,2,,,
20240320,15,3,,,
20240320,15,4,,,
20240320,15,5,,,
20240320,15,6,,,
20240320,15,7,,,
20240320,15,8,,,
20240320,15,9,,,
20240320,17,10,1,4260,逃げ
20240320,17,11,1,3966,逃げ
20240320,17,12,1,4364,逃げ
20240320,17,1,1,3805,逃げ
20240320,17,2,2,4204,差し
20240320,17,3,3,3304,まくり差し
20240320,17,4,3,4260,まくり差し
20240320,17,5,2,4122,差し
20240320,17,6,1,4406,逃げ
20240320,17,7,2,4531,差し
20240320,17,8,2,4684,まくり
20240320,17,9,1,4000,逃げ
20240320,22,10,1,5029,逃げ
20240320,22,11,2,4205,まくり
20240320,22,12,1,4371,逃げ
20240320,22,1,1,3716,逃げ
20240320,22,2,1,4383,逃げ
20240320,22,3,1,5060,逃げ
20240320,22,4,3,3257,抜き
20240320,22,5,1,4076,逃げ
20240320,22,6,1,4436,逃げ
20240320,22,7,2,4500,逃げ
20240320,22,8,2,4050,差し
20240320,22,9,1,4138,逃げ
20240320,23,10,1,5142,逃げ
20240320,23,11,1,3898,逃げ
20240320,23,12,1,3918,逃げ
20240320,23,1,1,4064,逃げ
20240320,23,2,3,4899,まくり
20240320,23,3,4,3660,差し
20240320,23,4,4,4236,まくり差し
20240320,23,5,2,4330,まくり
20240320,23,6,5,5142,まくり
20240320,23,7,5,3918,抜き
20240320,23,8,2,4331,差し
20240320,23,9,2,4236,差し
20240320,24,10,1,4335,逃げ
20240320,24,11,1,4174,逃げ
20240320,24,12,1,4566,逃げ
20240320,24,1,1,5048,抜き
20240320,24,2,1,3953,逃げ
20240320,24,3,1,4593,抜き
20240320,24,4,4,4832,まくり
20240320,24,5,3,4410,差し
20240320,24,6,1,4949,逃げ
20240320,24,7,2,3841,差し
20240320,24,8,3,3922,まくり差し
20240320,24,9,1,4832,逃げ
