hd,jcd,rno,lane,regno,st,tenji_st,tenji_rank,st_rank,course_avg_st,course_first_rate,course_3rd_rate
20240219,1,10,1,4420,,0.24,2,5,0.14,60.0,94.0
20240219,1,10,2,4889,,0.11,5,4,0.13,24.2,60.6
20240219,1,10,3,4808,,0.11,4,4,0.16,32.4,78.3
20240219,1,10,4,3448,,0.09,6,2,0.17,2.7,40.5
20240219,1,10,5,4645,,0.07,1,1,0.13,10.2,56.4
20240219,1,10,6,4049,,0.1,3,3,0.23,2.6,26.3
20240219,1,11,1,4024,,0.03,1,1,0.14,68.8,82.2
20240219,1,11,2,4610,,0.06,1,3,0.17,33.3,71.4
20240219,1,11,3,4468,,0.03,3,1,0.13,15.5,64.4
20240219,1,11,4,4261,,0.14,4,5,0.15,17.3,65.2
20240219,1,11,5,3842,,0.05,2,2,0.18,6.8,43.1
20240219,1,11,6,3340,,0.11,5,4,0.19,2.7,25.0
20240219,1,12,1,4939,,,4,5,0.13,85.0,96.6
20240219,1,12,2,4787,,,4,5,0.13,32.5,70.0
20240219,1,12,3,4748,,0.01,1,1,0.16,21.9,58.5
20240219,1,12,4,3686,,0.06,2,2,0.13,8.8,52.9
20240219,1,12,5,5150,,0.08,3,3,0.13,10.8,35.1
20240219,1,12,6,4156,,0.18,5,4,0.2,0.0,21.4
20240219,1,1,1,4358,,0.09,1,3,0.17,36.6,63.3
20240219,1,1,2,3889,,0.04,6,2,0.17,21.8,53.1
20240219,1,1,3,3877,,0.01,2,1,0.17,7.5,45.0
20240219,1,1,4,4270,,0.27,4,5,0.2,8.0,32.0
20240219,1,1,5,3653,,,3,6,0.18,2.5,53.8
20240219,1,1,6,4615,,0.18,5,4,0.21,0.0,19.5
20240219,1,2,1,4619,,0.1,6,1,0.18,33.3,55.5
20240219,1,2,2,4078,,0.14,1,3,0.18,0.0,36.8
20240219,1,2,3,4431,,0.21,4,5,0.14,5.4,48.6
20240219,1,2,4,3392,,0.31,2,6,0.17,3.3,26.6
20240219,1,2,5,3712,,0.12,3,2,0.18,10.2,30.7
20240219,1,2,6,3655,,0.17,5,4,0.16,0.0,38.4
20240219,1,3,1,4568,,0.01,5,1,0.13,42.4,84.8
20240219,1,3,2,3340,,,4,4,0.17,11.6,51.1
20240219,1,3,3,4438,,0.01,1,1,0.13,13.5,54.0
20240219,1,3,4,4808,,,3,4,0.14,20.5,70.5
20240219,1,3,5,4420,,0.14,2,3,0.16,6.7,33.9
20240219,1,3,6,4203,,0.06,4,2,0.18,0.0,13.7
20240219,1,4,1,4623,,,1,1,0.16,41.6,77.7
20240219,1,4,2,3852,,,1,1,0.15,36.1,77.7
20240219,1,4,3,4261,,,1,1,0.16,17.0,63.8
