feature,gain,split
st_rank,867.1474027733202,3610
course_3rd_rate,133.00825142406393,12843
course_avg_st,103.31658356857952,5604
course_first_rate,96.30466946098022,9940
tenji_st_sec,79.02303583652247,8289
tenji_rank,32.90422934689559,3471
lane_feat,29.279125325614586,2852
tenji_f_over_sec,27.643132838245947,2916
tenji_is_f,0.7740938044153154,75
