hd,jcd,rno,label_3t,win_lane
20240221,2,1,1-4-3,1
20240221,2,2,3-4-2,3
20240221,2,3,1-4-3,1
20240221,2,4,2-6-1,2
20240221,2,5,4-1-6,4
20240221,2,6,3-2-4,3
20240221,2,7,1-3-6,1
20240221,2,8,2-5-3,2
20240221,2,9,1-2-3,1
20240221,2,10,3-4-1,3
20240221,2,11,1-5-3,1
20240221,2,12,1-3-4,1
20240221,3,1,3-6-5,3
20240221,3,2,1-2-3,1
20240221,3,3,4-5-2,4
20240221,3,4,3-4-5,3
20240221,3,5,1-2-4,1
20240221,3,6,5-2-6,5
20240221,3,7,1-2-4,1
20240221,3,8,1-3-4,1
20240221,3,9,1-2-3,1
20240221,3,10,4-5-1,4
20240221,3,11,3-1-4,3
20240221,3,12,1-3-5,1
20240221,7,1,1-3-4,1
20240221,7,2,4-3-1,4
20240221,7,3,2-1-3,2
20240221,7,4,1-5-2,1
20240221,7,5,3-1-5,3
20240221,7,6,4-5-1,4
20240221,7,7,1-3-4,1
20240221,7,8,1-3-4,1
20240221,7,9,3-1-4,3
20240221,7,10,1-4-5,1
20240221,7,11,1-4-2,1
20240221,7,12,1-5-6,1
20240221,9,1,3-1-5,3
20240221,9,2,1-4-6,1
20240221,9,3,1-2-3,1
20240221,9,4,2-1-6,2
20240221,9,5,2-1-3,2
20240221,9,6,1-5-3,1
20240221,9,7,1-6-2,1
20240221,9,8,1-4-2,1
20240221,9,9,1-4-2,1
20240221,9,10,1-2-3,1
20240221,9,11,1-3-5,1
20240221,9,12,1-3-4,1
20240221,10,1,1-2-4,1
20240221,10,2,2-1-5,2
20240221,10,3,1-3-4,1
20240221,10,4,4-3-5,4
20240221,10,5,6-2-1,6
20240221,10,6,1-2-5,1
20240221,10,7,1-2-3,1
20240221,10,8,4-2-5,4
20240221,10,9,5-6-1,5
20240221,10,10,5-3-6,5
20240221,10,11,2-1-3,2
20240221,10,12,1-3-2,1
20240221,11,1,2-3-6,2
20240221,11,2,3-4-1,3
20240221,11,3,2-5-1,2
20240221,11,4,3-2-4,3
20240221,11,5,1-3-4,1
20240221,11,6,5-6-2,5
20240221,11,7,5-2-1,5
20240221,11,8,1-4-3,1
20240221,11,9,1-3-2,1
20240221,11,10,1-4-3,1
20240221,11,11,1-4-6,1
20240221,11,12,1-4-3,1
20240221,12,1,1-5-2,1
20240221,12,2,2-3-1,2
20240221,12,3,3-5-6,3
20240221,12,4,1-4-2,1
20240221,12,5,2-3-5,2
20240221,12,6,6-3-1,6
20240221,12,7,2-3-1,2
20240221,12,8,1-3-4,1
20240221,12,9,1-2-3,1
20240221,12,10,4-3-6,4
20240221,12,11,1-6-3,1
20240221,12,12,1-4-3,1
20240221,13,1,2-3-6,2
20240221,13,2,1-2-4,1
20240221,13,3,1-5-2,1
20240221,13,4,1-3-6,1
20240221,13,5,3-1-6,3
20240221,13,6,1-4-2,1
20240221,13,7,2-1-6,2
20240221,13,8,1-3-2,1
20240221,13,9,2-5-4,2
20240221,13,10,1-2-5,1
20240221,13,11,1-3-2,1
20240221,13,12,2-1-4,2
20240221,14,1,2-1-5,2
20240221,14,2,1-5-3,1
20240221,14,3,1-2-3,1
20240221,14,4,1-4-6,1
20240221,14,5,4-2-1,4
20240221,14,6,4-6-3,4
20240221,14,7,2-1-5,2
20240221,14,8,1-4-2,1
20240221,14,9,2-4-1,2
20240221,14,10,1-3-6,1
20240221,14,11,1-2-4,1
20240221,14,12,4-1-3,4
20240221,15,1,2-4-1,2
20240221,15,2,4-3-5,4
20240221,15,3,4-1-6,4
20240221,15,4,4-6-2,4
20240221,15,5,4-6-3,4
20240221,15,6,4-5-3,4
20240221,15,7,3-4-6,3
20240221,15,8,1-4-2,1
20240221,15,9,1-2-3,1
20240221,15,10,1-5-3,1
20240221,15,11,1-6-2,1
20240221,15,12,4-3-5,4
20240221,16,1,1-2-4,1
20240221,16,2,1-2-6,1
20240221,16,3,6-2-4,6
20240221,16,4,1-5-3,1
20240221,16,5,6-1-5,6
20240221,16,6,2-1-6,2
20240221,16,7,2-5-3,2
20240221,16,8,1-2-5,1
20240221,16,9,3-4-6,3
20240221,16,10,1-3-4,1
20240221,16,11,1-2-6,1
20240221,16,12,3-1-5,3
20240221,17,1,1-3-5,1
20240221,17,2,2-1-6,2
20240221,17,3,4-1-3,4
20240221,17,4,1-4-3,1
20240221,17,5,4-6-1,4
20240221,17,6,1-3-2,1
20240221,17,7,4-1-5,4
20240221,17,8,1-6-3,1
20240221,17,9,1-3-2,1
20240221,17,10,3-2-1,3
20240221,17,11,4-5-1,4
20240221,17,12,3-1-5,3
20240221,19,1,3-2-1,3
20240221,19,2,3-2-5,3
20240221,19,3,3-2-1,3
20240221,19,4,1-4-5,1
20240221,19,5,3-1-6,3
20240221,19,6,3-6-4,3
20240221,19,7,1-5-6,1
20240221,19,8,1-4-2,1
20240221,19,9,1-5-6,1
20240221,19,10,1-2-6,1
20240221,19,11,1-5-3,1
20240221,19,12,1-3-2,1
20240221,22,1,1-4-2,1
20240221,22,2,3-1-5,3
20240221,22,3,3-5-1,3
20240221,22,4,2-1-3,2
20240221,22,5,2-4-6,2
20240221,22,6,3-6-4,3
20240221,22,7,1-5-2,1
20240221,22,8,1-3-4,1
20240221,22,9,1-2-3,1
20240221,22,10,5-1-6,5
20240221,22,11,1-2-3,1
20240221,22,12,1-4-3,1
