hd,jcd,rno,title,decision,weather_sky,wind_dir,wind_speed_m,wave_height_cm,label_3t
20240207,1,1,第17回マンスリーBOATRACE杯,逃げ,晴,10,1.0,1.0,1-3-5
20240207,1,2,第17回マンスリーBOATRACE杯,逃げ,晴,12,1.0,1.0,1-6-4
20240207,1,3,第17回マンスリーBOATRACE杯,まくり,晴,12,1.0,1.0,4-3-2
20240207,1,4,第17回マンスリーBOATRACE杯,まくり,晴,12,1.0,1.0,4-1-3
20240207,1,5,第17回マンスリーBOATRACE杯,逃げ,晴,17,0.0,0.0,1-2-6
20240207,1,6,第17回マンスリーBOATRACE杯,まくり差し,晴,10,1.0,1.0,3-1-4
20240207,1,7,第17回マンスリーBOATRACE杯,逃げ,晴,17,0.0,0.0,1-2-3
20240207,1,8,第17回マンスリーBOATRACE杯,逃げ,晴,17,0.0,0.0,1-4-5
20240207,1,9,第17回マンスリーBOATRACE杯,抜き,晴,17,0.0,0.0,6-2-1
20240207,1,10,第17回マンスリーBOATRACE杯,差し,晴,6,1.0,1.0,3-4-1
20240207,1,11,第17回マンスリーBOATRACE杯,逃げ,晴,17,0.0,0.0,1-4-5
20240207,1,12,第17回マンスリーBOATRACE杯,まくり差し,晴,17,0.0,0.0,4-3-5
20240207,3,1,創刊55周年第23回夕刊フジ杯,逃げ,晴,14,5.0,10.0,1-3-6
20240207,3,2,創刊55周年第23回夕刊フジ杯,逃げ,晴,14,4.0,5.0,1-4-2
20240207,3,3,創刊55周年第23回夕刊フジ杯,逃げ,晴,17,0.0,5.0,1-3-6
20240207,3,4,創刊55周年第23回夕刊フジ杯,まくり,晴,12,3.0,15.0,4-1-2
20240207,3,5,創刊55周年第23回夕刊フジ杯,差し,晴,14,4.0,10.0,2-1-3
20240207,3,6,創刊55周年第23回夕刊フジ杯,逃げ,晴,14,3.0,5.0,1-2-3
20240207,3,7,創刊55周年第23回夕刊フジ杯,まくり,晴,14,3.0,5.0,4-1-6
20240207,3,8,創刊55周年第23回夕刊フジ杯,逃げ,晴,16,2.0,5.0,1-6-2
20240207,3,9,創刊55周年第23回夕刊フジ杯,逃げ,晴,14,3.0,5.0,1-4-3
20240207,3,10,創刊55周年第23回夕刊フジ杯,差し,晴,14,2.0,5.0,2-3-4
20240207,3,11,創刊55周年第23回夕刊フジ杯,逃げ,晴,16,2.0,5.0,1-2-4
20240207,3,12,創刊55周年第23回夕刊フジ杯,逃げ,晴,2,3.0,5.0,1-4-3
20240207,4,1,第69回関東地区選手権,逃げ,晴,15,3.0,3.0,1-4-2
20240207,4,2,第69回関東地区選手権,逃げ,晴,15,2.0,3.0,1-2-6
20240207,4,3,第69回関東地区選手権,逃げ,晴,3,1.0,3.0,1-3-6
20240207,4,4,第69回関東地区選手権,まくり,晴,1,2.0,3.0,3-6-2
20240207,4,5,第69回関東地区選手権,逃げ,晴,3,2.0,3.0,1-6-2
20240207,4,6,第69回関東地区選手権,逃げ,晴,15,1.0,3.0,1-2-4
20240207,4,7,第69回関東地区選手権,差し,晴,3,2.0,3.0,2-4-1
20240207,4,8,第69回関東地区選手権,逃げ,晴,3,1.0,3.0,1-2-3
20240207,4,9,第69回関東地区選手権,逃げ,晴,3,2.0,3.0,1-2-4
20240207,4,10,第69回関東地区選手権,逃げ,晴,3,3.0,3.0,1-3-4
20240207,4,11,第69回関東地区選手権,逃げ,晴,5,2.0,3.0,1-5-2
20240207,4,12,第69回関東地区選手権,逃げ,晴,3,1.0,3.0,1-5-3
20240207,6,1,オールB級東海地区選手権 公営レーシングプレス杯,差し,晴,1,2.0,1.0,2-1-6
20240207,6,2,オールB級東海地区選手権 公営レーシングプレス杯,逃げ,晴,1,2.0,1.0,1-2-4
20240207,6,3,オールB級東海地区選手権 公営レーシングプレス杯,まくり,晴,1,2.0,1.0,3-5-2
20240207,6,4,オールB級東海地区選手権 公営レーシングプレス杯,抜き,晴,1,3.0,2.0,3-1-2
20240207,6,5,オールB級東海地区選手権 公営レーシングプレス杯,逃げ,晴,1,3.0,2.0,1-4-5
20240207,6,6,オールB級東海地区選手権 公営レーシングプレス杯,逃げ,晴,1,3.0,2.0,1-4-3
20240207,6,7,オールB級東海地区選手権 公営レーシングプレス杯,逃げ,晴,1,3.0,2.0,1-2-4
20240207,6,8,オールB級東海地区選手権 公営レーシングプレス杯,逃げ,晴,1,2.0,1.0,1-3-2
20240207,6,9,オールB級東海地区選手権 公営レーシングプレス杯,逃げ,晴,1,2.0,1.0,1-3-2
20240207,6,10,オールB級東海地区選手権 公営レーシングプレス杯,まくり差し,晴,1,3.0,2.0,3-4-1
20240207,6,11,オールB級東海地区選手権 公営レーシングプレス杯,逃げ,晴,3,3.0,2.0,1-4-3
20240207,6,12,オールB級東海地区選手権 公営レーシングプレス杯,差し,晴,3,3.0,2.0,5-6-1
20240207,7,1,第69回東海地区選手権競走,逃げ,晴,1,3.0,1.0,1-3-6
20240207,7,2,第69回東海地区選手権競走,まくり,晴,1,4.0,2.0,2-4-5
20240207,7,3,第69回東海地区選手権競走,逃げ,晴,1,4.0,2.0,1-3-4
20240207,7,4,第69回東海地区選手権競走,逃げ,晴,1,4.0,2.0,1-5-3
20240207,7,5,第69回東海地区選手権競走,逃げ,晴,1,3.0,1.0,1-6-2
20240207,7,6,第69回東海地区選手権競走,逃げ,晴,1,4.0,2.0,1-3-6
20240207,7,7,第69回東海地区選手権競走,まくり,晴,1,3.0,1.0,2-3-4
20240207,7,8,第69回東海地区選手権競走,まくり差し,晴,1,3.0,1.0,3-2-5
20240207,7,9,第69回東海地区選手権競走,逃げ,晴,1,3.0,1.0,1-4-5
20240207,7,10,第69回東海地区選手権競走,差し,晴,1,4.0,2.0,2-5-1
20240207,7,11,第69回東海地区選手権競走,逃げ,晴,1,4.0,2.0,1-2-3
20240207,7,12,第69回東海地区選手権競走,逃げ,晴,1,3.0,1.0,1-2-3
20240207,9,1,にっぽん未来プロジェクト競走in津,抜き,晴,14,4.0,2.0,1-2-3
20240207,9,2,にっぽん未来プロジェクト競走in津,まくり差し,晴,14,3.0,2.0,3-1-2
20240207,9,3,にっぽん未来プロジェクト競走in津,逃げ,晴,14,4.0,2.0,1-2-6
20240207,9,4,にっぽん未来プロジェクト競走in津,抜き,晴,14,4.0,2.0,3-1-2
20240207,9,5,にっぽん未来プロジェクト競走in津,まくり差し,晴,14,3.0,2.0,3-1-4
20240207,9,6,にっぽん未来プロジェクト競走in津,逃げ,晴,14,3.0,2.0,1-3-5
20240207,9,7,にっぽん未来プロジェクト競走in津,まくり差し,晴,14,3.0,2.0,3-1-6
20240207,9,8,にっぽん未来プロジェクト競走in津,逃げ,晴,14,3.0,2.0,1-4-5
20240207,9,9,にっぽん未来プロジェクト競走in津,逃げ,雨,14,4.0,2.0,1-3-5
20240207,9,10,にっぽん未来プロジェクト競走in津,逃げ,晴,14,2.0,1.0,1-2-3
20240207,9,11,にっぽん未来プロジェクト競走in津,逃げ,晴,14,5.0,3.0,1-2-4
20240207,9,12,にっぽん未来プロジェクト競走in津,逃げ,晴,14,3.0,2.0,1-2-4
20240207,11,1,にっぽん未来プロジェクト競走inびわこ,逃げ,晴,15,2.0,2.0,1-5-3
20240207,11,2,にっぽん未来プロジェクト競走inびわこ,逃げ,晴,17,0.0,1.0,1-6-3
20240207,11,3,にっぽん未来プロジェクト競走inびわこ,逃げ,晴,3,2.0,2.0,1-2-3
20240207,11,4,にっぽん未来プロジェクト競走inびわこ,逃げ,晴,1,2.0,2.0,1-4-3
20240207,11,5,にっぽん未来プロジェクト競走inびわこ,逃げ,曇り,7,6.0,4.0,1-5-2
20240207,11,6,にっぽん未来プロジェクト競走inびわこ,差し,雨,7,2.0,3.0,4-1-3
20240207,11,7,にっぽん未来プロジェクト競走inびわこ,まくり差し,晴,17,0.0,3.0,4-1-6
20240207,11,8,にっぽん未来プロジェクト競走inびわこ,恵まれ,雨,7,2.0,4.0,4-2-3
