hd,jcd,rno,lane,racer_id,st,tenji_st,course_avg_st,st_rank,power_lane
20240216,01,10,1,4261,0.2,0.01,0.14,2,12.135000000000002
20240216,01,10,2,3655,0.23,0.05,0.19,4,14.344
20240216,01,10,3,4889,0.18,0.0007000000000000001,0.12,1,16.200999999999997
20240216,01,10,4,3653,0.25,,0.19,6,429496737.009
20240216,01,10,5,4568,0.23,0.04,0.15,3,18.134
20240216,01,10,6,4049,0.23,0.1,0.23,5,10.854
20240216,01,11,1,4610,0.27,0.09,0.18,2,8.643
20240216,01,11,2,4888,0.3,0.11,0.17,3,5.633
20240216,01,11,3,4156,0.3,0.07,0.13,1,9.457
20240216,01,11,4,3406,0.27,0.11,0.18,3,17.105
20240216,01,11,5,4623,0.21,0.09,0.18,2,19.269
20240216,01,11,6,4702,0.2,0.09,0.14,2,12.234000000000002
20240216,01,12,1,4787,0.18,0.12,0.12,5,11.883
20240216,01,12,2,4024,0.19,0.09,0.14,3,16.936999999999998
20240216,01,12,3,4468,0.17,0.11,0.13,4,14.448999999999998
20240216,01,12,4,3740,0.2,0.02,0.16,2,11.145
20240216,01,12,5,4808,0.22,0.12,0.16,5,12.381
20240216,01,12,6,4939,0.21,0.0004,0.16,1,14.601999999999999
20240216,01,1,1,3653,0.15,0.0009,0.19,3,7.7090000000000005
20240216,01,1,2,4431,0.13,0.0006,0.14,1,12.078999999999999
20240216,01,1,3,3686,0.11,0.0016,0.16,5,18.39
20240216,01,1,4,4610,0.11,0.0025,0.16,6,429496737.843
20240216,01,1,5,3842,0.15,0.001,0.18,4,10.99
20240216,01,1,6,5063,0.24,0.0008,0.24,2,16.820999999999998
20240216,01,2,1,3340,0.11,0.03,0.19,2,15.039000000000001
20240216,01,2,2,4156,0.03,0.08,0.15,4,9.157
20240216,01,2,3,4645,0.03,0.04,0.14,3,12.398
20240216,01,2,4,5150,0.01,0.09,0.16,5,15.983999999999998
20240216,01,2,5,3392,0.05,0.04,0.2,3,9.076999999999998
20240216,01,2,6,4889,0.14,0.0003,0.18,1,16.200999999999997
20240216,01,3,1,3406,0.09,0.0013,0.17,4,17.005000000000003
20240216,01,3,2,4049,0.08,0.0011,0.14,3,11.053999999999998
20240216,01,3,3,4420,0.05,0.0005,0.14,2,15.120000000000001
20240216,01,3,4,3877,0.1,0.0001,0.16,1,11.098
20240216,01,3,5,4615,0.12,0.14,0.19,5,5.676
20240216,01,3,6,4468,0.13,0.28,0.15,6,429496743.849
20240216,01,4,1,3712,0.18,0.06,0.14,6,429496738.953
20240216,01,4,2,3448,0.17,0.04,0.18,4,17.524
20240216,01,4,3,4808,0.14,0.0005,0.16,3,12.581
20240216,01,4,4,4568,0.11,0.0004,0.11,2,18.234
20240216,01,4,5,4748,0.16,0.0003,0.16,1,14.833
20240216,01,4,6,4888,0.15,0.05,0.15,5,5.433
20240216,01,5,1,3889,0.13,0.07,0.15,3,13.273999999999997
20240216,01,5,2,4939,0.1,0.09,0.15,4,14.301999999999998
20240216,01,5,3,4261,0.12,0.11,0.16,5,11.835
20240216,01,5,4,4702,0.12,0.03,0.14,2,12.234000000000002
20240216,01,5,5,3852,0.21,0.0002,0.17,1,15.738999999999999
20240216,01,5,6,5313,0.25,0.09,0.12,4,2.491
20240216,01,6,1,3740,0.13,0.14,0.14,4,10.944999999999999
20240216,01,6,2,4270,0.2,0.19,0.18,6,429496741.32
20240216,01,6,3,4078,0.16,0.16,0.18,5,10.071
