hd,jcd,rno,label_3t,win_lane
20240312,4,1,3-5-2,3
20240312,4,2,2-5-3,2
20240312,4,3,5-6-1,5
20240312,4,4,5-6-1,5
20240312,4,5,4-5-6,4
20240312,4,6,2-5-6,2
20240312,4,7,3-5-2,3
20240312,4,8,1-4-5,1
20240312,4,9,1-6-2,1
20240312,4,10,3-1-4,3
20240312,4,11,5-3-2,5
20240312,4,12,1-3-2,1
20240312,6,1,1-6-2,1
20240312,6,2,1-3-5,1
20240312,6,3,2-4-1,2
20240312,6,4,1-3-4,1
20240312,6,5,3-4-1,3
20240312,6,6,3-2-6,3
20240312,6,7,3-5-4,3
20240312,6,8,,
20240312,6,9,,
20240312,6,10,,
20240312,6,11,,
20240312,6,12,,
20240312,7,1,3-5-4,3
20240312,7,2,1-5-3,1
20240312,7,3,2-1-4,2
20240312,7,4,2-3-1,2
20240312,7,5,3-1-4,3
20240312,7,6,3-4-2,3
20240312,7,7,1-3-2,1
20240312,7,8,1-3-6,1
20240312,7,9,1-2-5,1
20240312,7,10,1-5-4,1
20240312,7,11,3-1-6,3
20240312,7,12,1-4-2,1
20240312,9,1,4-2-5,4
20240312,9,2,5-2-4,5
20240312,9,3,4-1-3,4
20240312,9,4,3-5-6,3
20240312,9,5,1-2-4,1
20240312,9,6,4-1-5,4
20240312,9,7,1-2-6,1
20240312,9,8,1-5-4,1
20240312,9,9,1-3-2,1
20240312,9,10,2-1-6,2
20240312,9,11,1-4-2,1
20240312,9,12,1-2-4,1
20240312,16,1,1-2-4,1
20240312,16,2,1-4-2,1
20240312,16,3,1-2-3,1
20240312,16,4,4-2-5,4
20240312,16,5,6-1-2,6
20240312,16,6,1-3-2,1
20240312,16,7,5-1-4,5
20240312,16,8,2-5-1,2
20240312,16,9,1-6-4,1
20240312,16,10,4-2-5,4
20240312,16,11,1-6-5,1
20240312,16,12,1-4-2,1
20240312,17,1,5-4-2,5
20240312,17,2,2-1-4,2
20240312,17,3,5-2-6,5
20240312,17,4,6-1-2,6
20240312,17,5,1-4-5,1
20240312,17,6,1-3-6,1
20240312,17,7,2-4-5,2
20240312,17,8,3-1-2,3
20240312,17,9,3-2-5,3
20240312,17,10,1-2-4,1
20240312,17,11,1-3-5,1
20240312,17,12,1-3-2,1
20240312,19,1,1-6-2,1
20240312,19,2,1-2-3,1
20240312,19,3,4-5-2,4
20240312,19,4,3-2-5,3
20240312,19,5,1-3-4,1
20240312,19,6,4-3-5,4
20240312,19,7,3-5-1,3
20240312,19,8,1-3-5,1
20240312,19,9,3-6-2,3
20240312,19,10,4-2-3,4
20240312,19,11,1-2-3,1
20240312,19,12,1-6-4,1
20240312,20,1,1-2-4,1
20240312,20,2,1-5-3,1
20240312,20,3,3-1-2,3
20240312,20,4,1-4-6,1
20240312,20,5,1-4-5,1
20240312,20,6,2-1-3,2
20240312,20,7,3-1-5,3
20240312,20,8,1-3-2,1
20240312,20,9,6-1-3,6
20240312,20,10,1-6-2,1
20240312,20,11,1-5-4,1
20240312,20,12,1-2-3,1
20240312,21,1,1-3-5,1
20240312,21,2,1-3-2,1
20240312,21,3,1-3-4,1
20240312,21,4,1-3-6,1
20240312,21,5,4-1-2,4
20240312,21,6,2-1-6,2
20240312,21,7,1-2-3,1
20240312,21,8,2-6-5,2
20240312,21,9,1-3-4,1
20240312,21,10,3-6-5,3
20240312,21,11,3-5-4,3
20240312,21,12,4-5-6,4
20240312,22,1,1-4-2,1
20240312,22,2,1-4-2,1
20240312,22,3,3-1-5,3
20240312,22,4,1-3-2,1
20240312,22,5,4-3-1,4
20240312,22,6,1-2-4,1
20240312,22,7,1-4-3,1
20240312,22,8,1-3-2,1
20240312,22,9,1-3-5,1
20240312,22,10,1-2-3,1
20240312,22,11,1-3-6,1
20240312,22,12,1-4-5,1
