hd,jcd,rno,lane,regno,wind_speed_m,kimarite_sashi,is_crosswind,boat_rate3,is_strong_wind,racer_id,dash_attack_flag,kimarite_makuri,power_lane,power_outer,course_avg_st,outer_over_inner,wave_height_cm,power_inner,decision4,motor_rate2,racer_name,kimarite_nuki,tenji_st,boat_rate2,motor_rate3,course_first_rate,kimarite_makuri_sashi,st_rank,tenji_sec,course_3rd_rate,tenji_rank
20240308,01,10,1,3659,1.0,0.0,0,42.11,0,3659,0,0.0,18.686,143165592.31333336,0.15,143165575.35333335,1.0,16.959999999999997,NIGE,48.72,藤生 雄人,3.0,0.04,29.82,64.1,62.5,0.0,3,6.91,93.7,3
20240308,01,10,2,4121,1.0,1.0,0,55.77,0,4121,0,1.0,16.137999999999998,143165592.31333336,0.14,143165575.35333335,1.0,16.959999999999997,NIGE,40.0,富永 修一,0.0,0.02,34.62,45.0,6.9,0.0,1,6.94,55.1,5
20240308,01,10,3,5141,1.0,0.0,0,52.94,0,5141,0,1.0,16.056,143165592.31333336,0.13,143165575.35333335,1.0,16.959999999999997,NIGE,41.86,大澤 風葵,0.0,0.09,43.14,51.16,15.7,5.0,5,6.83,65.7,1
20240308,01,10,4,3538,1.0,0.0,0,36.67,0,3538,1,0.0,16.8,143165592.31333336,0.17,143165575.35333335,1.0,16.959999999999997,NIGE,44.12,菊池 峰晴,0.0,0.03,25.0,64.71,0.0,0.0,2,6.89,53.3,2
20240308,01,10,5,3905,1.0,0.0,0,42.37,0,3905,0,2.0,429496746.48,143165592.31333336,0.15,143165575.35333335,1.0,16.959999999999997,NIGE,45.0,天野 友和,0.0,0.12,30.51,62.5,7.8,1.0,6,6.92,44.7,4
20240308,01,10,6,3614,1.0,0.0,0,51.85,0,3614,0,0.0,13.659999999999998,143165592.31333336,0.2,143165575.35333335,1.0,16.959999999999997,NIGE,35.9,谷 勝幸,0.0,0.08,33.33,53.85,3.5,1.0,4,6.95,14.2,6
20240308,01,11,1,4238,1.0,0.0,0,48.33,0,4238,0,0.0,13.327,143165588.45233333,0.1,143165575.75133333,1.0,12.701,NIGE,28.57,毒島 誠,1.0,0.0002,35.0,40.0,84.4,0.0,1,6.76,93.1,1
20240308,01,11,2,3790,1.0,2.0,0,46.55,0,3790,0,3.0,12.599,143165588.45233333,0.17,143165575.75133333,1.0,12.701,NIGE,31.25,佐口 達也,1.0,0.03,32.76,56.25,18.9,0.0,3,6.92,59.4,5
20240308,01,11,3,3686,1.0,0.0,0,54.1,0,3686,0,1.0,12.177000000000001,143165588.45233333,0.16,143165575.75133333,1.0,12.701,NIGE,28.13,鳥居塚 孝博,0.0,0.02,32.79,43.75,2.5,0.0,2,6.81,65.0,2
20240308,01,11,4,4218,1.0,4.0,0,42.86,0,4218,0,1.0,11.133,143165588.45233333,0.18,143165575.75133333,1.0,12.701,NIGE,23.81,吉川 喜継,1.0,0.2,25.0,47.62,15.2,3.0,5,6.89,57.6,4
