hd,jcd,rno,lane,racer_id,st,tenji_st,course_avg_st,st_rank,power_lane
20240226,04,12,1,4953,0.1,0.02,0.14,2,11.469000000000001
20240226,04,12,2,3813,0.16,0.25,0.16,6,429496744.632
20240226,04,12,3,4793,0.14,0.07,0.13,4,13.654
20240226,04,12,4,4074,0.14,0.1,0.14,5,12.509999999999998
20240226,04,12,5,4211,0.13,0.0001,0.14,1,16.255
20240226,04,12,6,4776,0.14,0.03,0.2,3,16.778
20240226,04,1,1,3277,0.19,0.02,0.18,1,18.177999999999997
20240226,04,1,2,4944,0.3,0.1,0.17,4,13.624
20240226,04,1,3,4976,0.2,0.22,0.2,5,14.451
20240226,04,1,4,3340,0.23,0.45,0.17,6,429496745.01
20240226,04,1,5,4880,0.22,0.09,0.14,3,11.710999999999999
20240226,04,1,6,4815,0.25,0.04,0.18,2,10.074000000000002
20240226,04,2,1,4245,0.23,0.0014000000000000002,0.17,2,12.939
20240226,04,2,2,3812,0.25,0.05,0.16,3,12.341
20240226,04,2,3,4274,0.24,0.0004,0.17,1,13.225000000000001
20240226,04,2,4,4995,0.14,0.17,0.2,5,12.234
20240226,04,2,5,3569,0.1,0.08,0.21,4,12.700000000000001
20240226,04,2,6,5331,0.01,0.0004,0.19,1,14.824
20240226,04,3,1,5023,0.05,0.04,0.18,1,10.612
20240226,04,3,2,3313,0.04,0.1,0.16,2,13.991999999999999
20240226,04,3,3,4560,0.08,0.11,0.15,3,15.725
20240226,04,3,4,5007,0.07,0.16,0.18,6,429496739.583
20240226,04,3,5,4059,0.1,0.15,0.15,5,11.384999999999998
20240226,04,3,6,5253,0.19,0.13,0.25,4,10.354
20240226,04,4,1,4906,0.06,0.35,0.18,6,429496744.884
20240226,04,4,2,3505,0.04,0.13,0.18,5,14.361
20240226,04,4,3,4676,0.07,0.06,0.14,4,11.761
20240226,04,4,4,4037,0.19,0.05,0.17,3,13.415
20240226,04,4,5,4619,0.09,0.01,0.21,1,13.408
20240226,04,4,6,5044,0.12,0.03,0.2,2,13.896
20240226,04,5,1,4976,0.15,0.0009,0.18,3,14.651
20240226,04,5,2,4568,0.15,0.0002,0.15,1,9.808
20240226,04,5,3,4169,0.2,0.0006,0.15,2,15.333
20240226,04,5,4,4818,0.17,0.0002,0.1,1,12.535
20240226,04,5,5,3857,0.25,0.12,0.12,5,11.01
20240226,04,5,6,3293,0.32,0.03,0.23,4,11.365
20240226,04,6,1,3679,0.19,0.13,0.13,5,11.403
20240226,04,6,2,4815,0.21,0.07,0.16,4,9.874
20240226,04,6,3,4345,0.19,0.17,0.15,6,429496740.531
20240226,04,6,4,4245,0.12,0.0006,0.17,3,12.838999999999999
20240226,04,6,5,4728,0.12,0.0001,0.19,1,12.382
20240226,04,6,6,4274,0.18,0.0002,0.17,2,13.125000000000002
20240226,04,7,1,3908,0.15,0.08,0.14,4,10.882
20240226,04,7,2,4995,0.17,0.15,0.19,5,12.234
20240226,04,7,3,3377,0.15,0.02,0.18,1,12.382
20240226,04,7,4,4560,0.18,0.07,0.13,3,15.725
20240226,04,7,5,5253,0.39,0.03,0.23,2,10.554
20240226,04,7,6,3800,0.46,0.27,0.23,6,429496741.392
20240226,04,8,1,4037,0.25,0.04,0.14,1,13.615
20240226,04,8,2,4676,0.26,0.08,0.15,2,11.961
20240226,04,8,3,3313,0.26,0.13,0.16,3,13.891999999999998
20240226,04,8,4,4944,0.33,0.47,0.14,6,429496743.024
20240226,04,8,5,5331,0.26,0.27,0.0,4,14.524
20240226,04,8,6,4615,0.34,0.46,0.21,5,10.8
20240226,04,9,1,5044,0.14,0.0012,0.17,3,13.796
20240226,04,9,2,3569,0.22,0.0006,0.19,1,13.000000000000002
20240226,04,9,3,3340,0.24,0.0011,0.2,2,15.810000000000002
20240226,04,9,4,4169,0.15,0.06,0.15,4,15.133
20240226,04,9,5,5023,0.2,0.32,0.18,6,429496739.712
20240226,04,9,6,3857,0.2,0.11,0.2,5,11.01
20240226,05,10,1,4240,0.03,0.0007000000000000001,0.14,1,12.619
20240226,05,10,2,3528,0.11,0.18,0.21,5,14.262
