hd,jcd,rno,combo,is_hit,p1_lane,p1_grade,p1_national_win,p1_motor_rate2,p1_tenji_st,p1_tenji_rank,p1_st_rank,p1_course_first_rate,p2_lane,p2_grade,p2_national_win,p2_motor_rate2,p2_tenji_st,p2_tenji_rank,p2_st_rank,p3_lane,p3_grade,p3_motor_rate2,p3_tenji_st,p3_tenji_rank,p3_st_rank,diff_p1p2_st,sum_p1p2_motor,outer_push,in_cover,wind_speed_m,wave_height_cm,is_strong_wind,is_crosswind
20240127,01,10,1-2-3,0,1,A2,5.68,25.0,0.04,3.0,2.0,68.7,2,A2,5.79,26.67,0.01,4.0,1.0,3,B1,11.76,0.04,2.0,2.0,0.03,51.67,0,0,5.0,4.0,0,1
20240127,01,10,1-2-4,0,1,A2,5.68,25.0,0.04,3.0,2.0,68.7,2,A2,5.79,26.67,0.01,4.0,1.0,4,B1,13.33,0.27,5.0,5.0,0.03,51.67,0,0,5.0,4.0,0,1
20240127,01,10,1-2-5,1,1,A2,5.68,25.0,0.04,3.0,2.0,68.7,2,A2,5.79,26.67,0.01,4.0,1.0,5,B1,20.0,0.1,3.0,3.0,0.03,51.67,0,0,5.0,4.0,0,1
20240127,01,10,1-2-6,0,1,A2,5.68,25.0,0.04,3.0,2.0,68.7,2,A2,5.79,26.67,0.01,4.0,1.0,6,A2,45.45,0.16,1.0,4.0,0.03,51.67,0,0,5.0,4.0,0,1
20240127,01,10,1-3-2,0,1,A2,5.68,25.0,0.04,3.0,2.0,68.7,3,B1,4.88,11.76,0.04,2.0,2.0,2,A2,26.67,0.01,4.0,1.0,0.0,36.76,0,0,5.0,4.0,0,1
20240127,01,10,1-3-4,0,1,A2,5.68,25.0,0.04,3.0,2.0,68.7,3,B1,4.88,11.76,0.04,2.0,2.0,4,B1,13.33,0.27,5.0,5.0,0.0,36.76,0,0,5.0,4.0,0,1
20240127,01,10,1-3-5,0,1,A2,5.68,25.0,0.04,3.0,2.0,68.7,3,B1,4.88,11.76,0.04,2.0,2.0,5,B1,20.0,0.1,3.0,3.0,0.0,36.76,0,0,5.0,4.0,0,1
20240127,01,10,1-3-6,0,1,A2,5.68,25.0,0.04,3.0,2.0,68.7,3,B1,4.88,11.76,0.04,2.0,2.0,6,A2,45.45,0.16,1.0,4.0,0.0,36.76,0,0,5.0,4.0,0,1
20240127,01,10,1-4-2,0,1,A2,5.68,25.0,0.04,3.0,2.0,68.7,4,B1,4.74,13.33,0.27,5.0,5.0,2,A2,26.67,0.01,4.0,1.0,-0.23,38.33,0,0,5.0,4.0,0,1
20240127,01,10,1-4-3,0,1,A2,5.68,25.0,0.04,3.0,2.0,68.7,4,B1,4.74,13.33,0.27,5.0,5.0,3,B1,11.76,0.04,2.0,2.0,-0.23,38.33,0,0,5.0,4.0,0,1
