hd,jcd,rno,label_3t,win_lane
20240115,3,1,1-5-3,1
20240115,3,2,6-5-4,6
20240115,3,3,1-3-4,1
20240115,3,4,1-3-5,1
20240115,3,5,2-1-5,2
20240115,3,6,1-3-2,1
20240115,3,7,2-1-3,2
20240115,3,8,3-1-5,3
20240115,3,9,1-2-3,1
20240115,3,10,1-3-5,1
20240115,3,11,2-1-3,2
20240115,3,12,3-4-2,3
20240115,4,1,6-2-3,6
20240115,4,2,1-2-5,1
20240115,4,3,6-4-2,6
20240115,4,4,1-5-6,1
20240115,4,5,2-6-3,2
20240115,4,6,2-3-5,2
20240115,4,7,6-4-2,6
20240115,4,8,4-6-2,4
20240115,4,9,3-2-5,3
20240115,4,10,1-5-4,1
20240115,4,11,1-4-3,1
20240115,4,12,1-4-3,1
20240115,7,1,1-2-5,1
20240115,7,2,3-1-5,3
20240115,7,3,2-1-5,2
20240115,7,4,5-3-1,5
20240115,7,5,2-3-1,2
20240115,7,6,6-3-2,6
20240115,7,7,3-1-5,3
20240115,7,8,2-1-4,2
20240115,7,9,3-4-6,3
20240115,7,10,5-3-1,5
20240115,7,11,1-4-5,1
20240115,7,12,4-5-1,4
20240115,9,1,3-1-5,3
20240115,9,2,2-1-3,2
20240115,9,3,1-6-5,1
20240115,9,4,2-1-4,2
20240115,9,5,1-2-4,1
20240115,9,6,1-2-3,1
20240115,9,7,3-4-1,3
20240115,9,8,2-1-4,2
20240115,9,9,3-2-4,3
20240115,9,10,4-1-2,4
20240115,9,11,3-1-5,3
20240115,9,12,1-2-5,1
20240115,12,1,1-2-5,1
20240115,12,2,1-3-4,1
20240115,12,3,3-6-4,3
20240115,12,4,1-5-6,1
20240115,12,5,5-1-4,5
20240115,12,6,1-2-3,1
20240115,12,7,1-3-6,1
20240115,12,8,1-3-5,1
20240115,12,9,2-1-3,2
20240115,12,10,1-2-6,1
20240115,12,11,5-1-4,5
20240115,12,12,2-1-4,2
20240115,13,1,3-4-2,3
20240115,13,2,2-3-4,2
20240115,13,3,4-5-2,4
20240115,13,4,1-5-2,1
20240115,13,5,1-6-5,1
20240115,13,6,4-5-6,4
20240115,13,7,1-2-4,1
20240115,13,8,2-6-4,2
20240115,13,9,2-4-6,2
20240115,13,10,5-1-4,5
20240115,13,11,6-1-5,6
20240115,13,12,1-3-4,1
20240115,15,1,5-1-4,5
20240115,15,2,2-6-5,2
20240115,15,3,1-6-2,1
20240115,15,4,4-5-6,4
20240115,15,5,5-1-6,5
20240115,15,6,3-2-1,3
20240115,15,7,1-6-4,1
20240115,15,8,1-2-6,1
20240115,15,9,1-4-2,1
20240115,15,10,5-1-4,5
20240115,15,11,1-4-6,1
20240115,15,12,5-1-4,5
20240115,17,1,1-2-5,1
20240115,17,2,1-3-6,1
20240115,17,3,2-1-6,2
20240115,17,4,1-3-2,1
20240115,17,5,3-6-1,3
20240115,17,6,1-3-6,1
20240115,17,7,1-3-2,1
20240115,17,8,4-1-5,4
20240115,17,9,5-1-6,5
20240115,17,10,3-1-6,3
20240115,17,11,1-2-3,1
20240115,17,12,5-4-2,5
20240115,18,1,3-4-1,3
20240115,18,2,1-4-2,1
20240115,18,3,1-2-3,1
20240115,18,4,2-1-5,2
20240115,18,5,4-1-6,4
20240115,18,6,3-6-1,3
20240115,18,7,4-2-1,4
20240115,18,8,5-2-3,5
20240115,18,9,1-5-2,1
20240115,18,10,1-3-2,1
20240115,18,11,2-1-6,2
20240115,18,12,1-2-3,1
20240115,19,1,1-3-2,1
20240115,19,2,1-2-5,1
20240115,19,3,1-6-2,1
20240115,19,4,1-2-3,1
20240115,19,5,2-1-3,2
20240115,19,6,5-2-1,5
20240115,19,7,1-3-2,1
20240115,19,8,1-3-5,1
20240115,19,9,1-2-3,1
20240115,19,10,1-2-3,1
20240115,19,11,1-3-2,1
20240115,19,12,2-4-5,2
20240115,22,1,1-2-3,1
20240115,22,2,2-1-5,2
20240115,22,3,3-2-1,3
20240115,22,4,1-3-4,1
20240115,22,5,2-4-1,2
20240115,22,6,1-3-2,1
20240115,22,7,3-6-2,3
20240115,22,8,1-3-6,1
20240115,22,9,4-2-1,4
20240115,22,10,1-3-6,1
20240115,22,11,3-2-1,3
20240115,22,12,1-6-4,1
20240115,23,1,4-3-1,4
20240115,23,2,1-2-4,1
20240115,23,3,1-3-2,1
20240115,23,4,2-1-6,2
20240115,23,5,3-4-1,3
20240115,23,6,5-6-3,5
20240115,23,7,2-1-3,2
20240115,23,8,5-6-3,5
20240115,23,9,1-3-5,1
20240115,23,10,1-4-3,1
20240115,23,11,1-2-3,1
20240115,23,12,2-1-4,2
