hd,jcd,rno,lane,racer_id,racer_name,proba_nige,proba_sashi,proba_makuri,proba_makuri_sashi
20240301,2,10,1,3939,渡辺 真至,0.9999979798698508,0.0,0.0,0.0
20240301,2,10,2,3873,別府 昌樹,0.0,0.34792260156566096,0.644927295526549,0.007148065449254904
20240301,2,10,3,4709,岡村 将也,0.0,0.31414062632041323,0.6657902297992515,0.020066354497444094
20240301,2,10,4,4981,牧山 敦也,0.0,0.20456202698317102,0.781952515142291,0.013483211319749337
20240301,2,10,5,3663,木山 和幸,0.0,0.4760651834926662,0.5046556398950374,0.019276262887204583
20240301,2,10,6,4619,伏田 裕隆,0.0,0.49616959832173785,0.4750964522449544,0.02873078942157368
20240301,2,11,1,4099,吉永 則雄,0.9999983467294525,0.0,0.0,0.0
20240301,2,11,2,4133,高橋 正男,0.0,0.6769800493140087,0.2958809435465344,0.027134777547191874
20240301,2,11,3,4588,田中 京介,0.0,0.35424606277936344,0.6159354605911422,0.029811630026365908
20240301,2,11,4,3072,西田 靖,0.0,0.581005765847862,0.35157304110381016,0.06741455020673036
20240301,2,11,5,4173,岡谷 健吾,0.0,0.5015839027633173,0.46324195406850716,0.03517011759488542
20240301,2,11,6,4298,宮下 元胤,0.0,0.4945678393206853,0.4619998179218188,0.04342808228313237
20240301,2,12,1,4760,山崎 郡,0.9999979567625397,0.0,0.0,0.0
20240301,2,12,2,4532,秋元 哲,0.0,0.8229604958936444,0.1543047604546504,0.022731486634645214
20240301,2,12,3,4357,田中 和也,0.0,0.8469505029812683,0.1297701785526351,0.023277019855982135
20240301,2,12,4,3813,佐藤 大介,0.0,0.8872145263901052,0.09810306666079853,0.014680604382122698
20240301,2,12,5,3679,飯島 昌弘,0.0,0.7860284830517336,0.1819254561875397,0.03204351210926918
20240301,2,12,6,3576,白水 勝也,0.0,0.8161027232619437,0.17041617769005835,0.013478978492889294
20240301,2,3,1,3072,西田 靖,0.9999970563237548,0.0,0.0,0.0
20240301,2,3,2,4552,杉山 勝匡,0.0,0.16120978943104133,0.7802581531346517,0.05852705979847761
20240301,2,3,3,4790,柳内 敬太,0.0,0.22382644538272478,0.668419929628098,0.1077457398623029
20240301,2,3,4,3377,塚田 修二,0.0,0.24535510228918045,0.7042075868184632,0.050431887446521516
20240301,2,3,5,5012,加倉 侑征,0.0,0.17627610152968404,0.7779095980669006,0.045809470464534985
20240301,2,3,6,4709,岡村 将也,0.0,0.23491083379181826,0.7033238770887476,0.06175900719100611
20240301,2,4,1,3505,山田 竜一,0.999997345329185,0.0,0.0,0.0
20240301,2,4,2,4298,宮下 元胤,0.0,0.8166303395343328,0.15239333886186934,0.030974724861825145
20240301,2,4,3,4532,秋元 哲,0.0,0.5376742551445527,0.40195325404451476,0.060367272221420444
20240301,2,4,4,3508,久富 政弘,0.0,0.6422480551789616,0.3393275055999176,0.018422411775855203
20240301,2,4,5,3873,別府 昌樹,0.0,0.5734687592600873,0.3953967365922738,0.031132019429074717
20240301,2,4,6,4952,吉武 真也,0.0,0.5641712142341262,0.3820911852037715,0.053735367809487455
20240301,2,5,1,4230,濱崎 直矢,0.9999980813169497,0.0,0.0,0.0
20240301,2,5,2,4619,伏田 裕隆,0.0,0.5167651999466581,0.43134518566731983,0.05188443261351181
20240301,2,5,3,3569,増田 進,0.0,0.6861330236549606,0.2559414643473535,0.05792025404926104
20240301,2,5,4,4760,山崎 郡,0.0,0.1692854676285196,0.7889282196193489,0.04177661350439858
20240301,2,5,5,4588,田中 京介,0.0,0.5310675758914633,0.4244964200998437,0.044431232984732866
20240301,2,5,6,4899,占部 一真,0.0,0.2994923958137756,0.632755185509852,0.06774659380968924
20240301,2,6,1,3761,山本 光雄,0.9999975137559639,0.0,0.0,0.0
20240301,2,6,2,5124,上瀧 絢也,0.0,0.37887462762053903,0.4481900433369815,0.17293122374840217
20240301,2,6,3,3939,渡辺 真至,0.0,0.45540808589305093,0.44849471475048913,0.096093297516836
20240301,2,6,4,4099,吉永 則雄,0.0,0.378520105779956,0.5207298598580119,0.10074752811827521
20240301,2,6,5,4957,竹之内 極,0.0,0.5080996384037908,0.40743684809301045,0.0844601040294371
20240301,2,6,6,3813,佐藤 大介,0.0,0.4963505780952431,0.3833774456154689,0.12026864607204041
20240301,2,7,1,3679,飯島 昌弘,0.9999974254876146,0.0,0.0,0.0
20240301,2,7,2,3377,塚田 修二,0.0,0.3196148317176324,0.6094417708076697,0.07093974511342126
20240301,2,7,3,3293,宮内 由紀英,0.0,0.20841172838010127,0.7080953791276775,0.08348775786408759
20240301,2,7,4,5008,羽野 諒,0.0,0.1820958196292113,0.7682988746438689,0.0496021646467127
20240301,2,7,5,5259,野田 昇吾,0.0,0.5630220102697192,0.31624779241035084,0.12072578244435246
20240301,2,7,6,3642,大塚 浩二,0.0,0.17114858198817903,0.7937992140835615,0.035049188662232306
20240301,2,8,1,3202,三品 隆浩,0.9999905986894237,0.0,0.0,0.0
20240301,2,8,2,4790,柳内 敬太,0.0,0.4793681925710308,0.4623910100287151,0.05823691502076584
20240301,2,8,3,4439,近藤 友宝,0.0,0.4757244777431921,0.4208042418236865,0.10346587342511866
20240301,2,8,4,3576,白水 勝也,0.0,0.781659460889511,0.1748195290115176,0.04351785697250498
20240301,2,8,5,4555,富永 大一,0.0,0.6690396054911144,0.18471703778896126,0.1462399330508855
20240301,2,8,6,3508,久富 政弘,0.0,0.48299728220554816,0.44123643721424627,0.07576184812079699
20240301,2,9,1,4215,吉島 祥之,0.9999974314258198,0.0,0.0,0.0
