hd,jcd,rno,lane,regno,st_sec,st_is_f,st_is_late,st_penalized,st_observed,tenji_st_sec,tenji_is_f,tenji_f_over_sec,tenji_rank,st_rank,course_avg_st,course_first_rate,course_3rd_rate
20240117,3,10,1,4095,,,,,,0.17,0,,4,,0.14,69.4,89.8
20240117,3,10,2,4370,,,,,,0.04,0,,2,,0.15,32.6,80.4
20240117,3,10,3,4769,,,,,,0.24,0,,5,,0.14,29.2,78.0
20240117,3,10,4,4826,,,,,,0.06,0,,3,,0.15,30.0,55.0
20240117,3,10,5,4652,,,,,,,1,0.01,,,0.16,7.3,31.7
20240117,3,10,6,4872,,,,,,0.03,0,,1,,0.2,0.0,19.5
20240117,3,11,1,4028,,,,,,0.07,0,,3,,0.12,70.5,90.2
20240117,3,11,2,4706,,,,,,0.04,0,,1,,0.18,15.9,59.0
20240117,3,11,3,3874,,,,,,,1,0.02,,,0.13,12.8,69.2
20240117,3,11,4,4688,,,,,,0.07,0,,3,,0.15,14.6,56.1
20240117,3,11,5,4564,,,,,,0.24,0,,4,,0.17,2.0,40.8
20240117,3,11,6,4379,,,,,,0.05,0,,2,,0.18,0.0,29.2
20240117,3,12,1,4296,,,,,,0.24,0,,5,,0.12,76.3,92.7
20240117,3,12,2,3686,,,,,,0.05,0,,1,,0.15,11.6,58.1
20240117,3,12,3,4159,,,,,,0.09,0,,3,,0.17,23.8,76.1
20240117,3,12,4,4388,,,,,,0.09,0,,3,,0.15,16.6,57.4
20240117,3,12,5,4468,,,,,,0.17,0,,4,,0.13,10.8,54.0
20240117,3,12,6,4888,,,,,,0.08,0,,2,,0.15,2.9,38.2
20240117,3,1,1,4438,,,,,,,,,,,0.16,37.5,83.3
20240117,3,1,2,4608,,,,,,,,,,,0.15,22.6,71.7
20240117,3,1,3,4420,,,,,,,,,,,0.14,14.2,67.3
20240117,3,1,4,4652,,,,,,,,,,,0.13,34.6,61.2
20240117,3,1,5,4757,,,,,,,,,,,0.14,27.0,64.8
20240117,3,1,6,5112,,,,,,,,,,,0.19,0.0,21.0
20240117,3,2,1,4718,,,,,,,1,0.02,,,0.16,59.6,76.9
20240117,3,2,2,4430,,,,,,0.08,0,,2,,0.18,20.8,70.8
20240117,3,2,3,4161,,,,,,0.02,0,,1,,0.14,12.7,63.4
20240117,3,2,4,3874,,,,,,0.19,0,,5,,0.15,2.2,68.8
20240117,3,2,5,4296,,,,,,0.15,0,,4,,0.12,7.8,50.0
20240117,3,2,6,4370,,,,,,0.14,0,,3,,0.17,0.0,48.1
20240117,3,3,1,4000,,,,,,0.26,0,,6,,0.14,76.2,91.5
20240117,3,3,2,4704,,,,,,0.13,0,,3,,0.14,18.1,65.9
20240117,3,3,3,4344,,,,,,0.1,0,,2,,0.15,31.5,73.6
20240117,3,3,4,4564,,,,,,0.07,0,,1,,0.16,9.6,51.9
20240117,3,3,5,4769,,,,,,0.19,0,,4,,0.13,12.5,50.0
20240117,3,3,6,4598,,,,,,0.21,0,,5,,0.17,2.7,27.7
20240117,3,4,1,4159,,,,,,0.06,0,,1,,0.14,65.0,90.0
20240117,3,4,2,4297,,,,,,0.12,0,,2,,0.13,21.8,59.3
20240117,3,4,3,4748,,,,,,0.15,0,,3,,0.16,21.9,58.5
20240117,3,4,4,4084,,,,,,,1,0.05,,,0.15,24.4,68.8
20240117,3,4,5,4028,,,,,,,1,0.01,,,0.16,16.6,60.0
20240117,3,4,6,4832,,,,,,,,,,,0.14,14.2,65.7
20240117,3,5,1,4420,,,,,,,1,0.05,,,0.14,60.0,94.0
20240117,3,5,2,4095,,,,,,0.01,0,,1,,0.13,13.6,70.4
20240117,3,5,3,3686,,,,,,0.16,0,,4,,0.16,2.5,65.0
20240117,3,5,4,4581,,,,,,0.14,0,,3,,0.13,17.3,50.0
20240117,3,5,5,4842,,,,,,0.13,0,,2,,0.12,9.7,31.7
20240117,3,5,6,4793,,,,,,0.39,0,,5,,0.15,0.0,40.8
20240117,3,6,1,4778,,,,,,0.25,0,,4,,0.17,45.8,79.1
20240117,3,6,2,5112,,,,,,0.02,0,,1,,0.16,27.2,68.1
20240117,3,6,3,4388,,,,,,0.04,0,,3,,0.15,15.6,68.6
20240117,3,6,4,4872,,,,,,0.38,0,,6,,0.17,11.3,47.7
20240117,3,6,5,4483,,,,,,0.03,0,,2,,0.14,13.1,44.7
20240117,3,6,6,3978,,,,,,0.32,0,,5,,0.16,4.8,39.0
20240117,3,7,1,4757,,,,,,,,,,,0.14,83.0,94.3
20240117,3,7,2,3983,,,,,,,,,,,0.12,28.2,61.5
20240117,3,7,3,4718,,,,,,,,,,,0.14,13.3,60.0
20240117,3,7,4,4704,,,,,,,,,,,0.15,8.3,58.3
20240117,3,7,5,4330,,,,,,,,,,,0.13,8.8,44.1
20240117,3,7,6,4401,,,,,,,,,,,0.16,2.6,26.3
20240117,3,8,1,4608,,,,,,,1,0.04,,,0.15,54.3,85.9
20240117,3,8,2,4161,,,,,,,1,0.03,,,0.17,16.6,69.4
20240117,3,8,3,4000,,,,,,0.05,0,,1,,0.18,17.7,62.2
20240117,3,8,4,3959,,,,,,0.07,0,,2,,0.12,25.0,61.3
20240117,3,8,5,4044,,,,,,,1,0.06,,,0.16,8.3,41.6
20240117,3,8,6,4297,,,,,,,1,0.01,,,0.07,14.2,28.5
20240117,3,9,1,4430,,,,,,0.19,0,,5,,0.16,56.8,81.8
20240117,3,9,2,4581,,,,,,0.24,0,,6,,0.14,16.0,68.0
20240117,3,9,3,4084,,,,,,0.14,0,,4,,0.14,6.1,63.2
20240117,3,9,4,3888,,,,,,0.02,0,,1,,0.15,13.9,62.7
20240117,3,9,5,4344,,,,,,0.08,0,,3,,0.19,11.1,55.5
20240117,3,9,6,4131,,,,,,0.06,0,,2,,0.21,0.0,26.8
20240117,6,10,1,3963,,,,,,0.06,0,,2,,0.16,54.1,89.5
20240117,6,10,2,3712,,,,,,0.09,0,,4,,0.14,16.2,62.1
20240117,6,10,3,3945,,,,,,0.11,0,,5,,0.2,6.6,46.6
20240117,6,10,4,4428,,,,,,0.05,0,,1,,0.1,23.0,69.2
20240117,6,10,5,3853,,,,,,0.07,0,,3,,0.21,2.7,47.2
20240117,6,10,6,4732,,,,,,0.25,0,,6,,0.11,0.0,33.3
20240117,6,11,1,4796,,,,,,0.04,0,,1,,0.13,65.3,82.6
20240117,6,11,2,3414,,,,,,0.05,0,,2,,0.15,12.5,56.2
20240117,6,11,3,4571,,,,,,0.15,0,,4,,0.16,21.4,50.0
