hd,jcd,rno,label_3t,win_lane
20240117,3,1,5-4-2,5
20240117,3,2,4-5-1,4
20240117,3,3,2-5-3,2
20240117,3,4,1-3-5,1
20240117,3,5,3-5-2,3
20240117,3,6,3-5-4,3
20240117,3,7,1-2-5,1
20240117,3,8,4-1-5,4
20240117,3,9,4-5-3,4
20240117,3,10,1-4-2,1
20240117,3,11,2-1-4,2
20240117,3,12,1-3-6,1
20240117,6,1,2-1-3,2
20240117,6,2,1-3-4,1
20240117,6,3,1-6-2,1
20240117,6,4,2-6-3,2
20240117,6,5,1-3-2,1
20240117,6,6,4-5-6,4
20240117,6,7,5-1-2,5
20240117,6,8,6-2-3,6
20240117,6,9,3-6-2,3
20240117,6,10,4-2-6,4
20240117,6,11,3-5-1,3
20240117,6,12,3-1-4,3
20240117,7,1,2-1-4,2
20240117,7,2,1-5-4,1
20240117,7,3,4-2-5,4
20240117,7,4,4-5-2,4
20240117,7,5,1-3-2,1
20240117,7,6,3-1-6,3
20240117,7,7,3-2-4,3
20240117,7,8,1-5-2,1
20240117,7,9,5-1-2,5
20240117,7,10,2-3-5,2
20240117,7,11,1-2-4,1
20240117,7,12,1-4-3,1
20240117,9,1,1-3-5,1
20240117,9,2,6-3-4,6
20240117,9,3,4-1-6,4
20240117,9,4,2-4-1,2
20240117,9,5,1-2-3,1
20240117,9,6,4-1-3,4
20240117,9,7,2-1-6,2
20240117,9,8,1-4-5,1
20240117,9,9,3-2-4,3
20240117,9,10,1-6-3,1
20240117,9,11,1-2-3,1
20240117,9,12,2-1-4,2
20240117,11,1,1-3-4,1
20240117,11,2,3-1-6,3
20240117,11,3,1-4-2,1
20240117,11,4,4-2-6,4
20240117,11,5,1-6-2,1
20240117,11,6,1-2-5,1
20240117,11,7,2-3-4,2
20240117,11,8,1-2-4,1
20240117,11,9,6-5-4,6
20240117,11,10,1-3-2,1
20240117,11,11,1-3-5,1
20240117,11,12,5-6-3,5
20240117,12,1,1-2-6,1
20240117,12,2,1-3-2,1
20240117,12,3,1-2-4,1
20240117,12,4,1-4-5,1
20240117,12,5,3-1-6,3
20240117,12,6,3-5-4,3
20240117,12,7,1-5-2,1
20240117,12,8,1-3-2,1
20240117,12,9,1-4-3,1
20240117,12,10,1-2-5,1
20240117,12,11,1-2-5,1
20240117,12,12,1-2-3,1
20240117,13,1,1-3-4,1
20240117,13,2,1-6-4,1
20240117,13,3,1-2-3,1
20240117,13,4,4-1-6,4
20240117,13,5,1-3-4,1
20240117,13,6,1-4-3,1
20240117,13,7,1-5-3,1
20240117,13,8,1-3-2,1
20240117,13,9,1-3-4,1
20240117,13,10,1-2-3,1
20240117,13,11,1-2-6,1
20240117,13,12,1-2-4,1
20240117,15,1,3-1-2,3
20240117,15,2,1-3-4,1
20240117,15,3,4-2-1,4
20240117,15,4,5-4-6,5
20240117,15,5,3-5-2,3
20240117,15,6,3-4-2,3
20240117,15,7,2-1-5,2
20240117,15,8,1-2-4,1
20240117,15,9,1-2-3,1
20240117,15,10,6-3-2,6
20240117,15,11,1-3-2,1
20240117,15,12,1-2-3,1
20240117,16,1,3-5-4,3
20240117,16,2,1-3-5,1
20240117,16,3,1-2-6,1
20240117,16,4,2-3-4,2
20240117,16,5,5-1-4,5
20240117,16,6,1-2-3,1
20240117,16,7,1-2-6,1
20240117,16,8,1-5-4,1
20240117,16,9,1-6-4,1
20240117,16,10,2-1-6,2
20240117,16,11,2-4-1,2
20240117,16,12,1-5-3,1
20240117,18,1,2-1-3,2
20240117,18,2,1-3-6,1
20240117,18,3,1-2-4,1
20240117,18,4,1-4-2,1
20240117,18,5,1-4-2,1
20240117,18,6,2-1-3,2
20240117,18,7,2-3-4,2
20240117,18,8,1-4-2,1
20240117,18,9,1-3-4,1
20240117,18,10,3-2-4,3
20240117,18,11,1-6-3,1
20240117,18,12,1-3-4,1
20240117,22,1,1-4-6,1
20240117,22,2,6-1-4,6
20240117,22,3,1-2-3,1
20240117,22,4,1-4-2,1
20240117,22,5,1-6-4,1
20240117,22,6,1-2-4,1
20240117,22,7,1-2-3,1
20240117,22,8,3-1-2,3
20240117,22,9,1-4-3,1
20240117,22,10,3-2-1,3
20240117,22,11,1-2-4,1
20240117,22,12,1-6-2,1
20240117,23,1,1-2-4,1
20240117,23,2,2-4-5,2
20240117,23,3,3-1-2,3
20240117,23,4,2-3-4,2
20240117,23,5,2-4-6,2
20240117,23,6,4-6-2,4
20240117,23,7,1-3-2,1
20240117,23,8,1-4-3,1
20240117,23,9,1-5-3,1
20240117,23,10,1-2-5,1
20240117,23,11,1-4-6,1
20240117,23,12,1-2-5,1
