hd,jcd,rno,win_lane,win_racer_id,decision
20240305,01,10,1,3686,逃げ
20240305,01,11,2,4376,差し
20240305,01,12,1,4238,逃げ
20240305,01,1,5,3445,まくり差し
20240305,01,2,2,3790,差し
20240305,01,3,1,3538,逃げ
20240305,01,4,5,3297,まくり差し
20240305,01,5,1,3905,逃げ
20240305,01,6,4,3869,恵まれ
20240305,01,7,3,4238,差し
20240305,01,8,5,4772,まくり差し
20240305,01,9,2,3659,逃げ
20240305,05,10,1,4537,逃げ
20240305,05,11,2,4900,差し
20240305,05,12,,,
20240305,05,1,1,4592,逃げ
20240305,05,2,1,5096,逃げ
20240305,05,3,4,4544,まくり
20240305,05,4,1,4900,逃げ
20240305,05,5,1,4128,逃げ
20240305,05,6,1,3339,逃げ
20240305,05,7,1,3902,逃げ
20240305,05,8,1,3643,逃げ
20240305,05,9,2,4323,差し
20240305,06,10,1,3156,逃げ
20240305,06,11,1,3577,逃げ
20240305,06,12,4,3881,まくり差し
20240305,06,1,3,3430,まくり
20240305,06,2,1,3535,逃げ
20240305,06,3,2,3664,まくり
20240305,06,4,1,3600,逃げ
20240305,06,5,1,3462,逃げ
20240305,06,6,1,3617,逃げ
20240305,06,7,1,3107,逃げ
20240305,06,8,1,3692,逃げ
20240305,06,9,1,3284,逃げ
20240305,07,10,1,4959,逃げ
20240305,07,11,1,5121,逃げ
20240305,07,12,1,4983,逃げ
20240305,07,1,2,5081,差し
20240305,07,2,1,5067,逃げ
20240305,07,3,1,5032,逃げ
20240305,07,4,2,5029,まくり
20240305,07,5,2,4959,まくり
20240305,07,6,2,5075,まくり
20240305,07,7,1,5089,逃げ
20240305,07,8,3,4983,まくり差し
20240305,07,9,3,5051,まくり
20240305,08,10,1,4190,逃げ
20240305,08,11,1,3845,逃げ
20240305,08,12,1,4123,逃げ
20240305,08,1,3,5195,まくり
20240305,08,2,2,5056,まくり
20240305,08,3,2,3999,差し
20240305,08,4,2,4791,差し
20240305,08,5,1,4891,逃げ
20240305,08,6,6,4208,抜き
20240305,08,7,2,4050,差し
20240305,08,8,5,4123,差し
20240305,08,9,1,4964,逃げ
20240305,09,10,2,4888,差し
20240305,09,11,1,3532,逃げ
20240305,09,12,1,4824,逃げ
20240305,09,1,1,4888,逃げ
20240305,09,2,1,4945,逃げ
20240305,09,3,1,3619,逃げ
20240305,09,4,4,5256,まくり差し
20240305,09,5,2,4887,抜き
20240305,09,6,2,4261,差し
20240305,09,7,1,3712,逃げ
20240305,09,8,1,4618,逃げ
20240305,09,9,2,4954,差し
20240305,10,10,1,4151,逃げ
20240305,10,11,5,4702,まくり差し
20240305,10,12,1,4546,逃げ
20240305,10,1,1,4961,逃げ
20240305,10,2,1,4236,逃げ
20240305,10,3,5,5150,まくり差し
20240305,10,4,2,4851,差し
20240305,10,5,5,4546,抜き
20240305,10,6,2,4627,差し
20240305,10,7,2,3900,差し
20240305,10,8,1,4498,逃げ
20240305,10,9,3,5038,まくり差し
20240305,11,10,1,4743,逃げ
20240305,11,11,1,4926,逃げ
20240305,11,12,1,4561,抜き
20240305,11,1,1,4156,逃げ
20240305,11,2,1,4918,抜き
20240305,11,3,2,3158,差し
20240305,11,4,2,4319,まくり差し
20240305,11,5,1,4593,逃げ
20240305,11,6,1,4368,逃げ
20240305,11,7,4,4926,抜き
20240305,11,8,4,4918,差し
20240305,11,9,1,4793,逃げ
20240305,13,10,1,3978,逃げ
20240305,13,11,3,4444,まくり
20240305,13,12,4,3590,まくり差し
20240305,13,1,1,3780,逃げ
20240305,13,2,1,4494,逃げ
20240305,13,3,2,3978,まくり
20240305,13,4,5,4350,まくり差し
20240305,13,5,2,4002,差し
20240305,13,6,3,3874,まくり
20240305,13,7,1,4444,逃げ
20240305,13,8,5,4362,差し
20240305,13,9,3,4305,差し
20240305,15,10,2,4136,まくり
20240305,15,11,2,4594,差し
20240305,15,12,1,3908,逃げ
20240305,15,1,1,4154,逃げ
20240305,15,2,1,4359,逃げ
20240305,15,3,3,4711,まくり差し
20240305,15,4,1,4632,逃げ
20240305,15,5,5,5136,差し
20240305,15,6,6,4692,まくり
20240305,15,7,5,3788,まくり差し
20240305,15,8,1,4503,逃げ
20240305,15,9,1,4163,逃げ
20240305,16,10,1,4989,逃げ
20240305,16,11,2,3933,差し
20240305,16,12,1,4762,逃げ
20240305,16,1,1,4089,逃げ
20240305,16,2,6,4496,まくり
20240305,16,3,2,4906,まくり差し
20240305,16,4,4,3995,まくり
20240305,16,5,1,4014,抜き
20240305,16,6,1,4643,逃げ
20240305,16,7,1,4460,逃げ
20240305,16,8,3,4762,まくり差し
20240305,16,9,5,5261,まくり
20240305,20,10,1,4183,逃げ
20240305,20,11,1,3912,逃げ
20240305,20,12,1,4505,逃げ
20240305,20,1,4,4332,差し
20240305,20,2,1,5188,逃げ
20240305,20,3,3,4875,差し
20240305,20,4,6,3188,差し
20240305,20,5,1,3997,逃げ
20240305,20,6,2,5048,差し
20240305,20,7,1,4028,逃げ
20240305,20,8,1,3105,逃げ
20240305,20,9,3,4365,差し
20240305,21,10,1,4977,抜き
20240305,21,11,4,4387,まくり
20240305,21,12,1,4433,逃げ
20240305,21,1,6,4106,差し
20240305,21,2,4,4980,まくり差し
20240305,21,3,1,4583,逃げ
20240305,21,4,1,4184,逃げ
20240305,21,5,1,4387,逃げ
20240305,21,6,1,4880,逃げ
20240305,21,7,1,4315,逃げ
20240305,21,8,2,4092,差し
20240305,21,9,4,4892,まくり差し
20240305,22,10,3,4666,まくり
20240305,22,11,1,4434,逃げ
20240305,22,12,1,3876,逃げ
20240305,22,1,1,3915,逃げ
20240305,22,2,4,4000,差し
20240305,22,3,3,4543,まくり
20240305,22,4,1,5138,逃げ
20240305,22,5,4,4458,まくり差し
20240305,22,6,5,4652,まくり
20240305,22,7,2,4027,差し
20240305,22,8,1,4661,逃げ
20240305,22,9,1,4562,逃げ
20240305,24,10,1,3070,逃げ
20240305,24,11,1,4096,逃げ
20240305,24,12,1,3702,逃げ
20240305,24,1,1,3964,逃げ
20240305,24,2,1,3282,逃げ
20240305,24,3,2,5152,差し
20240305,24,4,1,3564,逃げ
20240305,24,5,1,4811,逃げ
20240305,24,6,1,4403,逃げ
20240305,24,7,3,4051,抜き
20240305,24,8,6,4650,まくり
20240305,24,9,3,3853,差し
