hd,jcd,rno,label_3t,win_lane
20240130,1,1,5-1-4,5
20240130,1,2,3-5-4,3
20240130,1,3,2-3-4,2
20240130,1,4,1-2-3,1
20240130,1,5,1-3-5,1
20240130,1,6,1-5-4,1
20240130,1,7,1-4-3,1
20240130,1,8,1-2-3,1
20240130,1,9,2-1-6,2
20240130,1,10,1-5-6,1
20240130,1,11,3-1-2,3
20240130,1,12,3-2-6,3
20240130,3,1,6-1-2,6
20240130,3,2,2-1-5,2
20240130,3,3,1-2-3,1
20240130,3,4,1-2-5,1
20240130,3,5,1-2-3,1
20240130,3,6,1-2-3,1
20240130,3,7,3-2-5,3
20240130,3,8,2-1-3,2
20240130,3,9,6-1-2,6
20240130,3,10,1-3-2,1
20240130,3,11,1-5-2,1
20240130,3,12,1-3-5,1
20240130,5,1,2-4-1,2
20240130,5,2,1-2-3,1
20240130,5,3,1-6-5,1
20240130,5,4,1-6-4,1
20240130,5,5,1-2-3,1
20240130,5,6,1-5-2,1
20240130,5,7,1-5-4,1
20240130,5,8,1-2-5,1
20240130,5,9,1-6-4,1
20240130,5,10,1-6-2,1
20240130,5,11,1-3-6,1
20240130,5,12,4-5-2,4
20240130,6,1,2-1-3,2
20240130,6,2,1-3-4,1
20240130,6,3,1-3-6,1
20240130,6,4,1-2-6,1
20240130,6,5,1-5-2,1
20240130,6,6,3-1-5,3
20240130,6,7,1-5-3,1
20240130,6,8,2-3-5,2
20240130,6,9,1-3-4,1
20240130,6,10,3-1-2,3
20240130,6,11,1-5-4,1
20240130,6,12,1-3-5,1
20240130,9,1,1-5-6,1
20240130,9,2,2-4-5,2
20240130,9,3,1-3-4,1
20240130,9,4,4-1-3,4
20240130,9,5,5-2-6,5
20240130,9,6,2-1-4,2
20240130,9,7,1-6-4,1
20240130,9,8,5-2-1,5
20240130,9,9,1-4-2,1
20240130,9,10,1-3-2,1
20240130,9,11,1-4-3,1
20240130,9,12,1-2-4,1
20240130,10,1,1-2-3,1
20240130,10,2,3-1-4,3
20240130,10,3,1-2-3,1
20240130,10,4,1-6-3,1
20240130,10,5,1-4-2,1
20240130,10,6,1-3-4,1
20240130,10,7,3-4-5,3
20240130,10,8,3-4-5,3
20240130,10,9,1-5-3,1
20240130,10,10,1-4-6,1
20240130,10,11,2-4-1,2
20240130,10,12,4-3-1,4
20240130,11,1,1-3-2,1
20240130,11,2,4-5-6,4
20240130,11,3,1-3-2,1
20240130,11,4,1-2-6,1
20240130,11,5,1-3-4,1
20240130,11,6,1-3-4,1
20240130,11,7,1-2-6,1
20240130,11,8,1-4-5,1
20240130,11,9,1-6-3,1
20240130,11,10,1-4-3,1
20240130,11,11,1-3-6,1
20240130,11,12,1-5-2,1
20240130,12,1,1-4-3,1
20240130,12,2,1-5-6,1
20240130,12,3,1-4-2,1
20240130,12,4,1-6-5,1
20240130,12,5,1-2-6,1
20240130,12,6,5-4-1,5
20240130,12,7,1-3-2,1
20240130,12,8,1-4-2,1
20240130,12,9,4-2-5,4
20240130,12,10,2-4-6,2
20240130,12,11,1-2-3,1
20240130,12,12,1-4-2,1
20240130,13,1,3-1-5,3
20240130,13,2,4-1-5,4
20240130,13,3,6-3-1,6
20240130,13,4,1-2-4,1
20240130,13,5,1-6-2,1
20240130,13,6,4-1-6,4
20240130,13,7,1-2-4,1
20240130,13,8,3-4-5,3
20240130,13,9,3-6-4,3
20240130,13,10,1-6-4,1
20240130,13,11,4-1-5,4
20240130,13,12,1-4-6,1
20240130,14,1,2-1-5,2
20240130,14,2,1-6-5,1
20240130,14,3,4-1-6,4
20240130,14,4,3-1-6,3
20240130,14,5,1-6-3,1
20240130,14,6,2-5-4,2
20240130,14,7,2-1-4,2
20240130,14,8,1-2-5,1
20240130,14,9,1-2-6,1
20240130,14,10,1-5-4,1
20240130,14,11,1-4-3,1
20240130,14,12,1-2-5,1
20240130,19,1,2-5-4,2
20240130,19,2,3-5-6,3
20240130,19,3,3-6-2,3
20240130,19,4,1-5-4,1
20240130,19,5,1-5-4,1
20240130,19,6,1-3-4,1
20240130,19,7,1-2-3,1
20240130,19,8,1-2-4,1
20240130,19,9,3-1-4,3
20240130,19,10,1-3-5,1
20240130,19,11,1-3-4,1
20240130,19,12,1-4-6,1
20240130,20,1,1-5-3,1
20240130,20,2,1-3-6,1
20240130,20,3,3-2-6,3
20240130,20,4,1-3-6,1
20240130,20,5,1-3-4,1
20240130,20,6,4-2-6,4
20240130,20,7,1-3-6,1
20240130,20,8,1-3-4,1
20240130,20,9,1-3-2,1
20240130,20,10,1-5-6,1
20240130,20,11,1-4-3,1
20240130,20,12,2-1-5,2
