hd,jcd,rno,title,decision,weather_sky,wind_dir,wind_speed_m,wave_height_cm,label_3t
20240208,1,1,第17回マンスリーBOATRACE杯,まくり,晴,4,5.0,5.0,3-4-2
20240208,1,2,第17回マンスリーBOATRACE杯,まくり,晴,4,5.0,5.0,3-6-2
20240208,1,3,第17回マンスリーBOATRACE杯,まくり差し,晴,4,6.0,5.0,5-6-3
20240208,1,4,第17回マンスリーBOATRACE杯,逃げ,晴,4,7.0,6.0,1-3-6
20240208,1,5,第17回マンスリーBOATRACE杯,まくり,晴,4,6.0,5.0,2-3-4
20240208,1,6,第17回マンスリーBOATRACE杯,逃げ,晴,4,7.0,6.0,1-3-5
20240208,1,7,第17回マンスリーBOATRACE杯,まくり,晴,4,6.0,5.0,3-1-2
20240208,1,8,第17回マンスリーBOATRACE杯,逃げ,晴,2,6.0,4.0,1-4-5
20240208,1,9,第17回マンスリーBOATRACE杯,逃げ,晴,2,6.0,4.0,1-3-4
20240208,1,10,第17回マンスリーBOATRACE杯,差し,晴,2,6.0,4.0,2-5-1
20240208,1,11,第17回マンスリーBOATRACE杯,まくり,晴,4,4.0,3.0,4-1-5
20240208,1,12,第17回マンスリーBOATRACE杯,逃げ,晴,4,3.0,2.0,1-2-3
20240208,2,1,ヴィーナスシリーズ第19戦・第57回日刊スポーツ杯,まくり,晴,6,2.0,1.0,3-5-2
20240208,2,2,ヴィーナスシリーズ第19戦・第57回日刊スポーツ杯,まくり差し,晴,6,2.0,1.0,4-1-5
20240208,2,3,ヴィーナスシリーズ第19戦・第57回日刊スポーツ杯,差し,晴,6,1.0,1.0,4-1-5
20240208,2,4,ヴィーナスシリーズ第19戦・第57回日刊スポーツ杯,差し,晴,8,1.0,1.0,3-5-1
20240208,2,5,ヴィーナスシリーズ第19戦・第57回日刊スポーツ杯,まくり差し,晴,6,2.0,1.0,4-1-5
20240208,2,6,ヴィーナスシリーズ第19戦・第57回日刊スポーツ杯,逃げ,晴,8,2.0,1.0,1-4-2
20240208,2,7,ヴィーナスシリーズ第19戦・第57回日刊スポーツ杯,逃げ,晴,17,0.0,0.0,1-2-6
20240208,2,8,ヴィーナスシリーズ第19戦・第57回日刊スポーツ杯,抜き,晴,8,2.0,1.0,3-1-5
20240208,2,9,ヴィーナスシリーズ第19戦・第57回日刊スポーツ杯,まくり,晴,8,1.0,1.0,2-1-3
20240208,2,10,ヴィーナスシリーズ第19戦・第57回日刊スポーツ杯,差し,晴,8,1.0,1.0,2-1-4
20240208,2,11,ヴィーナスシリーズ第19戦・第57回日刊スポーツ杯,逃げ,晴,17,0.0,0.0,1-2-5
20240208,2,12,ヴィーナスシリーズ第19戦・第57回日刊スポーツ杯,逃げ,晴,10,1.0,1.0,1-2-3
20240208,4,1,第69回関東地区選手権,差し,晴,13,4.0,3.0,4-5-3
20240208,4,2,第69回関東地区選手権,抜き,晴,13,3.0,3.0,1-2-3
20240208,4,3,第69回関東地区選手権,逃げ,晴,13,3.0,3.0,1-6-2
20240208,4,4,第69回関東地区選手権,逃げ,晴,13,2.0,3.0,1-6-4
20240208,4,5,第69回関東地区選手権,逃げ,晴,13,1.0,3.0,1-3-4
20240208,4,6,第69回関東地区選手権,逃げ,晴,15,1.0,3.0,1-4-3
20240208,4,7,第69回関東地区選手権,逃げ,晴,15,2.0,3.0,1-2-6
20240208,4,8,第69回関東地区選手権,逃げ,晴,13,2.0,3.0,1-2-3
20240208,4,9,第69回関東地区選手権,逃げ,晴,13,2.0,3.0,1-3-5
20240208,4,10,第69回関東地区選手権,逃げ,晴,13,2.0,3.0,1-4-2
20240208,4,11,第69回関東地区選手権,逃げ,晴,13,3.0,3.0,1-4-2
20240208,4,12,第69回関東地区選手権,まくり差し,晴,17,0.0,2.0,5-2-1
20240208,6,1,オールB級東海地区選手権 公営レーシングプレス杯,まくり差し,晴,3,4.0,2.0,3-1-2
20240208,6,2,オールB級東海地区選手権 公営レーシングプレス杯,逃げ,晴,3,4.0,2.0,1-3-2
20240208,6,3,オールB級東海地区選手権 公営レーシングプレス杯,抜き,晴,3,3.0,2.0,2-1-3
20240208,6,4,オールB級東海地区選手権 公営レーシングプレス杯,逃げ,晴,3,4.0,2.0,1-3-2
20240208,6,5,オールB級東海地区選手権 公営レーシングプレス杯,逃げ,晴,3,5.0,3.0,1-5-6
20240208,6,6,オールB級東海地区選手権 公営レーシングプレス杯,差し,晴,3,4.0,2.0,4-1-2
20240208,6,7,オールB級東海地区選手権 公営レーシングプレス杯,差し,晴,3,3.0,2.0,2-3-4
20240208,6,8,オールB級東海地区選手権 公営レーシングプレス杯,まくり差し,晴,3,4.0,2.0,5-2-3
20240208,6,9,オールB級東海地区選手権 公営レーシングプレス杯,逃げ,晴,1,2.0,1.0,1-5-2
20240208,6,10,オールB級東海地区選手権 公営レーシングプレス杯,差し,晴,1,2.0,1.0,3-4-1
20240208,6,11,オールB級東海地区選手権 公営レーシングプレス杯,逃げ,晴,1,2.0,1.0,1-4-6
20240208,6,12,オールB級東海地区選手権 公営レーシングプレス杯,逃げ,曇り,1,2.0,1.0,1-4-2
20240208,7,1,第69回東海地区選手権競走,逃げ,晴,15,4.0,2.0,1-2-6
20240208,7,2,第69回東海地区選手権競走,まくり差し,晴,1,4.0,2.0,4-2-6
20240208,7,3,第69回東海地区選手権競走,まくり差し,晴,1,4.0,2.0,3-1-5
20240208,7,4,第69回東海地区選手権競走,まくり差し,晴,1,4.0,2.0,3-1-4
20240208,7,5,第69回東海地区選手権競走,まくり,晴,1,4.0,2.0,6-2-3
