hd,jcd,rno,combo,is_hit,p1_lane,p1_grade,p1_national_win,p1_motor_rate2,p1_tenji_st,p1_tenji_rank,p1_st_rank,p1_course_first_rate,p2_lane,p2_grade,p2_national_win,p2_motor_rate2,p2_tenji_st,p2_tenji_rank,p2_st_rank,p3_lane,p3_grade,p3_motor_rate2,p3_tenji_st,p3_tenji_rank,p3_st_rank,diff_p1p2_st,sum_p1p2_motor,outer_push,in_cover,wind_speed_m,wave_height_cm,is_strong_wind,is_crosswind
20240107,01,10,1-2-3,0,1,B1,4.33,0.0,0.18,1.0,5.0,50.0,2,A1,6.73,16.67,0.07,3.0,3.0,3,B1,33.33,0.07,4.0,3.0,0.10999999999999999,16.67,0,0,2.0,1.0,0,0
20240107,01,10,1-2-4,0,1,B1,4.33,0.0,0.18,1.0,5.0,50.0,2,A1,6.73,16.67,0.07,3.0,3.0,4,A2,0.0,0.06,2.0,2.0,0.10999999999999999,16.67,0,0,2.0,1.0,0,0
20240107,01,10,1-2-5,0,1,B1,4.33,0.0,0.18,1.0,5.0,50.0,2,A1,6.73,16.67,0.07,3.0,3.0,5,B1,28.57,0.13,1.0,4.0,0.10999999999999999,16.67,0,0,2.0,1.0,0,0
20240107,01,10,1-2-6,0,1,B1,4.33,0.0,0.18,1.0,5.0,50.0,2,A1,6.73,16.67,0.07,3.0,3.0,6,A2,0.0,0.02,2.0,1.0,0.10999999999999999,16.67,0,0,2.0,1.0,0,0
20240107,01,10,1-3-2,0,1,B1,4.33,0.0,0.18,1.0,5.0,50.0,3,B1,5.17,33.33,0.07,4.0,3.0,2,A1,16.67,0.07,3.0,3.0,0.10999999999999999,33.33,0,0,2.0,1.0,0,0
20240107,01,10,1-3-4,0,1,B1,4.33,0.0,0.18,1.0,5.0,50.0,3,B1,5.17,33.33,0.07,4.0,3.0,4,A2,0.0,0.06,2.0,2.0,0.10999999999999999,33.33,0,0,2.0,1.0,0,0
20240107,01,10,1-3-5,0,1,B1,4.33,0.0,0.18,1.0,5.0,50.0,3,B1,5.17,33.33,0.07,4.0,3.0,5,B1,28.57,0.13,1.0,4.0,0.10999999999999999,33.33,0,0,2.0,1.0,0,0
20240107,01,10,1-3-6,0,1,B1,4.33,0.0,0.18,1.0,5.0,50.0,3,B1,5.17,33.33,0.07,4.0,3.0,6,A2,0.0,0.02,2.0,1.0,0.10999999999999999,33.33,0,0,2.0,1.0,0,0
20240107,01,10,1-4-2,0,1,B1,4.33,0.0,0.18,1.0,5.0,50.0,4,A2,5.4,0.0,0.06,2.0,2.0,2,A1,16.67,0.07,3.0,3.0,0.12,0.0,0,0,2.0,1.0,0,0
20240107,01,10,1-4-3,0,1,B1,4.33,0.0,0.18,1.0,5.0,50.0,4,A2,5.4,0.0,0.06,2.0,2.0,3,B1,33.33,0.07,4.0,3.0,0.12,0.0,0,0,2.0,1.0,0,0
20240107,01,10,1-4-5,0,1,B1,4.33,0.0,0.18,1.0,5.0,50.0,4,A2,5.4,0.0,0.06,2.0,2.0,5,B1,28.57,0.13,1.0,4.0,0.12,0.0,0,0,2.0,1.0,0,0
20240107,01,10,1-4-6,0,1,B1,4.33,0.0,0.18,1.0,5.0,50.0,4,A2,5.4,0.0,0.06,2.0,2.0,6,A2,0.0,0.02,2.0,1.0,0.12,0.0,0,0,2.0,1.0,0,0
20240107,01,10,1-5-2,0,1,B1,4.33,0.0,0.18,1.0,5.0,50.0,5,B1,5.22,28.57,0.13,1.0,4.0,2,A1,16.67,0.07,3.0,3.0,0.04999999999999999,28.57,0,0,2.0,1.0,0,0
20240107,01,10,1-5-3,0,1,B1,4.33,0.0,0.18,1.0,5.0,50.0,5,B1,5.22,28.57,0.13,1.0,4.0,3,B1,33.33,0.07,4.0,3.0,0.04999999999999999,28.57,0,0,2.0,1.0,0,0
20240107,01,10,1-5-4,0,1,B1,4.33,0.0,0.18,1.0,5.0,50.0,5,B1,5.22,28.57,0.13,1.0,4.0,4,A2,0.0,0.06,2.0,2.0,0.04999999999999999,28.57,0,0,2.0,1.0,0,0
20240107,01,10,1-5-6,0,1,B1,4.33,0.0,0.18,1.0,5.0,50.0,5,B1,5.22,28.57,0.13,1.0,4.0,6,A2,0.0,0.02,2.0,1.0,0.04999999999999999,28.57,0,0,2.0,1.0,0,0
20240107,01,10,1-6-2,0,1,B1,4.33,0.0,0.18,1.0,5.0,50.0,6,A2,6.07,0.0,0.02,2.0,1.0,2,A1,16.67,0.07,3.0,3.0,0.16,0.0,0,0,2.0,1.0,0,0
20240107,01,10,1-6-3,0,1,B1,4.33,0.0,0.18,1.0,5.0,50.0,6,A2,6.07,0.0,0.02,2.0,1.0,3,B1,33.33,0.07,4.0,3.0,0.16,0.0,0,0,2.0,1.0,0,0
20240107,01,10,1-6-4,0,1,B1,4.33,0.0,0.18,1.0,5.0,50.0,6,A2,6.07,0.0,0.02,2.0,1.0,4,A2,0.0,0.06,2.0,2.0,0.16,0.0,0,0,2.0,1.0,0,0
20240107,01,10,1-6-5,0,1,B1,4.33,0.0,0.18,1.0,5.0,50.0,6,A2,6.07,0.0,0.02,2.0,1.0,5,B1,28.57,0.13,1.0,4.0,0.16,0.0,0,0,2.0,1.0,0,0
20240107,01,10,2-1-3,0,2,A1,6.73,16.67,0.07,3.0,3.0,16.2,1,B1,4.33,0.0,0.18,1.0,5.0,3,B1,33.33,0.07,4.0,3.0,-0.10999999999999999,16.67,0,1,2.0,1.0,0,0
20240107,01,10,2-1-4,0,2,A1,6.73,16.67,0.07,3.0,3.0,16.2,1,B1,4.33,0.0,0.18,1.0,5.0,4,A2,0.0,0.06,2.0,2.0,-0.10999999999999999,16.67,0,1,2.0,1.0,0,0
20240107,01,10,2-1-5,0,2,A1,6.73,16.67,0.07,3.0,3.0,16.2,1,B1,4.33,0.0,0.18,1.0,5.0,5,B1,28.57,0.13,1.0,4.0,-0.10999999999999999,16.67,0,1,2.0,1.0,0,0
20240107,01,10,2-1-6,0,2,A1,6.73,16.67,0.07,3.0,3.0,16.2,1,B1,4.33,0.0,0.18,1.0,5.0,6,A2,0.0,0.02,2.0,1.0,-0.10999999999999999,16.67,0,1,2.0,1.0,0,0
20240107,01,10,2-3-1,0,2,A1,6.73,16.67,0.07,3.0,3.0,16.2,3,B1,5.17,33.33,0.07,4.0,3.0,1,B1,0.0,0.18,1.0,5.0,0.0,50.0,0,0,2.0,1.0,0,0
20240107,01,10,2-3-4,0,2,A1,6.73,16.67,0.07,3.0,3.0,16.2,3,B1,5.17,33.33,0.07,4.0,3.0,4,A2,0.0,0.06,2.0,2.0,0.0,50.0,0,0,2.0,1.0,0,0
20240107,01,10,2-3-5,0,2,A1,6.73,16.67,0.07,3.0,3.0,16.2,3,B1,5.17,33.33,0.07,4.0,3.0,5,B1,28.57,0.13,1.0,4.0,0.0,50.0,0,0,2.0,1.0,0,0
20240107,01,10,2-3-6,0,2,A1,6.73,16.67,0.07,3.0,3.0,16.2,3,B1,5.17,33.33,0.07,4.0,3.0,6,A2,0.0,0.02,2.0,1.0,0.0,50.0,0,0,2.0,1.0,0,0
20240107,01,10,2-4-1,0,2,A1,6.73,16.67,0.07,3.0,3.0,16.2,4,A2,5.4,0.0,0.06,2.0,2.0,1,B1,0.0,0.18,1.0,5.0,0.010000000000000009,16.67,0,0,2.0,1.0,0,0
20240107,01,10,2-4-3,0,2,A1,6.73,16.67,0.07,3.0,3.0,16.2,4,A2,5.4,0.0,0.06,2.0,2.0,3,B1,33.33,0.07,4.0,3.0,0.010000000000000009,16.67,0,0,2.0,1.0,0,0
20240107,01,10,2-4-5,0,2,A1,6.73,16.67,0.07,3.0,3.0,16.2,4,A2,5.4,0.0,0.06,2.0,2.0,5,B1,28.57,0.13,1.0,4.0,0.010000000000000009,16.67,0,0,2.0,1.0,0,0
20240107,01,10,2-4-6,0,2,A1,6.73,16.67,0.07,3.0,3.0,16.2,4,A2,5.4,0.0,0.06,2.0,2.0,6,A2,0.0,0.02,2.0,1.0,0.010000000000000009,16.67,0,0,2.0,1.0,0,0
20240107,01,10,2-5-1,0,2,A1,6.73,16.67,0.07,3.0,3.0,16.2,5,B1,5.22,28.57,0.13,1.0,4.0,1,B1,0.0,0.18,1.0,5.0,-0.06,45.24,0,0,2.0,1.0,0,0
20240107,01,10,2-5-3,0,2,A1,6.73,16.67,0.07,3.0,3.0,16.2,5,B1,5.22,28.57,0.13,1.0,4.0,3,B1,33.33,0.07,4.0,3.0,-0.06,45.24,0,0,2.0,1.0,0,0
20240107,01,10,2-5-4,0,2,A1,6.73,16.67,0.07,3.0,3.0,16.2,5,B1,5.22,28.57,0.13,1.0,4.0,4,A2,0.0,0.06,2.0,2.0,-0.06,45.24,0,0,2.0,1.0,0,0
20240107,01,10,2-5-6,0,2,A1,6.73,16.67,0.07,3.0,3.0,16.2,5,B1,5.22,28.57,0.13,1.0,4.0,6,A2,0.0,0.02,2.0,1.0,-0.06,45.24,0,0,2.0,1.0,0,0
20240107,01,10,2-6-1,0,2,A1,6.73,16.67,0.07,3.0,3.0,16.2,6,A2,6.07,0.0,0.02,2.0,1.0,1,B1,0.0,0.18,1.0,5.0,0.05,16.67,0,0,2.0,1.0,0,0
20240107,01,10,2-6-3,0,2,A1,6.73,16.67,0.07,3.0,3.0,16.2,6,A2,6.07,0.0,0.02,2.0,1.0,3,B1,33.33,0.07,4.0,3.0,0.05,16.67,0,0,2.0,1.0,0,0
