hd,jcd,rno,label_3t,win_lane
20240313,4,1,2-1-6,2
20240313,4,2,1-6-5,1
20240313,4,3,1-5-2,1
20240313,4,4,1-3-4,1
20240313,4,5,1-4-2,1
20240313,4,6,1-4-2,1
20240313,4,7,2-3-6,2
20240313,4,8,1-4-2,1
20240313,4,9,2-5-6,2
20240313,4,10,6-5-4,6
20240313,4,11,1-2-3,1
20240313,4,12,1-2-4,1
20240313,6,1,1-5-2,1
20240313,6,2,1-3-4,1
20240313,6,3,3-1-5,3
20240313,6,4,1-2-5,1
20240313,6,5,2-6-4,2
20240313,6,6,1-2-4,1
20240313,6,7,2-3-1,2
20240313,6,8,1-2-4,1
20240313,6,9,1-2-4,1
20240313,6,10,1-6-3,1
20240313,6,11,1-3-5,1
20240313,6,12,3-4-1,3
20240313,7,1,4-2-5,4
20240313,7,2,1-4-2,1
20240313,7,3,3-4-2,3
20240313,7,4,3-4-2,3
20240313,7,5,3-6-5,3
20240313,7,6,1-2-6,1
20240313,7,7,1-3-4,1
20240313,7,8,5-1-4,5
20240313,7,9,5-1-3,5
20240313,7,10,1-3-4,1
20240313,7,11,1-4-5,1
20240313,7,12,3-5-2,3
20240313,9,1,1-4-2,1
20240313,9,2,1-3-6,1
20240313,9,3,2-1-3,2
20240313,9,4,2-4-1,2
20240313,9,5,1-4-2,1
20240313,9,6,1-2-5,1
20240313,9,7,4-5-6,4
20240313,9,8,1-4-2,1
20240313,9,9,3-2-4,3
20240313,9,10,1-3-6,1
20240313,9,11,1-2-4,1
20240313,9,12,1-4-5,1
20240313,10,1,1-5-4,1
20240313,10,2,1-4-5,1
20240313,10,3,2-1-3,2
20240313,10,4,1-3-5,1
20240313,10,5,1-3-5,1
20240313,10,6,1-2-3,1
20240313,10,7,1-2-5,1
20240313,10,8,2-3-5,2
20240313,10,9,1-2-6,1
20240313,10,10,1-4-2,1
20240313,10,11,3-1-2,3
20240313,10,12,4-2-5,4
20240313,13,1,2-1-6,2
20240313,13,2,1-3-5,1
20240313,13,3,1-3-6,1
20240313,13,4,1-2-4,1
20240313,13,5,1-5-3,1
20240313,13,6,4-1-6,4
20240313,13,7,1-3-2,1
20240313,13,8,1-2-3,1
20240313,13,9,1-4-3,1
20240313,13,10,1-4-3,1
20240313,13,11,2-3-1,2
20240313,13,12,1-3-5,1
20240313,15,1,1-2-3,1
20240313,15,2,6-4-3,6
20240313,15,3,6-1-4,6
20240313,15,4,2-3-5,2
20240313,15,5,1-6-3,1
20240313,15,6,4-5-1,4
20240313,15,7,2-1-4,2
20240313,15,8,1-3-4,1
20240313,15,9,1-2-3,1
20240313,15,10,1-5-3,1
20240313,15,11,1-5-3,1
20240313,15,12,1-3-2,1
20240313,16,1,2-1-4,2
20240313,16,2,4-2-6,4
20240313,16,3,3-5-2,3
20240313,16,4,4-6-2,4
20240313,16,5,1-3-2,1
20240313,16,6,3-1-2,3
20240313,16,7,1-4-3,1
20240313,16,8,5-4-6,5
20240313,16,9,6-1-2,6
20240313,16,10,3-4-1,3
20240313,16,11,5-1-3,5
20240313,16,12,1-5-3,1
20240313,17,1,4-5-1,4
20240313,17,2,1-6-3,1
20240313,17,3,6-2-1,6
20240313,17,4,1-2-4,1
20240313,17,5,1-2-6,1
20240313,17,6,2-6-5,2
20240313,17,7,5-4-2,5
20240313,17,8,2-3-4,2
20240313,17,9,1-3-2,1
20240313,17,10,2-5-3,2
20240313,17,11,1-2-4,1
20240313,17,12,1-2-5,1
20240313,19,1,2-1-3,2
20240313,19,2,4-1-6,4
20240313,19,3,1-2-5,1
20240313,19,4,1-3-2,1
20240313,19,5,1-2-5,1
20240313,19,6,4-2-1,4
20240313,19,7,1-2-3,1
20240313,19,8,3-5-4,3
20240313,19,9,1-2-6,1
20240313,19,10,1-2-4,1
20240313,19,11,2-1-6,2
20240313,19,12,3-1-5,3
20240313,20,1,2-3-1,2
20240313,20,2,4-3-1,4
20240313,20,3,1-3-4,1
20240313,20,4,4-1-5,4
20240313,20,5,1-3-6,1
20240313,20,6,1-5-6,1
20240313,20,7,3-5-2,3
20240313,20,8,3-1-2,3
20240313,20,9,1-2-4,1
20240313,20,10,2-1-3,2
20240313,20,11,2-1-5,2
20240313,20,12,1-4-6,1
20240313,21,1,1-5-4,1
20240313,21,2,1-4-3,1
20240313,21,3,1-3-4,1
20240313,21,4,4-1-3,4
20240313,21,5,2-3-4,2
20240313,21,6,5-1-6,5
20240313,21,7,6-1-5,6
20240313,21,8,3-6-1,3
20240313,21,9,1-3-6,1
20240313,21,10,1-5-3,1
20240313,21,11,1-2-3,1
20240313,21,12,1-5-2,1
20240313,22,1,1-4-5,1
20240313,22,2,3-2-1,3
20240313,22,3,3-1-4,3
20240313,22,4,4-6-1,4
20240313,22,5,1-2-4,1
20240313,22,6,3-4-2,3
20240313,22,7,2-1-3,2
20240313,22,8,1-2-4,1
20240313,22,9,2-1-3,2
20240313,22,10,1-5-3,1
20240313,22,11,1-2-4,1
20240313,22,12,1-3-4,1
