hd,jcd,rno,lane,racer_id,racer_name,decision4,course_first_rate,course_3rd_rate,course_avg_st,tenji_st,tenji_sec,tenji_rank,st_rank,motor_rate2,motor_rate3,boat_rate2,boat_rate3,wind_speed_m,wave_height_cm,kimarite_makuri,kimarite_sashi,kimarite_makuri_sashi,kimarite_nuki,power_lane,power_inner,power_outer,outer_over_inner,dash_attack_flag,is_strong_wind,is_crosswind
20240112,2,10,1,4889,後藤 盛也,SASHI,48.1,66.6,0.15,0.16,6.77,1,2,42.86,58.82,31.73,46.15,0.0,0.0,0.0,0.0,0.0,1.0,16.572,16.22666666666667,143165588.31766668,143165572.09100002,0,0,0
20240112,2,10,2,3996,秋山 直之,SASHI,20.5,85.2,0.18,0.25,6.77,1,5,36.7,53.21,42.68,59.76,0.0,0.0,0.0,7.0,0.0,0.0,15.318,16.22666666666667,143165588.31766668,143165572.09100002,0,0,0
20240112,2,10,3,4240,今井 裕梨,SASHI,29.4,58.8,0.13,0.18,6.77,1,3,44.34,63.21,33.94,48.62,0.0,0.0,6.0,0.0,3.0,0.0,16.790000000000003,16.22666666666667,143165588.31766668,143165572.09100002,0,0,0
20240112,2,10,4,4175,川尻 泰輔,SASHI,11.3,50.0,0.15,0.23,6.83,3,4,27.1,47.66,24.51,44.12,0.0,0.0,2.0,1.0,2.0,0.0,11.110000000000001,16.22666666666667,143165588.31766668,143165572.09100002,0,0,0
20240112,2,10,5,3981,今坂 晃広,SASHI,3.1,31.2,0.15,0.13,6.79,2,1,50.44,64.6,23.23,42.42,0.0,0.0,1.0,0.0,0.0,0.0,18.207999999999995,16.22666666666667,143165588.31766668,143165572.09100002,0,0,0
20240112,2,10,6,4397,西村 拓也,SASHI,0.0,31.2,0.15,0.38,6.87,4,6,7.35,22.06,26.53,37.76,0.0,0.0,0.0,0.0,0.0,0.0,429496735.635,16.22666666666667,143165588.31766668,143165572.09100002,0,0,0
20240112,2,11,1,4526,池田 雄祐,MAKURI_SASHI,65.4,94.5,0.13,0.11,6.73,2,3,33.98,46.6,28.24,41.18,0.0,0.0,0.0,0.0,0.0,4.0,14.113999999999997,11.004333333333333,12.454666666666666,1.450333333333333,0,0,0
20240112,2,11,2,4794,和田 拓也,MAKURI_SASHI,20.0,83.3,0.14,0.13,6.71,1,4,16.67,33.33,32.63,47.37,0.0,0.0,3.0,2.0,0.0,1.0,8.857,11.004333333333333,12.454666666666666,1.450333333333333,0,0,0
20240112,2,11,3,4391,松田 祐季,MAKURI_SASHI,25.9,62.9,0.13,0.09,6.8,4,1,19.54,37.93,36.7,57.8,0.0,0.0,4.0,2.0,7.0,1.0,10.042,11.004333333333333,12.454666666666666,1.450333333333333,0,0,0
20240112,2,11,4,4912,中山 将太,MAKURI_SASHI,12.5,50.0,0.16,0.22,6.79,3,5,28.72,41.49,29.2,46.02,0.0,0.0,2.0,1.0,0.0,0.0,11.459999999999999,11.004333333333333,12.454666666666666,1.450333333333333,0,0,0
20240112,2,11,5,4298,宮下 元胤,MAKURI_SASHI,5.1,48.7,0.16,0.1,6.73,2,2,21.52,37.97,46.32,62.11,0.0,0.0,1.0,0.0,1.0,0.0,10.122,11.004333333333333,12.454666666666666,1.450333333333333,0,0,0
20240112,2,11,6,3482,金子 猛志,MAKURI_SASHI,2.7,11.1,0.17,0.11,6.81,5,3,43.1,62.93,35.42,44.79,0.0,0.0,0.0,0.0,0.0,0.0,15.781999999999998,11.004333333333333,12.454666666666666,1.450333333333333,0,0,0
20240112,2,12,1,4604,岩瀬 裕亮,MAKURI_SASHI,86.6,98.3,0.11,0.02,6.75,2,3,30.84,54.21,25.84,50.56,0.0,0.0,0.0,0.0,0.0,4.0,13.273999999999997,143165590.387,12.092333333333334,-143165578.29466665,0,0,0
20240112,2,12,2,3484,芝田 浩治,MAKURI_SASHI,18.0,68.0,0.17,0.07,6.65,1,6,44.04,56.88,32.22,47.78,0.0,0.0,2.0,7.0,0.0,0.0,429496746.114,143165590.387,12.092333333333334,-143165578.29466665,0,0,0
20240112,2,12,3,4209,藤田 竜弘,MAKURI_SASHI,12.2,65.3,0.16,0.04,6.83,4,4,27.17,45.65,29.0,51.0,0.0,0.0,2.0,0.0,3.0,1.0,11.773,143165590.387,12.092333333333334,-143165578.29466665,0,0,0
