hd,jcd,rno,lane,regno,st_sec,st_is_f,st_is_late,st_penalized,st_observed,tenji_st_sec,tenji_is_f,tenji_f_over_sec,tenji_rank,st_rank,course_avg_st,course_first_rate,course_3rd_rate
20240112,2,10,1,4889,,0,0,0,0,0.16,0,,2,2,0.15,48.1,66.6
20240112,2,10,2,3996,,0,0,0,0,0.25,0,,5,5,0.18,20.5,85.2
20240112,2,10,3,4240,,0,0,0,0,0.18,0,,3,3,0.13,29.4,58.8
20240112,2,10,4,4175,,0,0,0,0,0.23,0,,4,4,0.15,11.3,50.0
20240112,2,10,5,3981,,0,0,0,0,0.13,0,,1,1,0.15,3.1,31.2
20240112,2,10,6,4397,,0,0,0,0,0.38,0,,6,6,0.15,0.0,31.2
20240112,2,11,1,4526,,0,0,0,0,0.11,0,,3,3,0.13,65.4,94.5
20240112,2,11,2,4794,,0,0,0,0,0.13,0,,4,4,0.14,20.0,83.3
20240112,2,11,3,4391,,0,0,0,0,0.09,0,,1,1,0.13,25.9,62.9
20240112,2,11,4,4912,,0,0,0,0,0.22,0,,5,5,0.16,12.5,50.0
20240112,2,11,5,4298,,0,0,0,0,0.1,0,,2,2,0.16,5.1,48.7
20240112,2,11,6,3482,,0,0,0,0,0.11,0,,3,3,0.17,2.7,11.1
20240112,2,12,1,4604,,0,0,0,0,0.02,0,,1,3,0.11,86.6,98.3
20240112,2,12,2,3484,,0,0,0,0,0.07,0,,4,6,0.17,18.0,68.0
20240112,2,12,3,4209,,0,0,0,0,0.04,0,,2,4,0.16,12.2,65.3
20240112,2,12,4,3966,,0,0,0,0,,1,0.02,5,2,0.17,17.0,65.9
20240112,2,12,5,3870,,0,0,0,0,0.06,0,,3,5,0.16,2.3,26.1
20240112,2,12,6,4631,,0,0,0,0,,1,0.01,5,1,0.16,3.5,25.0
20240112,2,1,1,4845,,0,0,0,0,,1,0.04,5,1,0.13,51.5,84.8
20240112,2,1,2,3827,,0,0,0,0,0.16,0,,4,5,0.16,0.0,52.0
20240112,2,1,3,4752,,0,0,0,0,0.01,0,,1,2,0.14,9.3,53.4
20240112,2,1,4,4893,,0,0,0,0,0.14,0,,3,4,0.13,14.2,42.8
20240112,2,1,5,4258,,0,0,0,0,0.14,0,,3,4,0.21,0.0,31.9
20240112,2,1,6,4626,,0,0,0,0,0.06,0,,2,3,0.2,0.0,15.6
20240112,2,2,1,4550,,0,0,0,0,0.06,0,,1,1,0.15,23.0,61.5
20240112,2,2,2,3772,,0,0,0,0,0.22,0,,5,5,0.16,12.2,59.1
20240112,2,2,3,4889,,0,0,0,0,0.11,0,,3,3,0.12,22.5,67.7
20240112,2,2,4,4794,,0,0,0,0,0.08,0,,2,2,0.13,17.5,62.5
20240112,2,2,5,5220,,0,0,0,0,0.14,0,,4,4,0.16,5.8,26.4
20240112,2,2,6,5125,,0,0,0,0,0.06,0,,1,1,0.18,0.0,25.8
20240112,2,3,1,4175,,0,0,0,0,0.03,0,,1,1,0.14,37.5,75.0
20240112,2,3,2,4891,,0,0,0,0,0.09,0,,2,2,0.16,3.1,50.0
20240112,2,3,3,4526,,0,0,0,0,0.12,0,,3,3,0.13,21.7,63.0
20240112,2,3,4,4103,,0,0,0,0,0.14,0,,4,4,0.22,3.4,48.2
20240112,2,3,5,4478,,0,0,0,0,0.19,0,,6,6,0.18,6.9,37.9
20240112,2,3,6,4209,,0,0,0,0,0.16,0,,5,5,0.18,2.3,18.6
20240112,2,4,1,4987,,0,0,0,0,0.17,0,,5,5,0.17,37.5,62.5
