hd,jcd,rno,lane,regno,st_sec,st_is_f,st_is_late,st_penalized,st_observed,tenji_st_sec,tenji_is_f,tenji_f_over_sec,tenji_rank,st_rank,course_avg_st,course_first_rate,course_3rd_rate
20240105,1,10,1,4888,,0,0,0,0,0.06,0,,2,2,0.16,60.0,86.0
20240105,1,10,2,3414,,0,0,0,0,0.14,0,,4,4,0.15,12.5,56.2
20240105,1,10,3,3532,,0,0,0,0,0.06,0,,2,2,0.15,14.5,64.5
20240105,1,10,4,3659,,0,0,0,0,0.06,0,,2,2,0.16,20.0,75.5
20240105,1,10,5,4177,,0,0,0,0,0.01,0,,1,1,0.17,2.7,35.1
20240105,1,10,6,3653,,0,0,0,0,0.07,0,,3,3,0.2,3.3,26.6
20240105,1,11,1,4188,,0,0,0,0,0.07,0,,3,3,0.11,79.3,98.4
20240105,1,11,2,3159,,0,0,0,0,0.18,0,,5,5,0.15,23.8,64.5
20240105,1,11,3,4362,,0,0,0,0,0.14,0,,4,4,0.14,19.5,58.5
20240105,1,11,4,4305,,0,0,0,0,0.06,0,,2,2,0.19,17.2,51.7
20240105,1,11,5,3686,,0,0,0,0,0.03,0,,1,1,0.16,5.8,41.1
20240105,1,11,6,5141,,0,0,0,0,0.14,0,,4,4,0.11,0.0,27.0
20240105,1,12,1,4238,,0,0,0,0,0.13,0,,2,2,0.1,84.4,93.1
20240105,1,12,2,4787,,0,0,0,0,0.18,0,,6,6,0.13,32.5,70.0
20240105,1,12,3,3740,,0,0,0,0,0.16,0,,5,5,0.14,13.8,80.5
20240105,1,12,4,4486,,0,0,0,0,0.11,0,,1,1,0.15,19.2,57.6
20240105,1,12,5,4491,,0,0,0,0,0.15,0,,4,4,0.19,0.0,45.4
20240105,1,12,6,4645,,0,0,0,0,0.14,0,,3,3,0.14,0.0,21.6
20240105,1,1,1,4113,,0,0,0,0,0.01,0,,1,3,0.17,45.9,78.3
20240105,1,1,2,3850,,0,0,0,0,,1,0.01,3,1,0.15,16.2,62.1
20240105,1,1,3,4177,,0,0,0,0,,1,0.04,3,2,0.16,6.9,51.7
20240105,1,1,4,5141,,0,0,0,0,,1,0.04,3,2,0.12,14.6,63.4
20240105,1,1,5,3538,,0,0,0,0,,1,0.01,3,1,0.17,7.6,38.4
20240105,1,1,6,3827,,0,0,0,0,0.04,0,,2,4,0.2,0.0,11.1
20240105,1,2,1,3973,,0,0,0,0,0.01,0,,1,2,0.17,28.5,60.0
20240105,1,2,2,3740,,0,0,0,0,,1,0.02,6,1,0.18,16.2,64.8
20240105,1,2,3,4078,,0,0,0,0,0.02,0,,2,3,0.18,8.3,41.6
20240105,1,2,4,3970,,0,0,0,0,0.13,0,,5,6,0.17,3.8,50.0
20240105,1,2,5,4539,,0,0,0,0,0.03,0,,3,4,0.17,2.7,30.5
20240105,1,2,6,4407,,0,0,0,0,0.07,0,,4,5,0.23,0.0,28.5
20240105,1,3,1,5150,,0,0,0,0,0.11,0,,2,2,0.17,47.6,76.1
20240105,1,3,2,4305,,0,0,0,0,0.12,0,,3,3,0.14,8.3,62.5
20240105,1,3,3,4787,,0,0,0,0,0.29,0,,5,5,0.13,15.5,60.0
20240105,1,3,4,3653,,0,0,0,0,0.11,0,,2,2,0.19,4.5,31.8
20240105,1,3,5,5090,,0,0,0,0,0.21,0,,4,4,0.19,2.1,21.7
20240105,1,3,6,3441,,0,0,0,0,0.1,0,,1,1,0.2,0.0,8.3
20240105,1,4,1,5006,,0,0,0,0,0.05,0,,2,3,0.2,33.3,62.5
20240105,1,4,2,3419,,0,0,0,0,0.13,0,,4,5,0.19,5.7,42.8
20240105,1,4,3,4645,,0,0,0,0,0.02,0,,1,2,0.14,11.3,63.6
20240105,1,4,4,4188,,0,0,0,0,,1,0.01,5,1,0.12,23.8,78.5
