hd,jcd,rno,title,decision,weather_sky,wind_dir,wind_speed_m,wave_height_cm,label_3t
20240105,1,1,創刊75周年記念 第57回スポーツニッポン杯,逃げ,晴,10,1.0,1.0,1-3-4
20240105,1,2,創刊75周年記念 第57回スポーツニッポン杯,まくり,晴,12,2.0,1.0,5-6-2
20240105,1,3,創刊75周年記念 第57回スポーツニッポン杯,まくり,晴,17,0.0,0.0,3-6-4
20240105,1,4,創刊75周年記念 第57回スポーツニッポン杯,まくり差し,晴,17,0.0,0.0,4-3-2
20240105,1,5,創刊75周年記念 第57回スポーツニッポン杯,差し,晴,17,0.0,0.0,4-2-3
20240105,1,6,創刊75周年記念 第57回スポーツニッポン杯,逃げ,晴,4,1.0,1.0,1-2-4
20240105,1,7,創刊75周年記念 第57回スポーツニッポン杯,抜き,晴,17,0.0,0.0,1-2-4
20240105,1,8,創刊75周年記念 第57回スポーツニッポン杯,まくり差し,晴,2,2.0,1.0,5-1-3
20240105,1,9,創刊75周年記念 第57回スポーツニッポン杯,逃げ,晴,2,1.0,1.0,1-4-3
20240105,1,10,創刊75周年記念 第57回スポーツニッポン杯,逃げ,晴,2,1.0,1.0,1-3-5
20240105,1,11,創刊75周年記念 第57回スポーツニッポン杯,逃げ,晴,17,0.0,0.0,1-2-4
20240105,1,12,創刊75周年記念 第57回スポーツニッポン杯,逃げ,晴,2,1.0,1.0,1-2-3
20240105,2,1,第54回埼玉選手権・スポーツニッポン杯争奪戦,差し,晴,17,0.0,0.0,3-1-2
20240105,2,2,第54回埼玉選手権・スポーツニッポン杯争奪戦,まくり,晴,17,0.0,0.0,3-5-2
20240105,2,3,第54回埼玉選手権・スポーツニッポン杯争奪戦,逃げ,晴,17,0.0,0.0,1-4-2
20240105,2,4,第54回埼玉選手権・スポーツニッポン杯争奪戦,逃げ,晴,17,0.0,0.0,1-2-5
20240105,2,5,第54回埼玉選手権・スポーツニッポン杯争奪戦,まくり差し,晴,17,0.0,0.0,5-2-6
20240105,2,6,第54回埼玉選手権・スポーツニッポン杯争奪戦,まくり,晴,17,0.0,0.0,4-2-1
20240105,2,7,第54回埼玉選手権・スポーツニッポン杯争奪戦,抜き,晴,17,0.0,0.0,1-5-2
