hd,jcd,rno,lane,racer_id,st,tenji_st,course_avg_st,st_rank,power_lane
20240224,01,10,1,3161,0.13,0.01,0.15,1,18.843999999999998
20240224,01,10,2,3828,0.15,0.03,0.18,2,11.124
20240224,01,10,3,4693,0.15,0.04,0.17,3,15.181999999999999
20240224,01,10,4,4653,0.17,0.07,0.12,4,14.094999999999999
20240224,01,10,5,4467,0.16,0.09,0.12,6,429496745.985
20240224,01,10,6,4664,0.27,0.08,0.22,5,10.665
20240224,01,11,1,4677,0.12,0.15,0.14,5,12.381
20240224,01,11,2,3966,0.18,0.09,0.19,3,20.423
20240224,01,11,3,4789,0.09,0.0003,0.15,1,19.851999999999997
20240224,01,11,4,4436,0.05,0.06,0.15,2,13.584
20240224,01,11,5,4872,0.01,0.14,0.16,4,16.642
20240224,01,11,6,5289,0.02,0.19,0.19,6,429496741.722
20240224,01,12,1,4788,0.28,0.09,0.16,4,14.431
20240224,01,12,2,3713,0.25,0.04,0.14,2,10.023
20240224,01,12,3,4058,0.26,0.0001,0.15,1,12.283
20240224,01,12,4,4491,0.31,0.05,0.18,3,15.769999999999998
20240224,01,12,5,5029,0.28,0.09,0.12,4,17.968000000000004
20240224,01,12,6,4700,0.34,0.09,0.19,4,13.681
20240224,01,1,1,3448,0.26,0.07,0.16,4,14.854
20240224,01,1,2,3838,0.2,0.06,0.15,3,13.411999999999999
20240224,01,1,3,5177,0.21,0.04,0.17,2,6.050999999999999
20240224,01,1,4,4872,0.35,0.2,0.17,5,16.541999999999998
20240224,01,1,5,5242,0.34,0.06,0.18,3,10.879999999999999
20240224,01,1,6,4440,0.32,0.0005,0.23,1,12.906999999999998
20240224,01,2,1,3945,0.16,0.35,0.21,4,17.008000000000003
20240224,01,2,2,4865,0.23,0.25,0.2,3,16.682
20240224,01,2,3,4700,0.08,0.37,0.17,5,13.581
20240224,01,2,4,4566,0.04,0.04,0.14,1,16.785999999999998
20240224,01,2,5,5289,0.25,0.38,0.2,6,429496741.722
20240224,01,2,6,4487,0.09,0.08,0.2,2,12.972
20240224,01,3,1,2538,0.1,0.14,0.2,4,9.244
20240224,01,3,2,5004,0.09,0.17,0.12,5,11.361
20240224,01,3,3,4653,0.07,0.19,0.14,6,429496743.495
20240224,01,3,4,5033,0.11,0.05,0.17,1,14.296
20240224,01,3,5,3441,0.12,0.07,0.2,2,6.822
20240224,01,3,6,4058,0.22,0.09,0.23,3,12.082999999999998
20240224,01,4,1,3881,0.1,0.05,0.12,2,18.222
20240224,01,4,2,4594,0.15,0.09,0.15,4,15.630999999999998
20240224,01,4,3,5222,0.15,0.0001,0.14,1,7.963
20240224,01,4,4,3161,0.13,0.07,0.18,3,18.644
20240224,01,4,5,3827,0.12,0.05,0.16,2,16.191
20240224,01,4,6,3713,0.13,0.13,0.12,5,9.722999999999999
20240224,01,5,1,3400,0.16,0.14,0.18,5,9.486
20240224,01,5,2,4788,0.1,0.0001,0.14,1,14.731
20240224,01,5,3,4664,0.33,0.14,0.18,5,10.665
20240224,01,5,4,4440,0.08,0.0003,0.17,2,12.806999999999999
20240224,01,5,5,4677,0.1,0.01,0.11,4,12.481
20240224,01,5,6,5073,0.1,0.001,0.16,3,11.278999999999998
20240224,01,6,1,3966,0.24,0.19,0.16,5,20.223
20240224,01,6,2,4693,0.25,0.05,0.19,3,15.181999999999999
20240224,01,6,3,3414,0.12,0.01,0.16,2,4.2509999999999994
20240224,01,6,4,5242,0.16,0.12,0.12,4,10.78
20240224,01,6,5,4865,0.13,0.01,0.18,2,16.782
20240224,01,6,6,4639,0.22,0.0001,0.19,1,18.447999999999997
20240224,01,7,1,4436,0.26,0.0005,0.15,1,13.684
20240224,01,7,2,2538,0.26,0.04,0.18,2,9.444
20240224,01,7,3,4491,0.22,0.11,0.18,3,15.769999999999998
20240224,01,7,4,5177,0.24,0.22,0.21,4,5.850999999999999
20240224,01,7,5,3945,0.23,0.24,0.19,5,16.908
20240224,01,7,6,5285,0.23,0.26,0.22,6,429496738.488
20240224,01,8,1,5029,0.01,0.0001,0.12,1,18.268
20240224,01,8,2,4487,0.01,0.0006,0.21,2,12.972
20240224,01,8,3,5033,0.02,0.0006,0.15,2,14.196
20240224,01,8,4,3448,0.27,0.14,0.17,5,14.754
20240224,01,8,5,4594,0.08,0.04,0.15,3,15.730999999999998
20240224,01,8,6,4988,0.06,0.11,0.17,4,11.988999999999999
20240224,01,9,1,4216,0.2,0.11,0.13,3,9.091999999999999
20240224,01,9,2,3827,0.25,0.19,0.16,5,15.891
20240224,01,9,3,4566,0.23,0.03,0.16,2,16.686
20240224,01,9,4,3339,0.19,0.0001,0.17,1,13.06
20240224,01,9,5,3400,0.33,0.03,0.19,2,9.786000000000001
20240224,01,9,6,3838,0.16,0.17,0.15,4,13.312
20240224,04,10,1,4728,0.12,,0.18,1,12.382
20240224,04,10,2,3908,0.15,,0.13,1,11.182
20240224,04,10,3,3277,0.12,,0.15,1,18.177999999999997
20240224,04,10,4,4676,0.14,,0.16,1,12.061
20240224,04,10,5,3340,0.12,,0.19,1,15.910000000000002
20240224,04,10,6,4568,0.15,,0.18,1,9.808
20240224,04,11,1,3813,0.12,,0.14,1,15.532
20240224,04,11,2,3812,0.16,,0.16,1,12.541
20240224,04,11,3,4037,0.11,,0.16,1,13.615
20240224,04,11,4,3313,0.23,,0.2,1,14.091999999999999
20240224,04,11,5,3505,0.12,,0.14,1,14.761000000000001
20240224,04,11,6,4345,0.14,,0.19,1,11.431
20240224,04,12,1,4074,0.15,0.03,0.12,3,12.709999999999997
20240224,04,12,2,4211,0.2,0.02,0.18,2,16.155
20240224,04,12,3,4245,0.19,0.01,0.19,1,13.039
20240224,04,12,4,4793,0.17,0.08,0.14,4,13.654
20240224,04,12,5,3293,0.18,0.12,0.21,6,429496740.765
20240224,04,12,6,4995,0.22,0.09,0.22,5,12.234
20240224,04,1,1,4619,0.23,,0.18,1,13.408
20240224,04,1,2,4728,0.24,,0.18,1,12.382
20240224,04,1,3,4976,0.21,,0.2,1,14.851
20240224,04,1,4,5331,,,0.0,1,14.824
20240224,04,1,5,4037,0.23,,0.2,1,13.615
20240224,04,1,6,4059,0.2,,0.18,1,11.784999999999998
20240224,04,2,1,4615,0.16,0.07,0.18,6,429496740.3
20240224,04,2,2,4818,0.14,0.01,0.15,3,12.334999999999999
20240224,04,2,3,4345,0.18,0.03,0.15,5,11.030999999999999
20240224,04,2,4,5253,0.12,0.0007000000000000001,0.25,2,10.554
20240224,04,2,5,4211,0.14,0.02,0.14,4,15.955
20240224,04,2,6,4776,0.17,0.0,0.2,1,16.977999999999998
20240224,04,3,1,4245,0.19,0.18,0.17,5,12.639
20240224,04,3,2,4560,0.16,0.27,0.13,6,429496745.025
20240224,04,3,3,4944,0.18,0.11,0.13,4,13.624
20240224,04,3,4,3141,0.13,0.01,0.19,2,10.968
20240224,04,3,5,3813,0.19,0.02,0.17,3,15.331999999999999
20240224,04,3,6,3340,0.2,0.0002,0.19,1,15.910000000000002
20240224,04,4,1,3505,0.11,0.0002,0.18,1,14.761000000000001
20240224,04,4,2,5007,0.17,0.11,0.18,5,10.082999999999998
20240224,04,4,3,4880,0.12,0.02,0.16,4,11.610999999999999
20240224,04,4,4,4169,0.13,0.0002,0.15,1,15.433
20240224,04,4,5,3277,0.13,0.0006,0.16,2,18.078
20240224,04,4,6,4793,0.17,0.0008,0.15,3,13.754
20240224,04,5,1,3377,0.19,0.0006,0.2,2,12.282
20240224,04,5,2,3569,0.15,0.02,0.19,4,12.700000000000001
20240224,04,5,3,4815,0.13,0.0004,0.19,1,10.174000000000001
20240224,04,5,4,3908,0.08,0.06,0.13,5,10.782
20240224,04,5,5,5331,0.1,0.0013,0.0,3,14.623999999999999
20240224,04,5,6,3313,0.14,0.0004,0.22,1,14.091999999999999
20240224,04,6,1,4906,0.16,0.2,0.18,5,15.384
20240224,04,6,2,5044,0.1,0.03,0.14,3,13.796
20240224,04,6,3,5023,0.11,0.2,0.17,5,10.212
20240224,04,6,4,4074,0.17,0.07,0.14,4,12.609999999999998
20240224,04,6,5,4676,0.2,0.0003,0.19,1,12.061
20240224,04,6,6,3812,0.18,0.0011,0.18,2,12.441
20240224,04,7,1,4944,0.21,0.08,0.18,5,13.524000000000001
20240224,04,7,2,4274,0.18,0.06,0.18,4,12.925
20240224,04,7,3,4059,0.17,0.0003,0.16,1,11.784999999999998
20240224,04,7,4,4995,0.21,0.0004,0.2,2,12.534
20240224,04,7,5,5253,0.22,0.0009,0.23,3,10.453999999999999
20240224,04,7,6,3679,0.27,0.0004,0.15,2,11.703000000000001
20240224,04,8,1,3800,0.02,0.13,0.15,5,11.892
20240224,04,8,2,4776,0.08,0.0009,0.16,3,16.778
20240224,04,8,3,3293,0.08,0.0006,0.21,2,11.565000000000001
20240224,04,8,4,4976,0.15,0.03,0.18,4,14.551
20240224,04,8,5,5007,0.11,0.0004,0.19,1,10.482999999999999
20240224,04,8,6,3857,0.16,0.0004,0.2,1,11.41
20240224,04,9,1,4818,0.13,0.0008,0.13,1,12.535
20240224,04,9,2,4953,0.13,0.06,0.15,5,11.169
20240224,04,9,3,3141,0.17,0.07,0.2,6,429496740.168
20240224,04,9,4,3569,0.16,0.03,0.18,3,12.8
20240224,04,9,5,4619,0.14,0.0012,0.21,2,13.308
20240224,04,9,6,4880,0.19,0.05,0.16,4,11.610999999999999
20240224,05,10,1,3159,0.19,0.09,0.14,1,13.575999999999999
20240224,05,10,2,4596,0.13,0.13,0.16,3,15.658999999999999
20240224,05,10,3,4076,0.2,0.1,0.18,2,14.367000000000003
20240224,05,10,4,5127,0.15,0.19,0.16,5,13.38
20240224,05,10,5,3497,0.1,0.15,0.19,4,13.849000000000002
20240224,05,10,6,3256,0.15,0.19,0.17,5,14.358
20240224,05,11,1,3932,0.31,0.16,0.16,4,13.083999999999998
20240224,05,11,2,3778,0.31,0.35,0.22,5,11.975999999999999
20240224,05,11,3,4224,0.27,0.11,0.21,3,15.982999999999999
20240224,05,11,4,4680,0.25,0.03,0.2,2,14.757000000000001
20240224,05,11,5,3175,0.26,0.0001,0.18,1,13.938999999999998
20240224,05,11,6,4961,0.23,0.16,0.13,4,15.766
20240224,05,12,1,3941,0.11,0.13,0.1,4,15.489999999999998
20240224,05,12,2,3960,0.12,0.1,0.12,2,16.131
20240224,05,12,3,4075,0.1,0.03,0.14,1,15.628000000000002
20240224,05,12,4,4573,0.22,0.19,0.13,5,13.308
20240224,05,12,5,4851,0.25,0.13,0.16,4,14.484999999999998
20240224,05,12,6,4939,0.15,0.12,0.16,3,14.96
20240224,05,1,1,3528,0.18,0.32,0.23,5,14.262
20240224,05,1,2,4300,0.18,0.05,0.18,2,13.74
20240224,05,1,3,4642,0.16,0.04,0.14,1,16.156
20240224,05,1,4,4283,0.17,0.05,0.19,2,13.365
20240224,05,1,5,4680,0.19,0.07,0.21,4,14.557
20240224,05,1,6,4244,0.15,0.06,0.16,3,15.761
20240224,05,2,1,5122,0.02,0.18,0.13,6,429496742.601
20240224,05,2,2,3656,0.18,0.0003,0.17,1,12.592
20240224,05,2,3,3159,0.12,0.04,0.12,5,13.175999999999998
20240224,05,2,4,5290,0.11,0.0011,0.22,3,13.216999999999999
20240224,05,2,5,4573,0.22,0.0004,0.16,2,13.608
20240224,05,2,6,5127,0.19,0.0017000000000000001,0.23,4,13.48
20240224,05,3,1,3778,0.03,0.0023,0.21,2,12.276
20240224,05,3,2,4240,0.07,0.0003,0.15,1,12.619
20240224,05,3,3,4286,0.07,0.11,0.16,4,14.046999999999999
20240224,05,3,4,4317,0.11,0.04,0.16,3,11.791999999999998
