hd,jcd,rno,lane,racer_id,racer_name,grade,age,weather_sky,wind_dir,wind_speed_m,wave_height_cm,title,decision,national_win,national_2r,national_3r,local_win,local_2r,local_3r,motor_id,motor_rate2,motor_rate3,boat_id,boat_rate2,boat_rate3,weightKg,tiltDeg,tenji_sec,tenji_st,isF_tenji,course_first_rate,course_3rd_rate,course_avg_st,kimarite_makuri,kimarite_sashi,kimarite_makuri_sashi,kimarite_nuki,tenji_rank,st_rank,power_lane,power_inner,power_outer,outer_over_inner,st_diff_4_vs_3,st_diff_5_vs_4,st_diff_6_vs_5,dash_attack_flag,is_strong_wind,is_crosswind,label_3t
20240130,01,10,1,4760,山崎 郡,A1,34,晴,4,2.0,1.0,第18回競艇タイムス杯,逃げ,6.58,46.46,65.35,0.0,0.0,0.0,32.0,6.67,6.67,41.0,31.58,47.37,51.5,-0.5,6.68,0.03,0,68.6,88.0,0.13,0.0,0.0,0.0,0.0,1,3,6.149,12.580333333333334,11.371666666666664,-1.2086666666666694,0.04000000000000001,-0.010000000000000009,-0.0598,0,0,0,1-5-6
20240130,01,10,2,4370,山口 達也,A2,37,晴,4,2.0,1.0,第18回競艇タイムス杯,逃げ,6.65,50.74,66.18,8.44,88.89,88.89,50.0,33.33,60.0,75.0,42.42,54.55,51.0,-0.5,6.71,0.02,0,32.6,80.4,0.15,7.0,6.0,0.0,1.0,2,2,14.289,12.580333333333334,11.371666666666664,-1.2086666666666694,0.04000000000000001,-0.010000000000000009,-0.0598,0,0,0,1-5-6
20240130,01,10,3,4512,高野 哲史,A1,34,晴,4,2.0,1.0,第18回競艇タイムス杯,逃げ,6.63,55.4,69.06,7.12,53.66,75.61,54.0,43.75,56.25,60.0,23.33,43.33,52.0,-0.5,6.76,0.03,0,35.4,80.6,0.15,5.0,0.0,6.0,0.0,4,3,17.303,12.580333333333334,11.371666666666664,-1.2086666666666694,0.04000000000000001,-0.010000000000000009,-0.0598,0,0,0,1-5-6
20240130,01,10,4,4331,三好 勇人,A2,40,晴,4,2.0,1.0,第18回競艇タイムス杯,逃げ,5.6,37.78,56.67,3.0,0.0,25.0,26.0,21.43,28.57,32.0,36.36,48.48,53.9,-0.5,6.74,0.07,0,16.2,48.8,0.16,1.0,3.0,3.0,0.0,3,5,9.789,12.580333333333334,11.371666666666664,-1.2086666666666694,0.04000000000000001,-0.010000000000000009,-0.0598,0,0,0,1-5-6
20240130,01,10,5,4866,橋本 英一,B1,33,晴,4,2.0,1.0,第18回競艇タイムス杯,逃げ,4.35,23.4,39.36,3.78,16.67,33.33,24.0,41.18,52.94,66.0,48.39,64.52,53.0,0.0,6.71,0.06,0,5.4,35.1,0.15,1.0,0.0,1.0,0.0,2,4,15.063999999999998,12.580333333333334,11.371666666666664,-1.2086666666666694,0.04000000000000001,-0.010000000000000009,-0.0598,0,0,0,1-5-6
20240130,01,10,6,3790,佐口 達也,B1,51,晴,4,2.0,1.0,第18回競艇タイムス杯,逃げ,4.77,27.27,44.32,5.15,27.66,52.13,30.0,20.0,60.0,61.0,41.67,52.78,52.8,-0.5,6.79,0.0002,1,0.0,34.3,0.16,0.0,0.0,0.0,0.0,5,1,9.262,12.580333333333334,11.371666666666664,-1.2086666666666694,0.04000000000000001,-0.010000000000000009,-0.0598,0,0,0,1-5-6
20240130,01,11,1,3532,柴田 光,A2,52,晴,4,1.0,1.0,第18回競艇タイムス杯,まくり差し,5.77,45.87,58.72,5.9,41.57,59.55,19.0,45.83,66.67,72.0,26.32,39.47,52.0,-0.5,6.7,0.07,0,60.0,82.2,0.16,0.0,0.0,0.0,0.0,1,3,17.410999999999998,14.304333333333332,9.185666666666668,-5.118666666666664,-0.1,-0.0097,0.1097,0,0,0,3-1-2
20240130,01,11,2,3679,飯島 昌弘,A1,50,晴,4,1.0,1.0,第18回競艇タイムス杯,まくり差し,6.56,43.68,71.26,6.38,41.54,70.77,36.0,38.46,53.85,67.0,28.0,40.0,52.3,-0.5,6.73,0.11,0,10.8,62.1,0.16,2.0,1.0,0.0,1.0,3,4,15.574,14.304333333333332,9.185666666666668,-5.118666666666664,-0.1,-0.0097,0.1097,0,0,0,3-1-2
20240130,01,11,3,4659,木下 翔太,A1,32,晴,4,1.0,1.0,第18回競艇タイムス杯,まくり差し,6.38,46.98,67.11,7.52,74.19,80.65,18.0,20.0,33.33,16.0,19.35,35.48,54.1,-0.5,6.74,0.11,0,24.4,75.5,0.14,2.0,0.0,10.0,0.0,4,4,9.927999999999999,14.304333333333332,9.185666666666668,-5.118666666666664,-0.1,-0.0097,0.1097,0,0,0,3-1-2
20240130,01,11,4,3686,鳥居塚 孝博,A2,48,晴,4,1.0,1.0,第18回競艇タイムス杯,まくり差し,5.79,35.71,56.25,5.89,37.62,60.4,27.0,26.67,46.67,69.0,29.41,55.88,52.0,-0.5,6.72,0.01,0,8.8,52.9,0.13,1.0,0.0,1.0,1.0,2,2,11.775,14.304333333333332,9.185666666666668,-5.118666666666664,-0.1,-0.0097,0.1097,1,0,0,3-1-2
20240130,01,11,5,3268,森 竜也,B1,58,晴,4,1.0,1.0,第18回競艇タイムス杯,まくり差し,5.01,26.26,44.44,6.07,43.1,63.79,73.0,20.0,70.0,44.0,37.14,48.57,52.0,-0.5,6.83,0.0003,1,0.0,25.9,0.2,0.0,0.0,0.0,0.0,5,1,9.406,14.304333333333332,9.185666666666668,-5.118666666666664,-0.1,-0.0097,0.1097,0,0,0,3-1-2
20240130,01,11,6,4128,川口 貴久,B1,43,晴,4,1.0,1.0,第18回競艇タイムス杯,まくり差し,5.46,36.64,58.02,6.12,48.48,60.61,53.0,10.0,20.0,50.0,35.29,41.18,54.8,-0.5,6.88,0.11,0,0.0,32.4,0.12,0.0,0.0,0.0,0.0,6,4,6.3759999999999994,14.304333333333332,9.185666666666668,-5.118666666666664,-0.1,-0.0097,0.1097,0,0,0,3-1-2
20240130,01,12,1,3502,渡邉 英児,A2,54,晴,17,0.0,0.0,第18回競艇タイムス杯,まくり差し,5.59,42.31,55.38,4.57,14.29,28.57,21.0,15.38,15.38,27.0,35.14,62.16,52.2,-0.5,6.8,0.07,0,61.5,88.4,0.18,0.0,0.0,0.0,0.0,5,2,8.268,12.349666666666666,11.211666666666668,-1.1379999999999981,-0.07,0.08000000000000002,0.06999999999999998,0,0,0,3-2-6
20240130,01,12,2,3563,堤 昇,A2,54,晴,17,0.0,0.0,第18回競艇タイムス杯,まくり差し,4.99,28.89,46.67,5.94,42.0,60.0,55.0,20.0,33.33,24.0,45.95,64.86,52.0,-0.5,6.74,0.07,0,10.0,58.0,0.18,1.0,4.0,0.0,0.0,3,2,9.294,12.349666666666666,11.211666666666668,-1.1379999999999981,-0.07,0.08000000000000002,0.06999999999999998,0,0,0,3-2-6
20240130,01,12,3,4626,伊藤 紘章,B1,37,晴,17,0.0,0.0,第18回競艇タイムス杯,まくり差し,4.02,17.05,37.5,3.47,11.76,23.53,64.0,56.25,62.5,13.0,21.43,42.86,52.0,-0.5,6.75,0.13,0,20.8,45.8,0.16,2.0,0.0,3.0,0.0,4,3,19.487,12.349666666666666,11.211666666666668,-1.1379999999999981,-0.07,0.08000000000000002,0.06999999999999998,0,0,0,3-2-6
20240130,01,12,4,4902,山川 雄大,B1,30,晴,17,0.0,0.0,第18回競艇タイムス杯,まくり差し,5.18,34.48,48.28,4.43,28.57,42.86,39.0,20.0,66.67,39.0,31.43,37.14,52.0,0.0,6.69,0.06,0,17.7,42.2,0.16,4.0,1.0,3.0,0.0,2,1,9.508000000000001,12.349666666666666,11.211666666666668,-1.1379999999999981,-0.07,0.08000000000000002,0.06999999999999998,1,0,0,3-2-6
20240130,01,12,5,4293,鈴木 智啓,B1,38,晴,17,0.0,0.0,第18回競艇タイムス杯,まくり差し,5.22,36.59,47.56,5.25,30.0,45.0,38.0,37.5,62.5,56.0,26.47,41.18,58.1,-0.5,6.75,0.14,0,12.1,45.4,0.15,1.0,0.0,2.0,1.0,4,4,14.482,12.349666666666666,11.211666666666668,-1.1379999999999981,-0.07,0.08000000000000002,0.06999999999999998,0,0,0,3-2-6
20240130,01,12,6,5222,津田 陸翔,B1,23,晴,17,0.0,0.0,第18回競艇タイムス杯,まくり差し,5.36,33.72,58.14,0.0,0.0,0.0,20.0,21.43,28.57,46.0,39.39,48.48,52.6,-0.5,6.68,0.21,0,2.2,23.6,0.17,0.0,0.0,1.0,1.0,1,5,9.645,12.349666666666666,11.211666666666668,-1.1379999999999981,-0.07,0.08000000000000002,0.06999999999999998,0,0,0,3-2-6
20240130,01,1,1,4506,稗田 聖也,B1,35,晴,10,3.0,2.0,第18回競艇タイムス杯,まくり差し,5.26,35.25,48.92,5.56,50.0,55.56,61.0,25.0,43.75,35.0,13.33,30.0,52.1,-0.5,6.75,0.31,0,52.0,80.0,0.15,0.0,0.0,0.0,1.0,2,4,10.755999999999998,15.027666666666667,12.254333333333333,-2.7733333333333334,0.16,-0.020000000000000018,0.020000000000000018,0,0,0,5-1-4
