hd,jcd,rno,lane,regno,wind_speed_m,kimarite_sashi,is_crosswind,boat_rate3,is_strong_wind,racer_id,dash_attack_flag,kimarite_makuri,power_lane,power_outer,course_avg_st,outer_over_inner,wave_height_cm,power_inner,decision4,motor_rate2,racer_name,kimarite_nuki,tenji_st,boat_rate2,motor_rate3,course_first_rate,kimarite_makuri_sashi,st_rank,tenji_sec,course_3rd_rate,tenji_rank
20240311,02,10,1,4269,1.0,0.0,0,46.1,0,4269,0,0.0,16.691,13.187333333333333,0.15,-2.086999999999998,1.0,15.274333333333331,NIGE,40.29,杉山 裕也,2.0,0.02,29.08,61.15,76.5,0.0,3,6.66,92.1,1
20240311,02,10,2,3841,1.0,2.0,0,48.51,0,3841,0,0.0,15.780999999999999,13.187333333333333,0.16,-2.086999999999998,1.0,15.274333333333331,NIGE,41.25,佐々木 和伸,0.0,0.05,29.1,60.63,5.1,0.0,4,6.7,71.7,3
20240311,02,10,3,4308,1.0,0.0,0,48.48,0,4308,0,2.0,13.350999999999999,13.187333333333333,0.15,-2.086999999999998,1.0,15.274333333333331,NIGE,29.13,河村 了,1.0,0.0001,32.58,43.31,25.5,8.0,1,6.7,80.8,3
20240311,02,10,4,3746,1.0,0.0,0,41.18,0,3746,0,1.0,15.238,13.187333333333333,0.18,-2.086999999999998,1.0,15.274333333333331,NIGE,38.82,岡瀬 正人,1.0,0.0001,27.94,61.84,3.8,0.0,1,6.69,59.6,2
20240311,02,10,5,4053,1.0,0.0,0,46.27,0,4053,0,0.0,12.710999999999999,13.187333333333333,0.16,-2.086999999999998,1.0,15.274333333333331,NIGE,30.99,芦澤 望,0.0,0.17,31.34,44.37,10.3,3.0,5,6.7,41.3,3
20240311,02,10,6,4064,1.0,1.0,0,49.26,0,4064,0,0.0,11.613,13.187333333333333,0.17,-2.086999999999998,1.0,15.274333333333331,NIGE,24.65,原田 篤志,0.0,0.01,33.09,43.66,6.9,1.0,2,6.74,55.1,4
20240311,02,11,1,4428,0.0,0.0,0,46.04,0,4428,0,0.0,15.828000000000001,143165590.99533334,0.15,143165577.42033336,0.0,13.575000000000001,MAKURI_SASHI,38.96,有賀 達也,1.0,0.0005,33.09,62.34,58.8,0.0,2,6.69,92.1,1
20240311,02,11,2,4076,0.0,2.0,0,39.17,0,4076,0,2.0,12.847,143165590.99533334,0.18,143165577.42033336,0.0,13.575000000000001,MAKURI_SASHI,31.65,杉田 篤光,1.0,0.0008,25.83,51.08,11.3,0.0,4,6.74,54.5,3
20240311,02,11,3,4066,0.0,0.0,0,45.99,0,4066,0,1.0,12.049999999999999,143165590.99533334,0.15,143165577.42033336,0.0,13.575000000000001,MAKURI_SASHI,27.12,東本 勝利,0.0,0.0007000000000000001,29.2,46.61,6.9,2.0,3,6.69,55.8,1
20240311,02,11,4,4074,0.0,1.0,0,33.09,0,4074,0,1.0,14.56,143165590.99533334,0.14,143165577.42033336,0.0,13.575000000000001,MAKURI_SASHI,33.08,柳沢 一,0.0,0.0001,16.91,47.37,14.2,4.0,1,6.69,69.0,1
20240311,02,11,5,4058,0.0,0.0,0,52.99,0,4058,0,0.0,15.264,143165590.99533334,0.19,143165577.42033336,0.0,13.575000000000001,MAKURI_SASHI,40.0,野末 智一,0.0,0.02,33.58,56.77,1.9,1.0,5,6.84,39.2,4
20240311,02,11,6,4059,0.0,0.0,0,50.0,0,4059,0,0.0,429496743.162,143165590.99533334,0.18,143165577.42033336,0.0,13.575000000000001,MAKURI_SASHI,34.06,入澤 友治,0.0,0.04,28.87,54.35,0.0,0.0,6,6.7,16.2,2
20240311,02,12,1,3909,1.0,0.0,0,50.0,0,3909,0,0.0,13.015999999999998,14.475333333333333,0.12,1.517333333333335,1.0,12.957999999999998,NIGE,30.16,佐々木 康幸,0.0,0.0008,35.61,42.06,66.6,0.0,3,6.73,87.5,5
20240311,02,12,2,4335,1.0,4.0,0,46.15,0,4335,0,0.0,14.305,14.475333333333333,0.12,1.517333333333335,1.0,12.957999999999998,NIGE,34.33,若林 将,2.0,0.0004,36.36,48.51,18.1,0.0,1,6.66,78.7,1
20240311,02,12,3,4075,1.0,1.0,0,45.65,0,4075,0,3.0,11.553,14.475333333333333,0.14,1.517333333333335,1.0,12.957999999999998,NIGE,24.81,中野 次郎,2.0,0.0005,26.09,44.96,20.0,5.0,2,6.67,65.4,2
20240311,02,12,4,4446,1.0,0.0,0,48.57,0,4446,0,5.0,15.423,14.475333333333333,0.17,1.517333333333335,1.0,12.957999999999998,NIGE,38.89,和田 兼輔,0.0,0.14,34.29,57.64,15.7,1.0,5,6.7,57.8,4
20240311,02,12,5,4144,1.0,0.0,0,45.45,0,4144,0,0.0,12.475,14.475333333333333,0.18,1.517333333333335,1.0,12.957999999999998,NIGE,28.35,石塚 久也,0.0,0.01,31.82,50.39,0.0,0.0,4,6.69,44.4,3
20240311,02,12,6,4449,1.0,0.0,0,42.45,0,4449,0,0.0,15.527999999999999,14.475333333333333,0.16,1.517333333333335,1.0,12.957999999999998,NIGE,42.48,中嶋 達也,0.0,0.0005,25.18,60.78,0.0,0.0,2,6.66,11.7,1
20240311,02,1,1,3286,1.0,0.0,0,48.48,0,3286,0,0.0,13.883999999999997,143165588.47933334,0.14,143165575.05433333,0.0,13.424999999999999,NIGE,37.16,坂東 満,1.0,0.03,27.27,54.73,38.4,0.0,5,6.66,92.3,3
20240311,02,1,2,3602,1.0,0.0,0,42.22,0,3602,0,1.0,14.174000000000001,143165588.47933334,0.16,143165575.05433333,0.0,13.424999999999999,NIGE,36.84,奥平 拓也,0.0,0.0006,26.67,50.0,2.7,0.0,3,6.7,41.6,4
20240311,02,1,3,3542,1.0,0.0,0,59.31,0,3542,0,0.0,12.217,143165588.47933334,0.2,143165575.05433333,0.0,13.424999999999999,NIGE,30.15,清水 紀克,0.0,0.0001,34.48,43.38,0.0,0.0,1,6.64,17.2,2
20240311,02,1,4,4039,1.0,0.0,0,53.24,0,4039,0,4.0,16.059,143165588.47933334,0.13,143165575.05433333,0.0,13.424999999999999,NIGE,42.67,村上 功祐,0.0,0.0004,30.22,56.67,11.1,1.0,2,6.76,55.5,6
20240311,02,1,5,5315,1.0,0.0,0,44.36,0,5315,0,0.0,429496739.31,143165588.47933334,0.0,143165575.05433333,0.0,13.424999999999999,NIGE,30.0,浅井 翼,0.0,0.07,27.07,47.14,0.0,0.0,6,6.75,0.0,5
20240311,02,1,6,3596,1.0,0.0,0,52.17,0,3596,0,0.0,10.068999999999999,143165588.47933334,0.19,143165575.05433333,0.0,13.424999999999999,NIGE,23.13,河上 年昭,0.0,0.01,34.06,38.78,0.0,0.0,4,6.59,11.7,1
20240311,02,2,1,4429,0.0,0.0,0,48.51,0,4429,0,0.0,11.674000000000001,11.998,0.15,-1.2810000000000024,0.0,13.279000000000002,MAKURI,30.16,豊田 泰洋,0.0,,32.84,43.65,28.0,0.0,1,,68.0,1
20240311,02,2,2,4053,0.0,5.0,0,46.27,0,4053,0,1.0,13.110999999999999,11.998,0.15,-1.2810000000000024,0.0,13.279000000000002,MAKURI,30.99,芦澤 望,1.0,,31.34,44.37,19.5,0.0,1,,65.8,1
20240311,02,2,3,3507,0.0,0.0,0,44.76,0,3507,0,0.0,15.052,11.998,0.16,-1.2810000000000024,0.0,13.279000000000002,MAKURI,39.22,藤井 徹,0.0,,30.07,54.25,3.7,1.0,1,,40.7,1
20240311,02,2,4,4057,0.0,0.0,0,47.41,0,4057,,1.0,10.705,11.998,0.15,-1.2810000000000024,0.0,13.279000000000002,MAKURI,22.03,松井 賢治,0.0,,33.33,38.98,4.7,1.0,1,,54.7,1
20240311,02,2,5,3081,0.0,1.0,0,42.64,0,3081,0,0.0,15.022,11.998,0.15,-1.2810000000000024,0.0,13.279000000000002,MAKURI,39.42,岡本 慎治,0.0,,24.81,55.47,12.1,3.0,1,,42.4,1
20240311,02,2,6,5259,0.0,0.0,0,39.1,0,5259,0,0.0,10.267000000000001,11.998,0.19,-1.2810000000000024,0.0,13.279000000000002,MAKURI,28.77,野田 昇吾,0.0,,22.56,45.89,0.0,0.0,1,,0.8,1
20240311,02,3,1,5103,1.0,0.0,0,35.07,0,5103,0,0.0,12.903999999999998,12.567,0.14,-0.7649999999999988,0.0,13.331999999999999,NIGE,34.9,芝田 京介,0.0,,19.4,51.01,12.5,0.0,1,,58.3,1
20240311,02,3,2,4058,1.0,4.0,0,52.99,0,4058,0,0.0,15.664,12.567,0.17,-0.7649999999999988,0.0,13.331999999999999,NIGE,40.0,野末 智一,1.0,,33.58,56.77,11.7,0.0,1,,62.7,1
20240311,02,3,3,3911,1.0,0.0,0,52.17,0,3911,0,1.0,11.428,12.567,0.15,-0.7649999999999988,0.0,13.331999999999999,NIGE,27.82,鈴木 猛,0.0,,35.51,40.6,3.0,0.0,1,,60.6,1
20240311,02,3,4,4639,1.0,0.0,0,45.69,0,4639,,1.0,13.620999999999999,12.567,0.18,-0.7649999999999988,0.0,13.331999999999999,NIGE,35.71,雑賀 勇貴,0.0,,29.31,54.29,2.4,0.0,1,,29.2,1
20240311,02,3,5,4076,1.0,0.0,0,39.17,0,4076,0,0.0,13.147,12.567,0.18,-0.7649999999999988,0.0,13.331999999999999,NIGE,31.65,杉田 篤光,1.0,,25.83,51.08,7.3,2.0,1,,48.7,1
20240311,02,3,6,4069,1.0,0.0,0,49.61,0,4069,0,0.0,10.933000000000002,12.567,0.2,-0.7649999999999988,0.0,13.331999999999999,NIGE,21.67,山本 修一,0.0,,24.41,39.17,3.2,0.0,1,,51.6,1
20240311,02,4,1,3583,0.0,0.0,0,41.07,0,3583,0,0.0,11.491999999999999,143165588.26633334,0.17,143165575.57633334,0.0,12.689999999999998,MAKURI_SASHI,30.34,齋藤 智裕,1.0,0.08,26.79,52.41,24.1,0.0,3,6.75,65.5,4
20240311,02,4,2,4219,0.0,1.0,0,42.75,0,4219,0,0.0,13.177,143165588.26633334,0.17,143165575.57633334,0.0,12.689999999999998,MAKURI_SASHI,34.33,本岡 勝利,0.0,0.04,28.26,50.0,2.3,0.0,1,6.69,34.8,2
20240311,02,4,3,3743,0.0,1.0,0,46.34,0,3743,0,4.0,13.401,143165588.26633334,0.14,143165575.57633334,0.0,12.689999999999998,MAKURI_SASHI,29.23,林 美憲,2.0,0.06,26.83,48.46,14.2,1.0,2,6.7,57.1,3
20240311,02,4,4,4066,0.0,0.0,0,45.99,0,4066,0,2.0,11.85,143165588.26633334,0.17,143165575.57633334,0.0,12.689999999999998,MAKURI_SASHI,27.12,東本 勝利,0.0,0.26,29.2,46.61,5.1,0.0,5,6.7,56.4,3
20240311,02,4,5,5290,0.0,0.0,0,47.73,0,5290,0,0.0,429496736.358,143165588.26633334,0.18,143165575.57633334,0.0,12.689999999999998,MAKURI_SASHI,19.82,坂本 一真,0.0,0.55,34.85,32.43,0.0,0.0,6,6.79,0.0,5
20240311,02,4,6,4269,0.0,0.0,0,46.1,0,4269,0,0.0,16.591,143165588.26633334,0.15,143165575.57633334,0.0,12.689999999999998,MAKURI_SASHI,40.29,杉山 裕也,0.0,0.18,29.08,61.15,0.0,0.0,4,6.6,31.5,1
20240311,02,5,1,4064,1.0,0.0,0,49.26,0,4064,0,0.0,429496740.813,12.058,0.14,-143165578.69533336,1.0,143165590.75333336,NIGE,24.65,原田 篤志,3.0,0.27,33.09,43.66,73.2,0.0,6,6.66,97.1,3
20240311,02,5,2,4039,1.0,4.0,0,53.24,0,4039,0,2.0,16.059,12.058,0.14,-143165578.69533336,1.0,143165590.75333336,NIGE,42.67,村上 功祐,0.0,0.09,30.22,56.67,13.6,0.0,2,6.69,47.7,5
20240311,02,5,3,4111,1.0,1.0,0,43.94,0,4111,0,0.0,15.388,12.058,0.16,-143165578.69533336,1.0,143165590.75333336,NIGE,40.0,奥田 誠,2.0,0.08,32.58,56.77,13.0,3.0,1,6.68,60.8,4
