hd,jcd,rno,lane,regno,st_pred_sec,st_rel_sec,st_rank_in_race,dash_advantage,wall_weak_flag,proba_nige,proba_sashi,proba_makuri,proba_makuri_sashi,proba_win,wind_speed_m,kimarite_sashi,is_crosswind,boat_rate3,is_strong_wind,racer_id,dash_attack_flag,kimarite_makuri,power_lane,power_outer,course_avg_st,outer_over_inner,wave_height_cm,power_inner,decision4,motor_rate2,racer_name,kimarite_nuki,tenji_st,boat_rate2,motor_rate3,course_first_rate,kimarite_makuri_sashi,st_rank,tenji_sec,course_3rd_rate,tenji_rank
20240301,02,12,1,4760,0.11891343841572427,0.004855988590237101,2,-0.025606841682923043,0,0.9999979567625397,0.0,0.0,0.0,0.5417882471847909,6.0,0.0,1,51.97,1,4760,0,0.0,15.777,13.583999999999998,0.13,-0.7383333333333351,5.0,14.322333333333333,NIGE,39.19,山崎 郡,0.0,0.13,32.28,56.08,68.6,0.0,5,6.8,88.0,1
20240301,02,12,2,4532,0.14595035241359178,0.03189290258810461,4,-0.025606841682923043,0,0.0,0.8229604958936444,0.1543047604546504,0.022731486634645214,0.11417758431227486,6.0,5.0,1,51.54,1,4532,0,3.0,11.826,13.583999999999998,0.14,-0.7383333333333351,5.0,14.322333333333333,NIGE,25.76,秋元 哲,0.0,0.13,35.38,39.39,23.6,0.0,5,6.99,71.0,6
20240301,02,12,3,4357,0.14065489434902861,0.026597444523541444,3,-0.025606841682923043,0,0.0,0.8469505029812683,0.1297701785526351,0.023277019855982135,0.15376352936235,6.0,1.0,1,61.54,1,4357,0,2.0,15.363999999999999,13.583999999999998,0.19,-0.7383333333333351,5.0,14.322333333333333,NIGE,37.24,田中 和也,1.0,0.05,45.38,60.69,13.4,3.0,4,6.87,67.3,3
20240301,02,12,4,3813,0.19371069803303562,0.07965324820754845,6,-0.025606841682923043,0,0.0,0.8872145263901052,0.09810306666079853,0.014680604382122698,0.04690468239956773,6.0,1.0,1,42.11,1,3813,1,0.0,13.515,13.583999999999998,0.19,-0.7383333333333351,5.0,14.322333333333333,NIGE,30.83,佐藤 大介,2.0,0.0004,27.07,45.11,6.6,0.0,2,6.93,68.8,4
20240301,02,12,5,3679,0.174571062368591,0.06051361254310382,5,-0.025606841682923043,0,0.0,0.7860284830517336,0.1819254561875397,0.03204351210926918,0.040344707548002394,6.0,0.0,1,60.61,1,3679,0,1.0,11.988999999999999,13.583999999999998,0.16,-0.7383333333333351,5.0,14.322333333333333,NIGE,25.83,飯島 昌弘,0.0,0.0003,43.94,40.0,7.8,2.0,1,6.94,55.2,5
20240301,02,12,6,3576,0.11405744982548717,0.0,1,-0.025606841682923043,0,0.0,0.8161027232619437,0.17041617769005835,0.013478978492889294,0.09818196892502082,6.0,0.0,1,42.4,1,3576,0,0.0,15.248,13.583999999999998,0.19,-0.7383333333333351,5.0,14.322333333333333,NIGE,37.96,白水 勝也,0.0,0.0009,31.2,56.93,0.0,0.0,3,6.82,50.0,2
20240301,02,3,1,3072,0.14962130822635938,0.027979007985476728,2,-0.05994012310570246,0,0.9999970563237548,0.0,0.0,0.0,0.2696749772831984,7.0,0.0,1,49.25,1,3072,0,0.0,18.772,11.735999999999999,0.15,-5.4,5.0,17.136,NIGE,50.34,西田 靖,1.0,,35.07,63.45,31.2,0.0,1,,58.3,1
20240301,02,3,2,4552,0.17264387129812558,0.05100157105724293,4,-0.05994012310570246,0,0.0,0.16120978943104133,0.7802581531346517,0.05852705979847761,0.04606091685488503,7.0,2.0,1,55.47,1,4552,0,1.0,16.221999999999998,11.735999999999999,0.17,-5.4,5.0,17.136,NIGE,45.04,杉山 勝匡,1.0,,39.84,58.78,12.5,0.0,1,,43.7,1
20240301,02,3,3,4790,0.12164230024088266,0.0,1,-0.05994012310570246,0,0.0,0.22382644538272478,0.668419929628098,0.1077457398623029,0.08545290570855077,7.0,0.0,1,64.66,1,4790,0,3.0,16.413999999999998,11.735999999999999,0.15,-5.4,5.0,17.136,NIGE,42.14,柳内 敬太,0.0,,49.14,61.43,13.7,4.0,1,,64.7,1
20240301,02,3,4,3377,0.2679336954109998,0.14629139517011716,6,-0.05994012310570246,0,0.0,0.24535510228918045,0.7042075868184632,0.050431887446521516,0.004313281512001381,7.0,0.0,1,47.52,1,3377,,1.0,13.578999999999999,11.735999999999999,0.18,-5.4,5.0,17.136,NIGE,34.69,塚田 修二,1.0,,32.62,53.06,10.7,1.0,1,,39.2,1
20240301,02,3,5,5012,0.17007499205178175,0.0484326918108991,3,-0.05994012310570246,0,0.0,0.17627610152968404,0.7779095980669006,0.045809470464534985,0.01875162165943747,7.0,1.0,1,53.28,1,5012,0,0.0,12.397,11.735999999999999,0.13,-5.4,5.0,17.136,NIGE,28.99,加倉 侑征,0.0,,38.69,51.45,2.7,0.0,1,,43.2,1
20240301,02,3,6,4709,0.18571916161969332,0.06407686137881066,5,-0.05994012310570246,0,0.0,0.23491083379181826,0.7033238770887476,0.06175900719100611,0.019588838327783003,7.0,0.0,1,62.24,1,4709,0,0.0,9.232000000000001,11.735999999999999,0.16,-5.4,5.0,17.136,NIGE,18.42,岡村 将也,0.0,,41.26,32.46,2.3,1.0,1,,34.8,1
20240301,02,4,1,3505,0.10548281260032427,0.0,1,-0.09628739347986501,0,0.999997345329185,0.0,0.0,0.0,0.23713803076989448,7.0,0.0,1,52.67,1,3505,0,0.0,16.005,13.465666666666666,0.18,-0.02833333333333421,5.0,13.494,NIGE,41.55,山田 竜一,2.0,0.04,34.35,54.23,42.1,0.0,2,7.01,68.4,2
20240301,02,4,2,4298,0.154716273292955,0.04923346069263074,3,-0.09628739347986501,0,0.0,0.8166303395343328,0.15239333886186934,0.030974724861825145,0.1122335775643254,7.0,5.0,1,46.56,1,4298,0,2.0,12.251,13.465666666666666,0.15,-0.02833333333333421,5.0,13.494,NIGE,29.37,宮下 元胤,1.0,0.06,27.48,41.27,17.3,0.0,3,7.0,63.0,1
20240301,02,4,3,4532,0.130499517377526,0.02501670477720172,2,-0.09628739347986501,0,0.0,0.5376742551445527,0.40195325404451476,0.060367272221420444,0.22038955173075905,7.0,3.0,1,51.54,1,4532,0,7.0,12.226,13.465666666666666,0.14,-0.02833333333333421,5.0,13.494,NIGE,25.76,秋元 哲,0.0,0.0005,35.38,39.39,31.1,4.0,1,7.23,64.4,6
20240301,02,4,4,3508,0.24287070407326608,0.1373878914729418,6,-0.09628739347986501,0,0.0,0.6422480551789616,0.3393275055999176,0.018422411775855203,0.010145795019063548,7.0,0.0,1,48.41,1,3508,0,0.0,15.136,13.465666666666666,0.18,-0.02833333333333421,5.0,13.494,NIGE,41.48,久富 政弘,0.0,0.11,32.54,51.11,0.0,0.0,4,7.17,39.4,5
20240301,02,4,5,3873,0.19435632180641776,0.08887350920609349,4,-0.09628739347986501,0,0.0,0.5734687592600873,0.3953967365922738,0.031132019429074717,0.009559510559659808,7.0,0.0,1,52.99,1,3873,0,0.0,13.918999999999999,13.465666666666666,0.16,-0.02833333333333421,5.0,13.494,NIGE,34.65,別府 昌樹,0.0,0.06,38.81,48.03,10.8,4.0,3,7.12,32.4,4
