hd,jcd,rno,label_3t,win_lane
20240331,2,1,3-1-6,3
20240331,2,2,3-5-1,3
20240331,2,3,5-3-1,5
20240331,2,4,2-1-3,2
20240331,2,5,2-6-1,2
20240331,2,6,6-2-1,6
20240331,2,7,1-5-3,1
20240331,2,8,6-2-1,6
20240331,2,9,1-5-4,1
20240331,2,10,1-3-2,1
20240331,2,11,1-6-3,1
20240331,2,12,4-3-5,4
20240331,6,1,1-2-3,1
20240331,6,2,3-6-5,3
20240331,6,3,2-1-5,2
20240331,6,4,2-3-5,2
20240331,6,5,3-4-6,3
20240331,6,6,3-5-4,3
20240331,6,7,3-4-6,3
20240331,6,8,2-1-6,2
20240331,6,9,1-3-2,1
20240331,6,10,1-3-5,1
20240331,6,11,1-6-2,1
20240331,6,12,1-2-3,1
20240331,7,1,1-4-5,1
20240331,7,2,3-4-5,3
20240331,7,3,2-1-4,2
20240331,7,4,3-4-1,3
20240331,7,5,1-3-2,1
20240331,7,6,1-2-5,1
20240331,7,7,1-3-2,1
20240331,7,8,5-4-2,5
20240331,7,9,1-3-6,1
20240331,7,10,5-1-4,5
20240331,7,11,1-3-4,1
20240331,7,12,1-4-5,1
20240331,10,1,1-2-4,1
20240331,10,2,2-1-3,2
20240331,10,3,2-3-1,2
20240331,10,4,1-2-3,1
20240331,10,5,3-4-2,3
20240331,10,6,3-4-2,3
20240331,10,7,2-4-3,2
20240331,10,8,2-1-3,2
20240331,10,9,1-2-4,1
20240331,10,10,2-4-1,2
20240331,10,11,3-4-6,3
20240331,10,12,1-4-3,1
20240331,17,1,1-3-2,1
20240331,17,2,3-2-4,3
20240331,17,3,3-4-5,3
20240331,17,4,1-3-6,1
20240331,17,5,1-2-5,1
20240331,17,6,1-2-3,1
20240331,17,7,1-3-2,1
20240331,17,8,1-5-4,1
20240331,17,9,2-3-4,2
20240331,17,10,1-4-2,1
20240331,17,11,1-3-4,1
20240331,17,12,1-3-2,1
20240331,19,1,1-3-2,1
20240331,19,2,1-5-4,1
20240331,19,3,1-4-3,1
20240331,19,4,1-4-3,1
20240331,19,5,1-6-3,1
20240331,19,6,1-4-6,1
20240331,19,7,1-2-4,1
20240331,19,8,1-3-4,1
20240331,19,9,1-2-4,1
20240331,19,10,1-3-5,1
20240331,19,11,1-3-4,1
20240331,19,12,1-3-6,1
20240331,21,1,1-2-4,1
20240331,21,2,1-3-4,1
20240331,21,3,2-3-1,2
20240331,21,4,3-1-5,3
20240331,21,5,1-3-6,1
20240331,21,6,3-2-1,3
20240331,21,7,1-2-3,1
20240331,21,8,2-3-6,2
20240331,21,9,3-6-5,3
20240331,21,10,2-1-6,2
20240331,21,11,1-5-3,1
20240331,21,12,1-3-2,1
20240331,22,1,1-5-2,1
20240331,22,2,1-3-4,1
20240331,22,3,1-3-5,1
20240331,22,4,1-2-4,1
20240331,22,5,1-2-3,1
20240331,22,6,3-1-2,3
20240331,22,7,1-3-5,1
20240331,22,8,1-4-2,1
20240331,22,9,2-1-4,2
20240331,22,10,1-2-3,1
20240331,22,11,2-4-1,2
20240331,22,12,1-3-2,1
20240331,23,1,1-2-5,1
20240331,23,2,1-2-4,1
20240331,23,3,1-2-3,1
20240331,23,4,1-2-3,1
20240331,23,5,3-1-2,3
20240331,23,6,1-3-6,1
20240331,23,7,1-3-4,1
20240331,23,8,1-2-3,1
20240331,23,9,1-2-3,1
20240331,23,10,5-1-2,5
20240331,23,11,1-5-2,1
20240331,23,12,1-3-6,1
20240331,24,1,5-1-6,5
20240331,24,2,1-4-3,1
20240331,24,3,1-4-2,1
20240331,24,4,3-1-5,3
20240331,24,5,6-5-1,6
20240331,24,6,5-4-1,5
20240331,24,7,1-3-5,1
20240331,24,8,1-2-6,1
20240331,24,9,1-3-5,1
20240331,24,10,1-3-5,1
20240331,24,11,3-6-2,3
20240331,24,12,1-3-4,1
