hd,jcd,rno,title,decision,weather_sky,wind_dir,wind_speed_m,wave_height_cm,label_3t
20240125,2,1,BOAT KIDS PARKモーヴィ戸田杯,まくり差し,晴,6,6.0,5.0,5-1-3
20240125,2,2,BOAT KIDS PARKモーヴィ戸田杯,まくり,晴,6,6.0,5.0,5-3-6
20240125,2,3,BOAT KIDS PARKモーヴィ戸田杯,逃げ,晴,6,6.0,5.0,1-4-2
20240125,2,4,BOAT KIDS PARKモーヴィ戸田杯,まくり,晴,6,7.0,6.0,3-2-1
20240125,2,5,BOAT KIDS PARKモーヴィ戸田杯,まくり差し,晴,6,6.0,5.0,5-4-6
20240125,2,6,BOAT KIDS PARKモーヴィ戸田杯,差し,晴,6,7.0,6.0,2-1-6
20240125,2,7,BOAT KIDS PARKモーヴィ戸田杯,逃げ,晴,6,6.0,5.0,1-5-3
20240125,2,8,BOAT KIDS PARKモーヴィ戸田杯,逃げ,晴,6,7.0,6.0,1-6-2
20240125,2,9,BOAT KIDS PARKモーヴィ戸田杯,差し,晴,6,8.0,7.0,2-1-3
20240125,2,10,BOAT KIDS PARKモーヴィ戸田杯,逃げ,晴,6,8.0,7.0,1-2-3
20240125,2,11,BOAT KIDS PARKモーヴィ戸田杯,逃げ,晴,6,7.0,6.0,1-4-3
20240125,2,12,BOAT KIDS PARKモーヴィ戸田杯,まくり,晴,6,6.0,5.0,1-3-2
20240125,5,1,ヴィーナスシリーズ第18戦是政プリンセスカップ,逃げ,晴,5,3.0,2.0,1-4-3
20240125,5,2,ヴィーナスシリーズ第18戦是政プリンセスカップ,逃げ,晴,3,2.0,2.0,1-4-2
20240125,5,3,ヴィーナスシリーズ第18戦是政プリンセスカップ,差し,晴,15,3.0,2.0,4-2-1
20240125,5,4,ヴィーナスシリーズ第18戦是政プリンセスカップ,まくり差し,晴,13,2.0,2.0,5-6-4
20240125,5,5,ヴィーナスシリーズ第18戦是政プリンセスカップ,逃げ,晴,15,1.0,2.0,1-2-5
20240125,5,6,ヴィーナスシリーズ第18戦是政プリンセスカップ,まくり,晴,5,3.0,2.0,6-1-2
20240125,5,7,ヴィーナスシリーズ第18戦是政プリンセスカップ,逃げ,晴,3,2.0,2.0,1-4-2
20240125,5,8,ヴィーナスシリーズ第18戦是政プリンセスカップ,差し,晴,3,1.0,2.0,2-5-3
20240125,5,9,ヴィーナスシリーズ第18戦是政プリンセスカップ,逃げ,晴,15,2.0,2.0,1-6-2
20240125,5,10,ヴィーナスシリーズ第18戦是政プリンセスカップ,恵まれ,晴,15,3.0,2.0,2-4-3
20240125,5,11,ヴィーナスシリーズ第18戦是政プリンセスカップ,差し,晴,1,3.0,2.0,2-3-1
20240125,5,12,ヴィーナスシリーズ第18戦是政プリンセスカップ,まくり,晴,1,3.0,2.0,2-4-1
20240125,6,1,浜名湖賞 開設70周年記念 静岡県知事杯争奪戦,逃げ,晴,3,4.0,2.0,1-3-4
20240125,6,2,浜名湖賞 開設70周年記念 静岡県知事杯争奪戦,まくり,晴,3,5.0,2.0,2-3-5
20240125,6,3,浜名湖賞 開設70周年記念 静岡県知事杯争奪戦,逃げ,晴,3,5.0,2.0,1-4-5
20240125,6,4,浜名湖賞 開設70周年記念 静岡県知事杯争奪戦,まくり,晴,3,5.0,2.0,3-6-2
20240125,6,5,浜名湖賞 開設70周年記念 静岡県知事杯争奪戦,逃げ,晴,3,5.0,3.0,1-5-6
20240125,6,6,浜名湖賞 開設70周年記念 静岡県知事杯争奪戦,逃げ,晴,3,6.0,3.0,1-3-4
20240125,6,7,浜名湖賞 開設70周年記念 静岡県知事杯争奪戦,まくり,晴,1,6.0,3.0,2-1-3
20240125,6,8,浜名湖賞 開設70周年記念 静岡県知事杯争奪戦,まくり差し,晴,1,5.0,2.0,6-1-5
20240125,6,9,浜名湖賞 開設70周年記念 静岡県知事杯争奪戦,まくり差し,晴,3,5.0,2.0,4-1-6
20240125,6,10,浜名湖賞 開設70周年記念 静岡県知事杯争奪戦,逃げ,晴,3,5.0,2.0,1-2-3
20240125,6,11,浜名湖賞 開設70周年記念 静岡県知事杯争奪戦,差し,晴,1,5.0,2.0,2-1-3
20240125,6,12,浜名湖賞 開設70周年記念 静岡県知事杯争奪戦,逃げ,晴,3,5.0,3.0,1-6-4
20240125,7,1,誰が勝っても蒲郡初優勝！エフエムEGAO杯 家康賞,まくり,晴,1,4.0,2.0,4-5-3
20240125,7,2,誰が勝っても蒲郡初優勝！エフエムEGAO杯 家康賞,まくり,晴,1,4.0,2.0,3-4-1
20240125,7,3,誰が勝っても蒲郡初優勝！エフエムEGAO杯 家康賞,差し,晴,1,4.0,2.0,2-1-3
20240125,7,4,誰が勝っても蒲郡初優勝！エフエムEGAO杯 家康賞,まくり差し,晴,1,4.0,2.0,4-5-1
20240125,7,5,誰が勝っても蒲郡初優勝！エフエムEGAO杯 家康賞,逃げ,晴,1,4.0,2.0,1-3-2
20240125,7,6,誰が勝っても蒲郡初優勝！エフエムEGAO杯 家康賞,差し,晴,1,4.0,2.0,2-1-4
20240125,7,7,誰が勝っても蒲郡初優勝！エフエムEGAO杯 家康賞,逃げ,晴,1,5.0,2.0,1-3-4
20240125,7,8,誰が勝っても蒲郡初優勝！エフエムEGAO杯 家康賞,逃げ,晴,1,4.0,2.0,1-2-5
20240125,7,9,誰が勝っても蒲郡初優勝！エフエムEGAO杯 家康賞,逃げ,晴,1,4.0,2.0,1-3-4
20240125,7,10,誰が勝っても蒲郡初優勝！エフエムEGAO杯 家康賞,逃げ,晴,1,4.0,3.0,1-3-5
20240125,7,11,誰が勝っても蒲郡初優勝！エフエムEGAO杯 家康賞,まくり,晴,1,4.0,2.0,4-5-6
20240125,7,12,誰が勝っても蒲郡初優勝！エフエムEGAO杯 家康賞,逃げ,晴,1,4.0,3.0,1-4-3
20240125,9,1,中日スポーツ高虎杯争奪戦,逃げ,晴,14,3.0,2.0,1-2-5
20240125,9,2,中日スポーツ高虎杯争奪戦,まくり,晴,14,4.0,2.0,4-5-6
20240125,9,3,中日スポーツ高虎杯争奪戦,逃げ,晴,14,3.0,2.0,1-2-3
20240125,9,4,中日スポーツ高虎杯争奪戦,抜き,晴,14,4.0,2.0,4-1-5
20240125,9,5,中日スポーツ高虎杯争奪戦,逃げ,曇り,14,3.0,2.0,1-2-3
20240125,9,6,中日スポーツ高虎杯争奪戦,逃げ,晴,14,4.0,2.0,1-3-2
20240125,9,7,中日スポーツ高虎杯争奪戦,逃げ,曇り,14,4.0,2.0,1-3-4
20240125,9,8,中日スポーツ高虎杯争奪戦,まくり,晴,14,4.0,2.0,2-5-3
20240125,9,9,中日スポーツ高虎杯争奪戦,逃げ,雪,14,4.0,2.0,1-3-2
20240125,9,10,中日スポーツ高虎杯争奪戦,差し,雪,14,4.0,2.0,2-3-1
20240125,9,11,中日スポーツ高虎杯争奪戦,逃げ,晴,14,4.0,2.0,1-2-3
20240125,9,12,中日スポーツ高虎杯争奪戦,逃げ,晴,14,4.0,2.0,1-3-5
20240125,11,1,日刊スポーツ新聞社杯争奪 第38回荒法師賞,逃げ,雪,13,6.0,4.0,1-4-3
20240125,11,2,日刊スポーツ新聞社杯争奪 第38回荒法師賞,抜き,雪,13,3.0,2.0,1-3-2
20240125,11,3,日刊スポーツ新聞社杯争奪 第38回荒法師賞,差し,雪,13,3.0,2.0,2-1-3
20240125,11,4,日刊スポーツ新聞社杯争奪 第38回荒法師賞,まくり差し,雪,13,4.0,3.0,5-4-1
20240125,11,5,日刊スポーツ新聞社杯争奪 第38回荒法師賞,まくり差し,雪,15,4.0,3.0,3-2-5
20240125,11,6,日刊スポーツ新聞社杯争奪 第38回荒法師賞,逃げ,晴,15,2.0,2.0,1-2-4
20240125,11,7,日刊スポーツ新聞社杯争奪 第38回荒法師賞,まくり差し,晴,13,3.0,3.0,3-1-6
20240125,11,8,日刊スポーツ新聞社杯争奪 第38回荒法師賞,差し,雪,1,2.0,2.0,6-1-3
20240125,11,9,日刊スポーツ新聞社杯争奪 第38回荒法師賞,まくり差し,晴,3,4.0,3.0,5-3-2
20240125,11,10,日刊スポーツ新聞社杯争奪 第38回荒法師賞,まくり差し,晴,3,3.0,2.0,4-1-6
