hd,jcd,rno,combo,is_hit,p1_lane,p1_grade,p1_national_win,p1_motor_rate2,p1_tenji_st,p1_tenji_rank,p1_st_rank,p1_course_first_rate,p2_lane,p2_grade,p2_national_win,p2_motor_rate2,p2_tenji_st,p2_tenji_rank,p2_st_rank,p3_lane,p3_grade,p3_motor_rate2,p3_tenji_st,p3_tenji_rank,p3_st_rank,diff_p1p2_st,sum_p1p2_motor,outer_push,in_cover,wind_speed_m,wave_height_cm,is_strong_wind,is_crosswind
20240326,03,10,1-2-3,0,1,A1,6.67,26.46,,1.0,1.0,41.2,2,A1,6.73,40.39,,1.0,1.0,3,B1,38.03,,1.0,1.0,,66.85,0,0,5.0,20.0,0,0
20240326,03,10,1-2-4,1,1,A1,6.67,26.46,,1.0,1.0,41.2,2,A1,6.73,40.39,,1.0,1.0,4,B1,43.27,,1.0,1.0,,66.85,0,0,5.0,20.0,0,0
20240326,03,10,1-2-5,0,1,A1,6.67,26.46,,1.0,1.0,41.2,2,A1,6.73,40.39,,1.0,1.0,5,A2,26.97,,1.0,1.0,,66.85,0,0,5.0,20.0,0,0
20240326,03,10,1-2-6,0,1,A1,6.67,26.46,,1.0,1.0,41.2,2,A1,6.73,40.39,,1.0,1.0,6,B1,36.36,,1.0,1.0,,66.85,0,0,5.0,20.0,0,0
20240326,03,10,1-3-2,0,1,A1,6.67,26.46,,1.0,1.0,41.2,3,B1,4.98,38.03,,1.0,1.0,2,A1,40.39,,1.0,1.0,,64.49000000000001,0,0,5.0,20.0,0,0
20240326,03,10,1-3-4,0,1,A1,6.67,26.46,,1.0,1.0,41.2,3,B1,4.98,38.03,,1.0,1.0,4,B1,43.27,,1.0,1.0,,64.49000000000001,0,0,5.0,20.0,0,0
20240326,03,10,1-3-5,0,1,A1,6.67,26.46,,1.0,1.0,41.2,3,B1,4.98,38.03,,1.0,1.0,5,A2,26.97,,1.0,1.0,,64.49000000000001,0,0,5.0,20.0,0,0
20240326,03,10,1-3-6,0,1,A1,6.67,26.46,,1.0,1.0,41.2,3,B1,4.98,38.03,,1.0,1.0,6,B1,36.36,,1.0,1.0,,64.49000000000001,0,0,5.0,20.0,0,0
20240326,03,10,1-4-2,0,1,A1,6.67,26.46,,1.0,1.0,41.2,4,B1,5.05,43.27,,1.0,1.0,2,A1,40.39,,1.0,1.0,,69.73,0,0,5.0,20.0,0,0
20240326,03,10,1-4-3,0,1,A1,6.67,26.46,,1.0,1.0,41.2,4,B1,5.05,43.27,,1.0,1.0,3,B1,38.03,,1.0,1.0,,69.73,0,0,5.0,20.0,0,0
